,Line,Analysis,Time Code,Port,Inj Nr,d(17_16)Mean,d(18_16)Mean,d(D_H)Mean,E17_Mean,H2O_Mean,Ignore,Good,SampleName,Identifier 2,Gas Configuration,Timestamp Mean,d(17_16)_SD,d(18_16)_SD,d(D_H)_SD,E17_SD,H2O_SD,d(18_16)_Sl,d(D_H)_Sl,H2O_Sl,baseline_shift,slope_shift,residuals,baseline_curvature,interval,ch4_ppm,h16od_adjust,h16od_shift,n2_flag,Resistance,DAS Temp,Tray,Sample,Job,Method,Error Code,Pulse Good,d18O_amended,d17O_amended,E17O_amended
280,281,    P-2405,   2023/01/28 08:19:41,           1-12,1,-3.348,-6.733,-38.222,0.213,20138.0,      -1,    1,DI_Seat,                               T1V12-ID2,                 H2O, 1674912288.44,         0.204,         0.184,         0.361,         0.146,       148.739,         0.001,         0.003,         3.550,        95.401,        24.651,         1.049,        60.246,         0.870,         0.034,       -0.0000,       -0.0000,    0,"    
21.94",        42.062,1,12,5,WassenaarRS,0,1,-5.935290452736423,-3.10083943657481,0.03751342771040589
281,282,    P-2405,   2023/01/28 08:28:40,           1-12,2,-3.314,-6.686,-39.05,0.222,20358.0,      -1,    1,DI_Seat,                               T1V12-ID2,                 H2O, 1674912827.88,         0.200,         0.179,         0.364,         0.139,       145.094,         0.001,         0.003,         3.476,        96.356,        25.195,         1.046,        60.086,         0.871,         0.004,       -0.0000,       -0.0000,    0,"    
21.83",        42.312,1,12,5,WassenaarRS,0,1,-5.888659177448393,-3.0674642389800186,0.04622413832273775
282,283,    P-2405,   2023/01/28 08:37:40,           1-12,3,-3.433,-6.87,-40.231,0.201,19968.0,      -1,    1,DI_Seat,                               T1V12-ID2,                 H2O, 1674913367.19,         0.218,         0.195,         0.367,         0.153,       144.344,         0.000,         0.002,         3.446,        94.694,        24.632,         1.026,        58.966,         0.870,        -0.009,        0.0000,       -0.0000,    0,"    
21.82",        42.438,1,12,5,WassenaarRS,0,1,-6.071215659427062,-3.1842774305617896,0.026014354155412978
283,284,    P-2405,   2023/01/28 08:46:39,           1-12,4,-3.447,-6.904,-40.554,0.206,19880.0,       0,    1,DI_Seat,                               T1V12-ID2,                 H2O, 1674913907.09,         0.214,         0.171,         0.340,         0.154,       139.315,         0.001,         0.001,         3.349,        94.265,        24.561,         1.018,        58.914,         0.870,         0.002,       -0.0000,       -0.0000,    0,"    
21.99",        42.000,1,12,5,WassenaarRS,0,1,-6.104948922401381,-3.1980201589831747,0.030147893133773085
284,285,    P-2405,   2023/01/28 08:55:40,           1-12,5,-3.48,-6.916,-40.63,0.178,19860.0,       0,    1,DI_Seat,                               T1V12-ID2,                 H2O, 1674914447.80,         0.219,         0.178,         0.406,         0.161,       147.236,         0.000,         0.001,         3.518,        94.175,        24.398,         1.027,        59.115,         0.869,         0.039,        0.0000,        0.0000,    0,"    
21.90",        41.625,1,12,5,WassenaarRS,0,1,-6.116854779921729,-3.2304137331192964,0.003974807158628302
285,286,    P-2405,   2023/01/28 09:04:39,           1-12,6,-3.467,-6.928,-40.75,0.198,20026.0,       0,    1,DI_Seat,                               T1V12-ID2,                 H2O, 1674914986.43,         0.213,         0.185,         0.363,         0.147,       143.648,         0.001,         0.001,         3.434,        94.806,        24.740,         1.032,        59.880,         0.869,         0.131,       -0.0000,       -0.0000,    0,"    
21.92",        41.688,1,12,5,WassenaarRS,0,1,-6.128760637442077,-3.2176526281565816,0.02310220707015942
286,287,    P-2405,   2023/01/28 09:13:39,           1-12,7,-3.473,-6.948,-40.773,0.202,19977.0,       0,    1,DI_Seat,                               T1V12-ID2,                 H2O, 1674915526.61,         0.202,         0.182,         0.389,         0.151,       142.842,         0.001,         0.001,         3.411,        94.714,        24.487,         1.036,        59.540,         0.869,         0.007,        0.0000,        0.0000,    0,"    
21.79",        42.125,1,12,5,WassenaarRS,0,1,-6.148603733309324,-3.223542368908604,0.027735304340737343
287,288,    P-2405,   2023/01/28 09:22:37,           1-12,8,-3.435,-6.915,-40.991,0.223,19901.0,       0,    1,DI_Seat,                               T1V12-ID2,                 H2O, 1674916065.12,         0.223,         0.174,         0.352,         0.166,       143.493,         0.000,         0.001,         3.425,        94.345,        24.617,         1.022,        58.932,         0.870,         0.003,       -0.0000,       -0.0000,    0,"    
21.91",        42.000,1,12,5,WassenaarRS,0,1,-6.115862625128367,-3.1862406774791308,0.04776295902432759
288,289,    P-2405,   2023/01/28 09:31:37,           1-12,9,-3.471,-6.934,-40.94,0.196,19889.0,       0,    1,DI_Seat,                               T1V12-ID2,                 H2O, 1674916605.31,         0.242,         0.183,         0.360,         0.184,       141.913,         0.001,        -0.001,         3.391,        94.319,        24.575,         1.020,        58.649,         0.869,        -0.060,        0.0000,       -0.0000,    0,"    
21.91",        41.562,1,12,5,WassenaarRS,0,1,-6.134713566202251,-3.221579121991263,0.022325568838742704
289,290,    P-2405,   2023/01/28 09:40:36,           1-12,10,-3.446,-6.914,-40.971,0.211,19947.0,       0,    1,DI_Seat,                               T1V12-ID2,                 H2O, 1674917143.96,         0.225,         0.188,         0.401,         0.163,       141.856,         0.001,        -0.000,         3.382,        94.598,        24.791,         1.011,        58.352,         0.870,        -0.091,        0.0000,       -0.0000,    0,"    
21.89",        41.688,1,12,5,WassenaarRS,0,1,-6.114870470335004,-3.197038535524505,0.036403446737496736
290,291,    P-2405,   2023/01/28 09:49:36,           1-12,11,-3.476,-6.943,-41.005,0.197,19902.0,       0,    1,DI_Seat,                               T1V12-ID2,                 H2O, 1674917684.03,         0.208,         0.178,         0.368,         0.148,       142.835,         0.000,        -0.001,         3.414,        94.373,        24.592,         1.022,        58.816,         0.868,        -0.009,       -0.0000,        0.0000,    0,"    
21.82",        41.812,1,12,5,WassenaarRS,0,1,-6.143642959342511,-3.226487239284615,0.022145419305655167
291,292,    P-2405,   2023/01/28 09:58:35,           1-12,12,-3.471,-6.931,-40.992,0.196,19848.0,       0,    1,DI_Seat,                               T1V12-ID2,                 H2O, 1674918223.53,         0.247,         0.208,         0.407,         0.174,       143.439,         0.001,         0.001,         3.421,        94.078,        24.657,         1.016,        58.605,         0.869,         0.033,        0.0000,       -0.0000,    0,"    
21.87",        41.438,1,12,5,WassenaarRS,0,1,-6.131737101822164,-3.221579121991263,0.020744297351716234
292,293,    P-2405,   2023/01/28 10:07:36,           1-12,13,-3.506,-6.979,-41.1,0.186,19983.0,       0,    1,DI_Seat,                               T1V12-ID2,                 H2O, 1674918763.43,         0.210,         0.184,         0.348,         0.150,       145.707,         0.000,        -0.000,         3.500,        94.694,        24.687,         1.028,        59.160,         0.870,         0.006,        0.0000,        0.0000,    0,"    
21.94",        41.562,1,12,5,WassenaarRS,0,1,-6.179360531903556,-3.255935943044725,0.01157675341054798
293,294,    P-2405,   2023/01/28 10:16:35,           1-12,14,-3.486,-6.95,-41.101,0.19,19942.0,       0,    1,DI_Seat,                               T1V12-ID2,                 H2O, 1674919302.46,         0.231,         0.205,         0.373,         0.162,       145.161,         0.001,        -0.002,         3.439,        94.524,        24.526,         1.031,        59.284,         0.870,         0.001,        0.0000,        0.0000,    0,"    
21.80",        42.000,1,12,5,WassenaarRS,0,1,-6.150588042896048,-3.2363034738713186,0.015987046787832693
294,295,    P-2405,   2023/01/28 10:25:35,           1-12,15,-3.467,-6.919,-41.064,0.193,19907.0,       0,    1,DI_Seat,                               T1V12-ID2,                 H2O, 1674919842.53,         0.237,         0.193,         0.355,         0.170,       141.541,         0.001,        -0.001,         3.375,        94.357,        24.571,         1.025,        59.094,         0.871,         0.050,       -0.0000,       -0.0000,    0,"    
21.84",        42.125,1,12,5,WassenaarRS,0,1,-6.119831244301816,-3.2176526281565816,0.018358435229456127
295,296,    P-2405,   2023/01/28 10:34:34,           1-12,16,-3.473,-6.927,-41.096,0.191,19944.0,       0,    1,DI_Seat,                               T1V12-ID2,                 H2O, 1674920381.75,         0.218,         0.198,         0.381,         0.150,       142.470,        -0.000,         0.001,         3.382,        94.540,        24.681,         1.020,        58.929,         0.869,         0.032,        0.0000,        0.0000,    0,"    
21.90",        41.688,1,12,5,WassenaarRS,0,1,-6.127768482648714,-3.223542368908604,0.016666348681710907
296,297,    P-2405,   2023/01/28 10:43:34,           1-12,17,-3.464,-6.952,-41.16,0.213,19930.0,       0,    1,DI_Seat,                               T1V12-ID2,                 H2O, 1674920921.65,         0.218,         0.193,         0.390,         0.158,       146.597,         0.001,         0.001,         3.504,        94.473,        24.576,         1.027,        59.216,         0.869,         0.061,       -0.0000,       -0.0000,    0,"    
21.78",        41.562,1,12,5,WassenaarRS,0,1,-6.152572352482773,-3.2147077577805705,0.03870684584984829
297,298,    P-2405,   2023/01/28 10:52:34,           1-12,18,-3.492,-6.962,-41.17,0.191,19979.0,       0,    1,DI_Seat,                               T1V12-ID2,                 H2O, 1674921461.73,         0.237,         0.206,         0.391,         0.167,       141.105,         0.001,        -0.000,         3.368,        94.630,        24.761,         1.027,        59.324,         0.870,         0.046,        0.0000,       -0.0000,    0,"    
21.84",        41.875,1,12,5,WassenaarRS,0,1,-6.162493900416396,-3.2421932146233403,0.01640340003757501
298,299,    P-2405,   2023/01/28 11:01:34,           1-12,19,-3.486,-6.966,-41.183,0.199,19895.0,       0,    1,DI_Seat,                               T1V12-ID2,                 H2O, 1674922001.89,         0.220,         0.176,         0.359,         0.168,       144.504,         0.001,         0.002,         3.451,        94.285,        24.529,         1.028,        59.221,         0.870,         0.009,       -0.0000,        0.0000,    0,"    
21.86",        41.750,1,12,5,WassenaarRS,0,1,-6.166462519589846,-3.2363034738713186,0.024420709406800967
299,300,    P-2405,   2023/01/28 11:10:34,           1-12,20,-3.496,-6.95,-41.248,0.18,19944.0,       0,    1,DI_Seat,                               T1V12-ID2,                 H2O, 1674922541.83,         0.231,         0.187,         0.385,         0.161,       144.956,        -0.000,        -0.001,         3.478,        94.514,        24.582,         1.029,        59.302,         0.871,         0.047,        0.0000,        0.0000,    0,"    
21.84",        41.375,1,12,5,WassenaarRS,0,1,-6.150588042896048,-3.246119708458022,0.006138892248373384
300,301,    P-2405,   2023/01/28 11:19:35,           1-12,21,-3.464,-6.96,-41.199,0.218,19972.0,       0,    1,DI_Seat,                               T1V12-ID2,                 H2O, 1674923082.51,         0.202,         0.172,         0.338,         0.150,       150.144,         0.001,         0.001,         3.594,        94.648,        24.630,         1.033,        59.348,         0.869,         0.022,       -0.0000,       -0.0000,    0,"    
21.84",        41.312,1,12,5,WassenaarRS,0,1,-6.160509590829672,-3.2147077577805705,0.04292366873993281
301,302,    P-2405,   2023/01/28 11:28:35,           1-12,22,-3.444,-6.93,-41.19,0.222,20098.0,       0,    1,DI_Seat,                               T1V12-ID2,                 H2O, 1674923622.48,         0.206,         0.169,         0.385,         0.153,       141.072,         0.001,        -0.001,         3.383,        95.263,        24.615,         1.041,        59.848,         0.870,        -0.006,       -0.0000,        0.0000,    0,"    
21.83",        41.688,1,12,5,WassenaarRS,0,1,-6.130744947028801,-3.1950752886071636,0.046806347955458794
302,303,    P-2405,   2023/01/28 11:37:35,           1-12,23,-3.491,-6.959,-41.295,0.19,19942.0,       0,    1,DI_Seat,                               T1V12-ID2,                 H2O, 1674924162.66,         0.226,         0.185,         0.370,         0.161,       144.934,         0.001,        -0.000,         3.461,        94.527,        24.556,         1.026,        59.366,         0.870,        -0.004,        0.0000,       -0.0000,    0,"    
21.88",        41.812,1,12,5,WassenaarRS,0,1,-6.1595174360363085,-3.24121159116467,0.015806900288913628
303,304,    P-2405,   2023/01/28 11:46:34,           1-12,24,-3.456,-6.95,-41.344,0.221,20021.0,       0,    1,DI_Seat,                               T1V12-ID2,                 H2O, 1674924702.07,         0.242,         0.185,         0.384,         0.172,       144.963,         0.001,         0.000,         3.459,        94.895,        24.767,         1.024,        59.086,         0.870,        -0.013,        0.0000,       -0.0000,    0,"    
21.93",        41.500,1,12,5,WassenaarRS,0,1,-6.150588042896048,-3.206854770111208,0.04553092850258267
304,305,    P-2405,   2023/01/28 11:55:34,           1-12,25,-3.509,-6.984,-41.274,0.186,19961.0,       0,    1,DI_Seat,                               T1V12-ID2,                 H2O, 1674925241.55,         0.198,         0.174,         0.407,         0.142,       146.380,         0.001,         0.000,         3.495,        94.604,        24.617,         1.028,        59.240,         0.870,         0.028,       -0.0000,        0.0000,    0,"    
22.00",        41.250,1,12,5,WassenaarRS,0,1,-6.184321305870367,-3.258880813420736,0.011257840439205413
305,306,    P-2405,   2023/01/28 12:04:33,           1-12,26,-3.438,-6.935,-41.352,0.23,20218.0,       0,    1,DI_Seat,                               T1V12-ID2,                 H2O, 1674925780.71,         0.212,         0.172,         0.368,         0.156,       147.599,         0.000,        -0.000,         3.498,        95.779,        24.894,         1.042,        59.846,         0.871,         0.003,        0.0000,       -0.0000,    0,"    
21.84",        41.562,1,12,1,WassenaarRS,0,1,-6.135705720995613,-3.189185547855142,0.05535040221334242
