,Line,Analysis,Time Code,Port,Inj Nr,d(17_16)Mean,d(18_16)Mean,d(D_H)Mean,E17_Mean,H2O_Mean,Ignore,Good,SampleName,Identifier 2,Gas Configuration,Timestamp Mean,d(17_16)_SD,d(18_16)_SD,d(D_H)_SD,E17_SD,H2O_SD,d(18_16)_Sl,d(D_H)_Sl,H2O_Sl,baseline_shift,slope_shift,residuals,baseline_curvature,interval,ch4_ppm,h16od_adjust,h16od_shift,n2_flag,Resistance,DAS Temp,Tray,Sample,Job,Method,Error Code,Pulse Good,d18O_amended,d17O_amended,E17O_amended
299,300,    P-2437,   2023/02/01 16:25:42,           1-15,1,-3.437,-6.849,-44.038,0.186,20389.0,      -1,    1,DI_Seat,                               T1V15-ID2,                 H2O, 1675287050.60,         0.216,         0.178,         0.356,         0.156,       141.772,         0.000,        -0.002,         3.385,        96.462,        25.114,         1.055,        60.730,         0.870,         0.066,       -0.0000,        0.0000,    0,"    
21.88",        41.312,1,15,2,WassenaarRS,0,1,-5.920987713010414,-3.1349448118947314,-0.00429549902606885
300,301,    P-2437,   2023/02/01 16:37:24,           1-15,2,-3.494,-7.022,-43.13,0.221,20579.0,      -1,    1,DI_Seat,                               T1V15-ID2,                 H2O, 1675287752.30,         0.207,         0.171,         0.433,         0.155,       176.574,        -0.001,        -0.005,         4.200,        98.031,        25.087,         1.064,        61.735,         0.870,         0.056,       -0.0000,        0.0000,    0,"    
21.63",        41.688,1,15,2,WassenaarRS,0,1,-6.09319193207863,-3.191077534077594,0.030866983302078932
301,302,    P-2437,   2023/02/01 16:46:24,           1-15,3,-3.531,-7.047,-42.86,0.196,20087.0,      -1,    1,DI_Seat,                               T1V15-ID2,                 H2O, 1675288292.01,         0.252,         0.200,         0.417,         0.177,       159.099,        -0.001,        -0.004,         3.808,        95.604,        24.519,         1.042,        60.322,         0.869,         0.025,       -0.0000,        0.0000,    0,"    
21.79",        41.875,1,15,2,WassenaarRS,0,1,-6.118076934834152,-3.2275145642664693,0.007532637327773983
302,303,    P-2437,   2023/02/01 16:55:23,           1-15,4,-3.514,-7.027,-42.53,0.203,19905.0,       0,    1,DI_Seat,                               T1V15-ID2,                 H2O, 1675288830.61,         0.229,         0.188,         0.407,         0.167,       154.307,        -0.000,        -0.004,         3.688,        94.719,        24.277,         1.035,        59.816,         0.869,         0.061,        0.0000,        0.0000,    0,"    
21.72",        41.375,1,15,2,WassenaarRS,0,1,-6.098168932629735,-3.21077322607158,0.013752017524608195
303,304,    P-2437,   2023/02/01 17:04:22,           1-15,5,-3.513,-7.026,-42.426,0.203,19871.0,       0,    1,DI_Seat,                               T1V15-ID2,                 H2O, 1675289369.35,         0.217,         0.189,         0.409,         0.153,       152.898,        -0.001,        -0.003,         3.680,        94.509,        24.476,         1.017,        59.124,         0.870,         0.021,        0.0000,        0.0000,    0,"    
21.86",        40.938,1,15,2,WassenaarRS,0,1,-6.097173532519513,-3.209788441471881,0.01421117806075145
304,305,    P-2437,   2023/02/01 17:13:21,           1-15,6,-3.487,-6.996,-42.245,0.214,20071.0,       0,    1,DI_Seat,                               T1V15-ID2,                 H2O, 1675289909.21,         0.217,         0.179,         0.402,         0.159,       151.968,        -0.001,        -0.004,         3.635,        95.401,        24.570,         1.040,        59.904,         0.870,         0.024,       -0.0000,        0.0000,    0,"    
21.85",        40.812,1,15,2,WassenaarRS,0,1,-6.067311529212887,-3.1841840418796985,0.024034072945743112
305,306,    P-2437,   2023/02/01 17:22:22,           1-15,7,-3.55,-7.054,-42.222,0.181,20108.0,       0,    1,DI_Seat,                               T1V15-ID2,                 H2O, 1675290449.66,         0.203,         0.184,         0.399,         0.142,       153.772,        -0.000,        -0.002,         3.675,        95.469,        24.663,         1.043,        60.196,         0.870,         0.110,       -0.0000,        0.0000,    0,"    
21.72",        41.188,1,15,2,WassenaarRS,0,1,-6.1250447356057,-3.2462254716607566,-0.007537372782541851
306,307,    P-2437,   2023/02/01 17:31:21,           1-15,8,-3.544,-7.029,-42.148,0.175,19774.0,       0,    1,DI_Seat,                               T1V15-ID2,                 H2O, 1675290988.69,         0.216,         0.190,         0.373,         0.155,       147.993,         0.000,        -0.003,         3.558,        93.971,        24.378,         1.017,        59.092,         0.870,         0.085,        0.0000,        0.0000,    0,"    
21.85",        41.500,1,15,2,WassenaarRS,0,1,-6.100159732850177,-3.2403167640625608,-0.014829529899855753
307,308,    P-2437,   2023/02/01 17:40:20,           1-15,9,-3.49,-7.02,-42.105,0.223,20023.0,       0,    1,DI_Seat,                               T1V15-ID2,                 H2O, 1675291527.20,         0.233,         0.186,         0.388,         0.166,       146.055,         0.000,        -0.002,         3.510,        95.082,        24.668,         1.029,        59.800,         0.869,         0.049,        0.0000,       -0.0000,    0,"    
21.82",        41.750,1,15,2,WassenaarRS,0,1,-6.091201131858188,-3.1871383956787964,0.033761138694079484
308,309,    P-2437,   2023/02/01 17:49:18,           1-15,10,-3.507,-6.971,-42.031,0.181,19894.0,       0,    1,DI_Seat,                               T1V15-ID2,                 H2O, 1675292066.04,         0.234,         0.197,         0.418,         0.161,       145.223,        -0.000,        -0.002,         3.468,        94.586,        24.386,         1.021,        59.276,         0.870,        -0.062,       -0.0000,        0.0000,    0,"    
21.79",        41.875,1,15,2,WassenaarRS,0,1,-6.042426526457364,-3.203879733873685,-0.008944052016661264
