,Line,Analysis,Time Code,Port,Inj Nr,d(17_16)Mean,d(18_16)Mean,d(D_H)Mean,E17_Mean,H2O_Mean,Ignore,Good,SampleName,Identifier 2,Gas Configuration,Timestamp Mean,d(17_16)_SD,d(18_16)_SD,d(D_H)_SD,E17_SD,H2O_SD,d(18_16)_Sl,d(D_H)_Sl,H2O_Sl,baseline_shift,slope_shift,residuals,baseline_curvature,interval,ch4_ppm,h16od_adjust,h16od_shift,n2_flag,Resistance,DAS Temp,Tray,Sample,Job,Method,Error Code,Pulse Good,d18O_amended,d17O_amended,E17O_amended
260,261,    P-2404,   2023/01/28 05:18:43,           1-11,1,-1.682,-3.634,-14.502,0.239,20455.0,      -1,    1,DI_Water,                               T1V11-ID2,                 H2O, 1674901430.16,         0.226,         0.188,         0.400,         0.161,       148.431,         0.001,        -0.001,         3.540,        96.873,        25.145,         1.056,        60.337,         0.870,        -0.125,        0.0000,       -0.0000,    0,"    
21.79",        41.875,1,11,4,WassenaarRS,0,1,-2.8606027481065657,-1.4654547544300107,0.046033120987915455
261,262,    P-2404,   2023/01/28 05:27:43,           1-11,2,-1.721,-3.673,-15.627,0.22,20673.0,      -1,    1,DI_Water,                               T1V11-ID2,                 H2O, 1674901970.69,         0.192,         0.170,         0.359,         0.144,       146.986,        -0.000,         0.001,         3.512,        97.780,        25.260,         1.077,        61.738,         0.871,        -0.007,        0.0000,        0.0000,    0,"    
21.86",        42.250,1,11,4,WassenaarRS,0,1,-2.8992967850476967,-1.5037380693181546,0.028182346443754724
262,263,    P-2404,   2023/01/28 05:36:43,           1-11,3,-1.699,-3.651,-16.044,0.231,20033.0,      -1,    1,DI_Water,                               T1V11-ID2,                 H2O, 1674902510.16,         0.215,         0.184,         0.369,         0.150,       144.230,         0.000,         0.000,         3.423,        94.994,        24.643,         1.026,        59.320,         0.869,        -0.097,       -0.0000,       -0.0000,    0,"    
21.88",        42.125,1,11,4,WassenaarRS,0,1,-2.8774693795937254,-1.4821423532274067,0.038252097106656446
263,264,    P-2404,   2023/01/28 05:45:42,           1-11,4,-1.697,-3.65,-16.119,0.232,20005.0,       0,    1,DI_Water,                               T1V11-ID2,                 H2O, 1674903049.89,         0.213,         0.184,         0.383,         0.148,       144.477,         0.000,        -0.001,         3.452,        94.899,        24.555,         1.027,        59.219,         0.870,        -0.069,       -0.0000,        0.0000,    0,"    
21.85",        41.625,1,11,4,WassenaarRS,0,1,-2.876477224800363,-1.4801791063100662,0.03969288701758922
264,265,    P-2404,   2023/01/28 05:54:42,           1-11,5,-1.744,-3.696,-16.186,0.209,20055.0,       0,    1,DI_Water,                               T1V11-ID2,                 H2O, 1674903589.93,         0.219,         0.180,         0.382,         0.161,       144.354,         0.000,        -0.001,         3.467,        95.069,        24.493,         1.044,        59.955,         0.870,         0.002,       -0.0000,        0.0000,    0,"    
21.77",        41.750,1,11,4,WassenaarRS,0,1,-2.9221163452950303,-1.5263154088675723,0.017654650219292467
265,266,    P-2404,   2023/01/28 06:03:42,           1-11,6,-1.693,-3.659,-16.197,0.241,20135.0,       0,    1,DI_Water,                               T1V11-ID2,                 H2O, 1674904129.99,         0.219,         0.159,         0.332,         0.165,       144.173,         0.000,        -0.000,         3.445,        95.435,        24.624,         1.045,        60.087,         0.870,        -0.002,       -0.0000,        0.0000,    0,"    
21.77",        42.062,1,11,4,WassenaarRS,0,1,-2.8854066179406237,-1.4762526124753848,0.04835353530607822
266,267,    P-2404,   2023/01/28 06:12:41,           1-11,7,-1.773,-3.735,-16.254,0.201,20157.0,       0,    1,DI_Water,                               T1V11-ID2,                 H2O, 1674904668.51,         0.199,         0.169,         0.374,         0.144,       146.238,         0.000,        -0.000,         3.488,        95.496,        24.716,         1.047,        60.071,         0.870,        -0.012,       -0.0000,        0.0000,    0,"    
21.73",        41.938,1,11,4,WassenaarRS,0,1,-2.960810382236161,-1.5547824891690125,0.00963437154253266
267,268,    P-2404,   2023/01/28 06:21:41,           1-11,8,-1.758,-3.744,-16.315,0.221,20123.0,       0,    1,DI_Water,                               T1V11-ID2,                 H2O, 1674905208.89,         0.219,         0.187,         0.367,         0.158,       147.017,         0.000,         0.001,         3.511,        95.349,        24.753,         1.041,        59.682,         0.869,         0.006,        0.0000,        0.0000,    0,"    
21.70",        41.688,1,11,4,WassenaarRS,0,1,-2.9697397753764223,-1.5400581372889572,0.029110285093922883
268,269,    P-2404,   2023/01/28 06:30:41,           1-11,9,-1.714,-3.693,-16.387,0.238,20174.0,       0,    1,DI_Water,                               T1V11-ID2,                 H2O, 1674905748.46,         0.216,         0.186,         0.428,         0.157,       145.962,         0.000,        -0.002,         3.458,        95.618,        24.808,         1.040,        59.674,         0.870,        -0.058,        0.0000,       -0.0000,    0,"    
21.73",        41.688,1,11,4,WassenaarRS,0,1,-2.919139880914943,-1.496866705107462,0.04557175914977174
269,270,    P-2404,   2023/01/28 06:39:41,           1-11,10,-1.772,-3.735,-16.33,0.203,20098.0,       0,    1,DI_Water,                               T1V11-ID2,                 H2O, 1674906289.40,         0.225,         0.190,         0.382,         0.162,       145.388,         0.000,         0.000,         3.467,        95.211,        24.588,         1.048,        60.169,         0.870,         0.072,       -0.0000,       -0.0000,    0,"    
21.80",        41.688,1,11,4,WassenaarRS,0,1,-2.960810382236161,-1.5538008657103421,0.010617523105453719
