,Line,Analysis,Time Code,Port,Inj Nr,d(17_16)Mean,d(18_16)Mean,d(D_H)Mean,E17_Mean,H2O_Mean,Ignore,Good,SampleName,Identifier 2,Gas Configuration,Timestamp Mean,d(17_16)_SD,d(18_16)_SD,d(D_H)_SD,E17_SD,H2O_SD,d(18_16)_Sl,d(D_H)_Sl,H2O_Sl,baseline_shift,slope_shift,residuals,baseline_curvature,interval,ch4_ppm,h16od_adjust,h16od_shift,n2_flag,Resistance,DAS Temp,Tray,Sample,Job,Method,Error Code,Pulse Good,d18O_amended,d17O_amended,E17O_amended
239,240,    P-2432,   2023/02/01 07:20:01,           1-10,1,-1.774,-3.74,-14.935,0.203,20066.0,      -1,    1,DI_Water,                               T1V10-ID2,                 H2O, 1675254308.00,         0.216,         0.175,         0.396,         0.155,       146.743,        -0.000,        -0.002,         3.506,        95.016,        24.696,         1.045,        59.923,         0.870,         0.073,       -0.0000,        0.0000,    0,"    
21.75",        41.750,1,10,4,WassenaarRS,0,1,-2.826288770333635,-1.4972480225947338,-0.003976758146764459
240,241,    P-2432,   2023/02/01 07:29:01,           1-10,2,-1.785,-3.77,-16.032,0.207,19940.0,      -1,    1,DI_Water,                               T1V10-ID2,                 H2O, 1675254848.66,         0.217,         0.188,         0.390,         0.156,       146.227,        -0.000,        -0.002,         3.491,        94.452,        24.521,         1.039,        59.705,         0.871,         0.059,       -0.0000,       -0.0000,    0,"    
21.77",        41.750,1,10,4,WassenaarRS,0,1,-2.8561507736402616,-1.5080806531914264,0.0009863722458209878
241,242,    P-2432,   2023/02/01 07:38:00,           1-10,3,-1.778,-3.75,-16.287,0.205,19793.0,      -1,    1,DI_Water,                               T1V10-ID2,                 H2O, 1675255387.25,         0.219,         0.183,         0.349,         0.156,       146.188,        -0.000,        -0.002,         3.470,        93.837,        24.302,         1.032,        59.262,         0.870,         0.070,       -0.0000,        0.0000,    0,"    
21.82",        41.688,1,10,4,WassenaarRS,0,1,-2.8362427714358436,-1.501187160993531,-0.0026511758873926095
242,243,    P-2432,   2023/02/01 07:47:00,           1-10,4,-1.747,-3.74,-16.444,0.23,19937.0,       0,    1,DI_Water,                               T1V10-ID2,                 H2O, 1675255927.56,         0.216,         0.192,         0.380,         0.146,       147.599,        -0.001,        -0.001,         3.519,        94.518,        24.437,         1.036,        59.547,         0.871,         0.019,       -0.0000,        0.0000,    0,"    
21.80",        41.625,1,10,4,WassenaarRS,0,1,-2.826288770333635,-1.4706588384028518,0.022651941797399155
243,244,    P-2432,   2023/02/01 07:55:59,           1-10,5,-1.806,-3.797,-16.513,0.201,19995.0,       0,    1,DI_Water,                               T1V10-ID2,                 H2O, 1675256466.29,         0.203,         0.167,         0.362,         0.148,       146.550,        -0.001,        -0.003,         3.478,        94.747,        24.459,         1.045,        59.909,         0.870,         0.030,        0.0000,        0.0000,    0,"    
21.71",        41.688,1,10,4,WassenaarRS,0,1,-2.883026576616226,-1.5287611297851125,-0.005494291929735606
244,245,    P-2432,   2023/02/01 08:04:58,           1-10,6,-1.772,-3.771,-16.54,0.221,19973.0,       0,    1,DI_Water,                               T1V10-ID2,                 H2O, 1675257006.11,         0.207,         0.193,         0.347,         0.141,       146.428,        -0.000,        -0.002,         3.480,        94.637,        24.500,         1.042,        59.715,         0.870,         0.039,        0.0000,       -0.0000,    0,"    
21.88",        41.750,1,10,4,WassenaarRS,0,1,-2.8571461737504826,-1.4952784533953352,0.014334902688335482
245,246,    P-2432,   2023/02/01 08:13:58,           1-10,7,-1.752,-3.75,-16.595,0.23,20136.0,       0,    1,DI_Water,                               T1V10-ID2,                 H2O, 1675257546.12,         0.203,         0.175,         0.360,         0.146,       142.037,         0.001,        -0.002,         3.368,        95.388,        24.552,         1.057,        60.347,         0.870,         0.051,        0.0000,       -0.0000,    0,"    
21.78",        41.688,1,10,4,WassenaarRS,0,1,-2.8362427714358436,-1.4755827614013484,0.022991389715224964
246,247,    P-2432,   2023/02/01 08:22:58,           1-10,8,-1.765,-3.751,-16.642,0.217,20012.0,       0,    1,DI_Water,                               T1V10-ID2,                 H2O, 1675258086.09,         0.195,         0.173,         0.381,         0.139,       146.638,        -0.000,        -0.003,         3.504,        94.819,        24.527,         1.044,        59.837,         0.870,         0.046,        0.0000,        0.0000,    0,"    
21.79",        41.125,1,10,4,WassenaarRS,0,1,-2.8372381715460646,-1.4883849611974396,0.010697255515430992
247,248,    P-2432,   2023/02/01 08:31:58,           1-10,9,-1.781,-3.766,-16.668,0.21,19854.0,       0,    1,DI_Water,                               T1V10-ID2,                 H2O, 1675258625.67,         0.229,         0.191,         0.400,         0.161,       145.435,        -0.000,        -0.002,         3.475,        94.102,        24.364,         1.037,        59.406,         0.870,         0.080,        0.0000,        0.0000,    0,"    
21.71",        41.000,1,10,4,WassenaarRS,0,1,-2.852169173199378,-1.504141514792629,0.0028231499082838063
248,249,    P-2432,   2023/02/01 08:40:58,           1-10,10,-1.799,-3.774,-16.574,0.196,20777.0,       0,    1,DI_Water,                               T1V10-ID2,                 H2O, 1675259165.91,         0.227,         0.187,         0.419,         0.160,       148.371,         0.000,        -0.003,         3.516,        98.115,        25.341,         1.105,        62.538,         0.871,         0.125,       -0.0000,        0.0000,    0,"    
21.83",        41.250,1,10,4,WassenaarRS,0,1,-2.8601323740811453,-1.521867637587217,-0.010713219882477754
249,250,    P-2432,   2023/02/01 08:49:57,           1-10,11,-1.763,-3.768,-16.761,0.228,20043.0,       0,    1,DI_Water,                               T1V10-ID2,                 H2O, 1675259704.22,         0.206,         0.164,         0.378,         0.150,       146.994,        -0.000,        -0.002,         3.490,        94.975,        24.652,         1.033,        59.554,         0.870,         0.005,        0.0000,       -0.0000,    0,"    
21.84",        41.688,1,10,4,WassenaarRS,0,1,-2.8541599734198195,-1.486415391998041,0.02162996806561779
250,251,    P-2432,   2023/02/01 08:58:56,           1-10,12,-1.752,-3.734,-16.664,0.222,20711.0,       0,    1,DI_Water,                               T1V10-ID2,                 H2O, 1675260244.56,         0.204,         0.180,         0.376,         0.145,       145.464,        -0.001,        -0.003,         3.474,        97.871,        25.366,         1.089,        61.788,         0.870,         0.066,       -0.0000,        0.0000,    0,"    
21.89",        41.750,1,10,4,WassenaarRS,0,1,-2.8203163696723093,-1.4755827614013484,0.014558398727784194
251,252,    P-2432,   2023/02/01 09:07:56,           1-10,13,-1.784,-3.768,-16.724,0.207,19673.0,       0,    1,DI_Water,                               T1V10-ID2,                 H2O, 1675260783.80,         0.216,         0.194,         0.382,         0.156,       143.020,        -0.000,        -0.002,         3.438,        93.273,        24.086,         1.033,        59.201,         0.870,         0.120,       -0.0000,        0.0000,    0,"    
21.73",        41.188,1,10,4,WassenaarRS,0,1,-2.8541599734198195,-1.507095868591727,0.0009184914518856058
252,253,    P-2432,   2023/02/01 09:16:56,           1-10,14,-1.765,-3.769,-16.831,0.227,19911.0,       0,    1,DI_Water,                               T1V10-ID2,                 H2O, 1675261323.46,         0.216,         0.191,         0.452,         0.151,       142.955,         0.001,        -0.004,         3.419,        94.361,        24.365,         1.041,        59.793,         0.869,         0.065,        0.0000,       -0.0000,    0,"    
21.88",        40.688,1,10,4,WassenaarRS,0,1,-2.855155373530041,-1.4883849611974396,0.020184540844159438
253,254,    P-2432,   2023/02/01 09:25:55,           1-10,15,-1.785,-3.766,-16.801,0.205,19986.0,       0,    1,DI_Water,                               T1V10-ID2,                 H2O, 1675261863.28,         0.202,         0.168,         0.416,         0.151,       149.287,        -0.000,        -0.003,         3.571,        94.667,        24.634,         1.031,        59.611,         0.869,         0.042,       -0.0000,       -0.0000,    0,"    
21.71",        40.688,1,10,4,WassenaarRS,0,1,-2.852169173199378,-1.5080806531914264,-0.0011219302194296343
254,255,    P-2432,   2023/02/01 09:34:55,           1-10,16,-1.833,-3.803,-16.694,0.177,20265.0,       0,    1,DI_Water,                               T1V10-ID2,                 H2O, 1675262402.60,         0.205,         0.181,         0.381,         0.145,       149.128,        -0.000,        -0.002,         3.561,        95.852,        24.682,         1.073,        61.256,         0.871,         0.187,       -0.0000,        0.0000,    0,"    
21.90",        41.188,1,10,4,WassenaarRS,0,1,-2.8889989772775513,-1.5553503139769946,-0.028961986729375333
255,256,    P-2432,   2023/02/01 09:43:54,           1-10,17,-1.802,-3.805,-16.818,0.209,20690.0,       0,    1,DI_Water,                               T1V10-ID2,                 H2O, 1675262941.40,         0.200,         0.170,         0.359,         0.147,       149.957,        -0.000,        -0.003,         3.576,        97.729,        25.189,         1.104,        62.524,         0.871,         0.132,       -0.0000,       -0.0000,    0,"    
21.82",        41.438,1,10,4,WassenaarRS,0,1,-2.8909897774979934,-1.5248219913863152,0.002667613748434494
