,Line,Analysis,Time Code,Port,Inj Nr,d(17_16)Mean,d(18_16)Mean,d(D_H)Mean,E17_Mean,H2O_Mean,Ignore,Good,SampleName,Identifier 2,Gas Configuration,Timestamp Mean,d(17_16)_SD,d(18_16)_SD,d(D_H)_SD,E17_SD,H2O_SD,d(18_16)_Sl,d(D_H)_Sl,H2O_Sl,baseline_shift,slope_shift,residuals,baseline_curvature,interval,ch4_ppm,h16od_adjust,h16od_shift,n2_flag,Resistance,DAS Temp,Tray,Sample,Job,Method,Error Code,Pulse Good,d18O_amended,d17O_amended,E17O_amended
239,240,    P-2432,   2023/02/01 07:20:01,           1-10,1,-1.774,-3.74,-14.935,0.203,20066.0,-1,1,DI_Water,                               T1V10-ID2,                 H2O,1675254308,0.216,0.175,0.396,0.155,146.743,0,-0.002,3.506,95.016,24.696,1.045,59.923,0.87,0.073,0,0,0,"    
21.75",41.75,1,10,4,WassenaarRS,0,1,-2.826288770333635,-1.4972480226862854,-0.003976758238384059
240,241,    P-2432,   2023/02/01 07:29:01,           1-10,2,-1.785,-3.77,-16.032,0.207,19940.0,-1,1,DI_Water,                               T1V10-ID2,                 H2O,1675254849,0.217,0.188,0.39,0.156,146.227,0,-0.002,3.491,94.452,24.521,1.039,59.705,0.871,0.059,0,0,0,"    
21.77",41.75,1,10,4,WassenaarRS,0,1,-2.8561507736402616,-1.5080806532829782,0.0009863721540892545
241,242,    P-2432,   2023/02/01 07:38:00,           1-10,3,-1.778,-3.75,-16.287,0.205,19793.0,-1,1,DI_Water,                               T1V10-ID2,                 H2O,1675255387,0.219,0.183,0.349,0.156,146.188,0,-0.002,3.47,93.837,24.302,1.032,59.262,0.87,0.07,0,0,0,"    
21.82",41.688,1,10,4,WassenaarRS,0,1,-2.8362427714358436,-1.5011871610850829,-0.0026511759790124323
242,243,    P-2432,   2023/02/01 07:47:00,           1-10,4,-1.747,-3.74,-16.444,0.23,19937.0,0,1,DI_Water,                               T1V10-ID2,                 H2O,1675255928,0.216,0.192,0.38,0.146,147.599,-0.001,-0.001,3.519,94.518,24.437,1.036,59.547,0.871,0.019,0,0,0,"    
21.80",41.625,1,10,4,WassenaarRS,0,1,-2.826288770333635,-1.4706588384944028,0.022651941705670975
243,244,    P-2432,   2023/02/01 07:55:59,           1-10,5,-1.806,-3.797,-16.513,0.201,19995.0,0,1,DI_Water,                               T1V10-ID2,                 H2O,1675256466,0.203,0.167,0.362,0.148,146.55,-0.001,-0.003,3.478,94.747,24.459,1.045,59.909,0.87,0.03,0,0,0,"    
21.71",41.688,1,10,4,WassenaarRS,0,1,-2.883026576616226,-1.5287611298766648,-0.005494292021469338
244,245,    P-2432,   2023/02/01 08:04:58,           1-10,6,-1.772,-3.771,-16.54,0.221,19973.0,0,1,DI_Water,                               T1V10-ID2,                 H2O,1675257006,0.207,0.193,0.347,0.141,146.428,0,-0.002,3.48,94.637,24.5,1.042,59.715,0.87,0.039,0,0,0,"    
21.88",41.75,1,10,4,WassenaarRS,0,1,-2.8571461737504826,-1.4952784534868866,0.014334902596716326
245,246,    P-2432,   2023/02/01 08:13:58,           1-10,7,-1.752,-3.75,-16.595,0.23,20136.0,0,1,DI_Water,                               T1V10-ID2,                 H2O,1675257546,0.203,0.175,0.36,0.146,142.037,0.001,-0.002,3.368,95.388,24.552,1.057,60.347,0.87,0.051,0,0,0,"    
21.78",41.688,1,10,4,WassenaarRS,0,1,-2.8362427714358436,-1.4755827614928996,0.022991389623496117
246,247,    P-2432,   2023/02/01 08:22:58,           1-10,8,-1.765,-3.751,-16.642,0.217,20012.0,0,1,DI_Water,                               T1V10-ID2,                 H2O,1675258086,0.195,0.173,0.381,0.139,146.638,0,-0.003,3.504,94.819,24.527,1.044,59.837,0.87,0.046,0,0,0,"    
21.79",41.125,1,10,4,WassenaarRS,0,1,-2.8372381715460646,-1.488384961288991,0.010697255423701035
247,248,    P-2432,   2023/02/01 08:31:58,           1-10,9,-1.781,-3.766,-16.668,0.21,19854.0,0,1,DI_Water,                               T1V10-ID2,                 H2O,1675258626,0.229,0.191,0.4,0.161,145.435,0,-0.002,3.475,94.102,24.364,1.037,59.406,0.87,0.08,0,0,0,"    
21.71",41,1,10,4,WassenaarRS,0,1,-2.852169173199378,-1.5041415148841808,0.002823149816552517
248,249,    P-2432,   2023/02/01 08:40:58,           1-10,10,-1.799,-3.774,-16.574,0.196,20777.0,0,1,DI_Water,                               T1V10-ID2,                 H2O,1675259166,0.227,0.187,0.419,0.16,148.371,0,-0.003,3.516,98.115,25.341,1.105,62.538,0.871,0.125,0,0,0,"    
21.83",41.25,1,10,4,WassenaarRS,0,1,-2.8601323740811453,-1.5218676376787692,-0.01071321997421082
249,250,    P-2432,   2023/02/01 08:49:57,           1-10,11,-1.763,-3.768,-16.761,0.228,20043.0,0,1,DI_Water,                               T1V10-ID2,                 H2O,1675259704,0.206,0.164,0.378,0.15,146.994,0,-0.002,3.49,94.975,24.652,1.033,59.554,0.87,0.005,0,0,0,"    
21.84",41.688,1,10,4,WassenaarRS,0,1,-2.8541599734198195,-1.4864153920895924,0.021629967973888053
250,251,    P-2432,   2023/02/01 08:58:56,           1-10,12,-1.752,-3.734,-16.664,0.222,20711.0,0,1,DI_Water,                               T1V10-ID2,                 H2O,1675260245,0.204,0.18,0.376,0.145,145.464,-0.001,-0.003,3.474,97.871,25.366,1.089,61.788,0.87,0.066,0,0,0,"    
21.89",41.75,1,10,4,WassenaarRS,0,1,-2.8203163696723093,-1.4755827614928996,0.014558398636055347
251,252,    P-2432,   2023/02/01 09:07:56,           1-10,13,-1.784,-3.768,-16.724,0.207,19673.0,0,1,DI_Water,                               T1V10-ID2,                 H2O,1675260784,0.216,0.194,0.382,0.156,143.02,0,-0.002,3.438,93.273,24.086,1.033,59.201,0.87,0.12,0,0,0,"    
21.73",41.188,1,10,4,WassenaarRS,0,1,-2.8541599734198195,-1.507095868683279,0.0009184913602653388
252,253,    P-2432,   2023/02/01 09:16:56,           1-10,14,-1.765,-3.769,-16.831,0.227,19911.0,0,1,DI_Water,                               T1V10-ID2,                 H2O,1675261323,0.216,0.191,0.452,0.151,142.955,0.001,-0.004,3.419,94.361,24.365,1.041,59.793,0.869,0.065,0,0,0,"    
21.88",40.688,1,10,4,WassenaarRS,0,1,-2.855155373530041,-1.488384961288991,0.02018454075242948
253,254,    P-2432,   2023/02/01 09:25:55,           1-10,15,-1.785,-3.766,-16.801,0.205,19986.0,0,1,DI_Water,                               T1V10-ID2,                 H2O,1675261863,0.202,0.168,0.416,0.151,149.287,0,-0.003,3.571,94.667,24.634,1.031,59.611,0.869,0.042,0,0,0,"    
21.71",40.688,1,10,4,WassenaarRS,0,1,-2.852169173199378,-1.5080806532829782,-0.0011219303111613677
254,255,    P-2432,   2023/02/01 09:34:55,           1-10,16,-1.833,-3.803,-16.694,0.177,20265.0,0,1,DI_Water,                               T1V10-ID2,                 H2O,1675262403,0.205,0.181,0.381,0.145,149.128,0,-0.002,3.561,95.852,24.682,1.073,61.256,0.871,0.187,0,0,0,"    
21.90",41.188,1,10,4,WassenaarRS,0,1,-2.8889989772775513,-1.5553503140685472,-0.02896198682100004
255,256,    P-2432,   2023/02/01 09:43:54,           1-10,17,-1.802,-3.805,-16.818,0.209,20690.0,0,1,DI_Water,                               T1V10-ID2,                 H2O,1675262941,0.2,0.17,0.359,0.147,149.957,0,-0.003,3.576,97.729,25.189,1.104,62.524,0.871,0.132,0,0,0,"    
21.82",41.438,1,10,4,WassenaarRS,0,1,-2.8909897774979934,-1.5248219914778673,0.0026676136567012065
256,257,    P-2432,   2023/02/01 09:52:54,           1-10,18,-1.773,-3.764,-16.808,0.216,19890.0,0,1,DI_Water,                               T1V10-ID2,                 H2O,1675263481,0.215,0.169,0.387,0.155,147.678,0,-0.002,3.53,94.262,24.465,1.037,59.321,0.87,0.058,0,0,0,"    
21.76",41.625,1,10,4,WassenaarRS,0,1,-2.8501783729789363,-1.496263238086586,0.009659115305569621
257,258,    P-2432,   2023/02/01 10:01:54,           1-10,19,-1.784,-3.774,-16.719,0.211,20076.0,0,1,DI_Water,                               T1V10-ID2,                 H2O,1675264021,0.201,0.159,0.394,0.149,142.838,0,-0.004,3.432,95.009,24.639,1.054,60.338,0.87,0.158,0,0,0,"    
21.76",41.688,1,10,4,WassenaarRS,0,1,-2.8601323740811453,-1.507095868683279,0.004080954528955516
258,259,    P-2432,   2023/02/01 10:10:52,           1-10,20,-1.777,-3.751,-16.751,0.206,19949.0,0,1,DI_Water,                               T1V10-ID2,                 H2O,1675264561,0.206,0.169,0.386,0.149,140.885,-0.001,-0.002,3.364,94.489,24.663,1.032,59.239,0.87,0.037,0,0,0,"    
21.87",41.625,1,10,1,WassenaarRS,0,1,-2.8372381715460646,-1.5002023764853833,-0.0011378448883061498
