,Line,Analysis,Time Code,Port,Inj Nr,d(17_16)Mean,d(18_16)Mean,d(D_H)Mean,E17_Mean,H2O_Mean,Ignore,Good,SampleName,Identifier 2,Gas Configuration,Timestamp Mean,d(17_16)_SD,d(18_16)_SD,d(D_H)_SD,E17_SD,H2O_SD,d(18_16)_Sl,d(D_H)_Sl,H2O_Sl,baseline_shift,slope_shift,residuals,baseline_curvature,interval,ch4_ppm,h16od_adjust,h16od_shift,n2_flag,Resistance,DAS Temp,Tray,Sample,Job,Method,Error Code,Pulse Good,d18O_amended,d17O_amended,E17O_amended
0,1,    P-2391,   2023/01/26 14:03:13,           1-01,1,-1.36,-2.995,-18.282,0.222,21723.0,      -1,    1,DummyKD,                                T1V1-ID2,                 H2O, 1674760100.54,         0.246,         0.262,         1.321,         0.153,       432.125,        -0.004,        -0.030,        10.224,       102.982,        25.724,         1.137,        67.570,         0.871,         0.278,       -0.0000,       -0.0000,    0,"    
21.69",        40.750,1,1,1,WassenaarRS,0,1,-2.2266158351480376,-1.149372000738159,0.02693093577126282
1,2,    P-2391,   2023/01/26 14:14:48,           1-01,2,-0.637,-1.624,-8.021,0.221,21064.0,      -1,    1,DummyKD,                                T1V1-ID2,                 H2O, 1674760795.81,         0.213,         0.202,         1.024,         0.150,       276.997,        -0.002,        -0.023,         6.622,        99.966,        25.114,         1.106,        64.907,         0.872,         0.180,       -0.0000,       -0.0000,    0,"    
21.74",        41.562,1,1,1,WassenaarRS,0,1,-0.8663716134482852,-0.4396582401194972,0.017887566626137497
2,3,    P-2391,   2023/01/26 14:23:48,           1-01,3,-0.311,-0.969,-3.671,0.201,20033.0,      -1,    1,DummyKD,                                T1V1-ID2,                 H2O, 1674761335.49,         0.201,         0.197,         0.976,         0.145,       250.256,        -0.002,        -0.022,         5.951,        95.292,        24.227,         1.034,        60.908,         0.871,         0.088,       -0.0000,       -0.0000,    0,"    
21.78",        41.062,1,1,1,WassenaarRS,0,1,-0.21651022379595963,-0.11964899259296374,-0.005326375711132245
3,4,    P-2391,   2023/01/26 14:32:47,           1-01,4,-0.165,-0.74,-1.92,0.226,19907.0,       0,    1,DummyKD,                                T1V1-ID2,                 H2O, 1674761875.68,         0.200,         0.186,         0.927,         0.145,       234.585,        -0.002,        -0.020,         5.619,        94.752,        24.106,         1.027,        60.225,         0.870,         0.007,        0.0000,        0.0000,    0,"    
21.87",        40.500,1,1,1,WassenaarRS,0,1,0.010693223884013725,0.023668032372907044,0.018021760265566157
4,5,    P-2391,   2023/01/26 14:41:47,           1-01,5,-0.148,-0.661,-1.043,0.201,19837.0,       0,    1,DummyKD,                                T1V1-ID2,                 H2O, 1674762414.92,         0.214,         0.193,         0.857,         0.153,       223.915,        -0.002,        -0.018,         5.382,        94.402,        24.001,         1.025,        60.003,         0.871,        -0.003,        0.0000,        0.0000,    0,"    
21.69",        40.500,1,1,1,WassenaarRS,0,1,0.08907345255963761,0.04035563117030297,-0.006673871574980013
5,6,    P-2391,   2023/01/26 14:50:47,           1-01,6,-0.088,-0.551,-0.254,0.203,19818.0,       0,    1,DummyKD,                                T1V1-ID2,                 H2O, 1674762954.50,         0.209,         0.182,         0.714,         0.152,       206.623,        -0.002,        -0.014,         4.938,        94.274,        24.093,         1.026,        59.801,         0.871,         0.042,       -0.0000,        0.0000,    0,"    
21.73",        41.438,1,1,1,WassenaarRS,0,1,0.1982104798294938,0.09925303869052385,-0.0053966494146413385
6,7,    P-2391,   2023/01/26 14:59:47,           1-01,7,-0.045,-0.46,0.486,0.198,19696.0,       0,    1,DummyKD,                                T1V1-ID2,                 H2O, 1674763494.52,         0.211,         0.198,         0.717,         0.152,       195.823,        -0.001,        -0.015,         4.688,        93.711,        23.923,         1.021,        59.620,         0.870,         0.061,       -0.0000,       -0.0000,    0,"    
21.75",        41.562,1,1,1,WassenaarRS,0,1,0.2884965660254657,0.1414628474133488,-0.010851375807280517
7,8,    P-2391,   2023/01/26 15:08:47,           1-01,8,-0.008,-0.401,0.925,0.204,19425.0,       0,    1,DummyKD,                                T1V1-ID2,                 H2O, 1674764034.79,         0.229,         0.209,         0.717,         0.155,       192.329,        -0.001,        -0.014,         4.603,        92.531,        23.557,         1.007,        58.865,         0.869,         0.038,       -0.0000,       -0.0000,    0,"    
21.68",        41.125,1,1,1,WassenaarRS,0,1,0.3470336988338431,0.17778291538415167,-0.005434892313169903
8,9,    P-2391,   2023/01/26 15:17:47,           1-01,9,-0.001,-0.387,1.24,0.203,19643.0,       0,    1,DummyKD,                                T1V1-ID2,                 H2O, 1674764574.62,         0.197,         0.178,         0.623,         0.142,       190.730,        -0.001,        -0.012,         4.585,        93.434,        23.777,         1.025,        59.818,         0.870,         0.064,       -0.0000,       -0.0000,    0,"    
21.79",        40.750,1,1,1,WassenaarRS,0,1,0.36092386594091574,0.18465427959484412,-0.005896186163812239
9,10,    P-2391,   2023/01/26 15:26:46,           1-01,10,-0.001,-0.344,1.601,0.181,19486.0,       0,    1,DummyKD,                                T1V1-ID2,                 H2O, 1674765113.19,         0.223,         0.197,         0.592,         0.160,       186.604,        -0.001,        -0.011,         4.459,        92.728,        23.728,         1.010,        58.905,         0.871,         0.033,        0.0000,        0.0000,    0,"    
21.78",        41.250,1,1,1,WassenaarRS,0,1,0.4035865220554959,0.18465427959484412,-0.028413461250337696
10,11,    P-2391,   2023/01/26 15:35:46,           1-01,11,0.027,-0.314,1.72,0.193,19957.0,       0,    1,DummyKD,                                T1V1-ID2,                 H2O, 1674765653.25,         0.207,         0.181,         0.669,         0.154,       188.144,        -0.001,        -0.013,         4.493,        94.852,        24.254,         1.036,        60.175,         0.872,         0.014,        0.0000,        0.0000,    0,"    
21.73",        41.562,1,1,1,WassenaarRS,0,1,0.43335116585636574,0.21213973643761386,-0.016642614491361174
11,12,    P-2391,   2023/01/26 15:44:46,           1-01,12,0.035,-0.296,1.988,0.191,20095.0,       0,    1,DummyKD,                                T1V1-ID2,                 H2O, 1674766193.67,         0.202,         0.175,         0.596,         0.148,       182.317,        -0.000,        -0.011,         4.352,        95.434,        24.298,         1.058,        61.078,         0.872,         0.096,       -0.0000,       -0.0000,    0,"    
21.75",        41.875,1,1,1,WassenaarRS,0,1,0.4512099521368877,0.21999272410697665,-0.018216593763503708
12,13,    P-2391,   2023/01/26 15:53:46,           1-01,13,0.065,-0.275,2.183,0.211,19751.0,       0,    1,DummyKD,                                T1V1-ID2,                 H2O, 1674766733.67,         0.213,         0.181,         0.585,         0.154,       175.944,        -0.000,        -0.011,         4.200,        93.969,        24.088,         1.021,        59.054,         0.871,        -0.023,       -0.0000,        0.0000,    0,"    
21.79",        41.812,1,1,1,WassenaarRS,0,1,0.47204520279749657,0.24944142786708706,0.0002292631854804439
13,14,    P-2391,   2023/01/26 16:02:45,           1-01,14,0.074,-0.222,2.336,0.191,19900.0,       0,    1,DummyKD,                                T1V1-ID2,                 H2O, 1674767272.49,         0.214,         0.195,         0.567,         0.149,       177.844,        -0.001,        -0.011,         4.226,        94.604,        24.257,         1.028,        59.566,         0.870,        -0.038,        0.0000,        0.0000,    0,"    
21.83",        41.250,1,1,1,WassenaarRS,0,1,0.5246294068457,0.2582760389951202,-0.018688998429853554
14,15,    P-2391,   2023/01/26 16:11:45,           1-01,15,0.065,-0.254,2.451,0.199,19813.0,       0,    1,DummyKD,                                T1V1-ID2,                 H2O, 1674767813.11,         0.202,         0.187,         0.610,         0.149,       171.480,         0.000,        -0.012,         4.123,        94.172,        24.119,         1.028,        59.635,         0.869,        -0.013,        0.0000,       -0.0000,    0,"    
21.82",        40.688,1,1,1,WassenaarRS,0,1,0.49288045345810544,0.24944142786708706,-0.010766444143629483
15,16,    P-2391,   2023/01/26 16:20:45,           1-01,16,0.08,-0.231,2.604,0.202,19843.0,       0,    1,DummyKD,                                T1V1-ID2,                 H2O, 1674768352.53,         0.211,         0.175,         0.523,         0.155,       177.943,        -0.000,        -0.009,         4.254,        94.240,        24.134,         1.033,        60.168,         0.870,         0.143,       -0.0000,       -0.0000,    0,"    
21.70",        41.125,1,1,1,WassenaarRS,0,1,0.515700013705439,0.2641657797471423,-0.008088527377149879
16,17,    P-2391,   2023/01/26 16:29:45,           1-01,17,0.059,-0.254,2.581,0.193,19939.0,       0,    1,DummyKD,                                T1V1-ID2,                 H2O, 1674768892.16,         0.215,         0.183,         0.552,         0.157,       177.759,        -0.001,        -0.009,         4.221,        94.670,        24.273,         1.042,        60.187,         0.871,         0.059,       -0.0000,       -0.0000,    0,"    
21.66",        41.812,1,1,1,WassenaarRS,0,1,0.49288045345810544,0.24355168711506497,-0.016654733452598797
17,18,    P-2391,   2023/01/26 16:38:45,           1-01,18,0.109,-0.202,2.777,0.216,19750.0,       0,    1,DummyKD,                                T1V1-ID2,                 H2O, 1674769432.66,         0.188,         0.157,         0.516,         0.153,       170.318,        -0.000,        -0.009,         4.048,        93.904,        24.123,         1.020,        59.161,         0.870,         0.004,        0.0000,       -0.0000,    0,"    
21.72",        42.125,1,1,1,WassenaarRS,0,1,0.5444725027129466,0.29263286004858236,0.0051868044563813664
18,19,    P-2391,   2023/01/26 16:47:46,           1-01,19,0.096,-0.184,2.863,0.193,19712.0,       0,    1,DummyKD,                                T1V1-ID2,                 H2O, 1674769973.13,         0.191,         0.170,         0.564,         0.143,       169.606,         0.000,        -0.010,         4.054,        93.743,        24.087,         1.016,        58.899,         0.870,        -0.057,       -0.0000,        0.0000,    0,"    
21.72",        41.500,1,1,1,WassenaarRS,0,1,0.5623312889934685,0.27987175508586787,-0.01699487242916653
19,20,    P-2391,   2023/01/26 16:56:45,           1-01,20,0.053,-0.224,2.982,0.172,19717.0,       0,    1,DummyKD,                                T1V1-ID2,                 H2O, 1674770512.83,         0.225,         0.192,         0.507,         0.157,       174.778,        -0.000,        -0.009,         4.182,        93.662,        24.039,         1.027,        59.575,         0.869,         0.060,        0.0000,       -0.0000,    0,"    
21.72",        41.188,1,1,1,WassenaarRS,0,1,0.5226450972589753,0.2376619463630429,-0.03825081354797119
20,21,    P-2391,   2023/01/26 17:05:45,           1-01,21,0.109,-0.192,2.959,0.21,19899.0,       0,    1,DummyKD,                                T1V1-ID2,                 H2O, 1674771052.70,         0.199,         0.156,         0.544,         0.157,       172.235,        -0.000,        -0.009,         4.116,        94.497,        24.197,         1.035,        60.029,         0.870,        -0.007,        0.0000,       -0.0000,    0,"    
21.81",        41.750,1,1,1,WassenaarRS,0,1,0.5543940506465699,0.29263286004858236,-4.8896184361657546e-05
21,22,    P-2391,   2023/01/26 17:14:44,           1-01,22,0.161,-0.107,3.199,0.218,19784.0,       0,    1,DummyKD,                                T1V1-ID2,                 H2O, 1674771591.65,         0.198,         0.173,         0.545,         0.149,       163.539,        -0.000,        -0.009,         3.902,        94.091,        23.880,         1.031,        59.799,         0.871,        -0.070,        0.0000,        0.0000,    0,"    
21.71",        42.000,1,1,1,WassenaarRS,0,1,0.6387272080823678,0.3436772798994405,0.006477929408369276
22,23,    P-2391,   2023/01/26 17:23:44,           1-01,23,0.138,-0.139,3.056,0.211,19518.0,       0,    1,DummyKD,                                T1V1-ID2,                 H2O, 1674772131.80,         0.211,         0.190,         0.483,         0.155,       163.389,        -0.001,        -0.008,         3.924,        92.951,        23.790,         1.002,        58.143,         0.870,        -0.161,       -0.0000,       -0.0000,    0,"    
21.75",        41.188,1,1,1,WassenaarRS,0,1,0.6069782546947733,0.3210999403500225,0.0006611045452362685
23,24,    P-2391,   2023/01/26 17:32:44,           1-01,24,0.096,-0.188,3.237,0.195,19850.0,       0,    1,DummyKD,                                T1V1-ID2,                 H2O, 1674772672.05,         0.224,         0.174,         0.467,         0.167,       172.599,        -0.001,        -0.008,         4.151,        94.263,        24.179,         1.035,        59.772,         0.870,        -0.014,        0.0000,       -0.0000,    0,"    
21.79",        40.750,1,1,1,WassenaarRS,0,1,0.5583626698200191,0.27987175508586787,-0.014900615016365193
24,25,    P-2391,   2023/01/26 17:41:43,           1-01,25,0.111,-0.16,3.318,0.195,19824.0,       0,    1,DummyKD,                                T1V1-ID2,                 H2O, 1674773211.35,         0.227,         0.201,         0.500,         0.160,       169.774,        -0.001,        -0.007,         4.053,        94.173,        24.136,         1.028,        59.678,         0.870,         0.012,        0.0000,       -0.0000,    0,"    
21.72",        41.312,1,1,1,WassenaarRS,0,1,0.5861430040341644,0.2945961069659231,-0.014840118707506234
