,Line,Analysis,Time Code,Port,Inj Nr,d(17_16)Mean,d(18_16)Mean,d(D_H)Mean,E17_Mean,H2O_Mean,Ignore,Good,SampleName,Identifier 2,Gas Configuration,Timestamp Mean,d(17_16)_SD,d(18_16)_SD,d(D_H)_SD,E17_SD,H2O_SD,d(18_16)_Sl,d(D_H)_Sl,H2O_Sl,baseline_shift,slope_shift,residuals,baseline_curvature,interval,ch4_ppm,h16od_adjust,h16od_shift,n2_flag,Resistance,DAS Temp,Tray,Sample,Job,Method,Error Code,Pulse Good,d18O_amended,d17O_amended,E17O_amended
309,310,    P-2406,   2023/01/28 12:44:18,           1-13,1,-4.687,-9.224,-55.003,0.195,19896.0,      -1,    1,IceLava,                               T1V13-ID2,                 H2O, 1674928165.74,         0.205,         0.185,         0.313,         0.143,       158.282,         0.001,        -0.000,         3.809,        94.674,        24.562,         1.020,        59.178,         0.870,         0.139,       -0.0000,       -0.0000,    0,"    
21.96",        41.438,1,13,2,WassenaarRS,0,1,-8.406748043001985,-4.415233247734407,0.03251680292724757
310,311,    P-2406,   2023/01/28 12:53:17,           1-13,2,-4.605,-9.086,-54.917,0.203,19402.0,      -1,    1,IceLava,                               T1V13-ID2,                 H2O, 1674928704.47,         0.229,         0.179,         0.373,         0.168,       155.218,         0.000,         0.001,         3.738,        92.515,        24.054,         0.977,        57.264,         0.869,        -0.030,        0.0000,        0.0000,    0,"    
21.87",        41.500,1,13,2,WassenaarRS,0,1,-8.269830681517984,-4.334740124123439,0.04046340018336547
311,312,    P-2406,   2023/01/28 13:02:15,           1-13,3,-4.715,-9.323,-56.14,0.22,19493.0,      -1,    1,IceLava,                               T1V13-ID2,                 H2O, 1674929242.87,         0.226,         0.198,         0.396,         0.156,       151.904,        -0.000,         0.001,         3.653,        92.878,        23.890,         1.004,        58.264,         0.870,         0.028,       -0.0000,        0.0000,    0,"    
21.89",        41.312,1,13,2,WassenaarRS,0,1,-8.504971367544856,-4.442718704577176,0.05721326441947472
312,313,    P-2406,   2023/01/28 13:11:15,           1-13,4,-4.739,-9.32,-56.414,0.193,20463.0,       0,    1,IceLava,                               T1V13-ID2,                 H2O, 1674929783.02,         0.225,         0.188,         0.379,         0.164,       153.682,         0.000,        -0.000,         3.673,        97.110,        25.245,         1.051,        60.439,         0.870,        -0.015,        0.0000,        0.0000,    0,"    
21.90",        41.188,1,13,2,WassenaarRS,0,1,-8.50199490316477,-4.466277667585264,0.03196383683789161
313,314,    P-2406,   2023/01/28 13:20:14,           1-13,5,-4.732,-9.323,-56.423,0.202,20416.0,       0,    1,IceLava,                               T1V13-ID2,                 H2O, 1674930321.82,         0.194,         0.176,         0.347,         0.135,       155.408,         0.001,         0.000,         3.716,        96.848,        25.132,         1.051,        60.623,         0.870,         0.047,       -0.0000,       -0.0000,    0,"    
21.87",        41.250,1,13,2,WassenaarRS,0,1,-8.504971367544856,-4.459406303374572,0.04045105598416221
314,315,    P-2406,   2023/01/28 13:29:14,           1-13,6,-4.75,-9.361,-56.597,0.205,19917.0,       0,    1,IceLava,                               T1V13-ID2,                 H2O, 1674930861.85,         0.195,         0.170,         0.355,         0.142,       151.476,         0.000,         0.001,         3.639,        94.668,        24.684,         1.014,        58.768,         0.870,        -0.019,       -0.0000,        0.0000,    0,"    
21.95",        41.750,1,13,2,WassenaarRS,0,1,-8.542673249692625,-4.477075525630639,0.04278026183656891
315,316,    P-2406,   2023/01/28 13:38:14,           1-13,7,-4.788,-9.381,-56.547,0.177,20299.0,       0,    1,IceLava,                               T1V13-ID2,                 H2O, 1674931401.66,         0.213,         0.186,         0.360,         0.156,       151.037,         0.001,        -0.000,         3.609,        96.236,        25.067,         1.046,        60.443,         0.870,         0.102,        0.0000,       -0.0000,    0,"    
21.81",        41.688,1,13,2,WassenaarRS,0,1,-8.562516345559871,-4.514377217060112,0.0158776493332784
316,317,    P-2406,   2023/01/28 13:47:14,           1-13,8,-4.732,-9.319,-56.614,0.2,20428.0,       0,    1,IceLava,                               T1V13-ID2,                 H2O, 1674931941.58,         0.229,         0.203,         0.369,         0.161,       151.595,         0.000,        -0.000,         3.634,        96.894,        25.065,         1.060,        60.821,         0.871,         0.023,       -0.0000,        0.0000,    0,"    
21.83",        41.312,1,13,2,WassenaarRS,0,1,-8.501002748371407,-4.459406303374572,0.03833765483795215
317,318,    P-2406,   2023/01/28 13:56:14,           1-13,9,-4.743,-9.324,-56.66,0.192,20504.0,       0,    1,IceLava,                               T1V13-ID2,                 H2O, 1674932482.51,         0.192,         0.185,         0.329,         0.141,       157.551,         0.001,        -0.000,         3.764,        97.223,        25.237,         1.057,        60.819,         0.871,         0.012,       -0.0000,        0.0000,    0,"    
21.86",        41.062,1,13,2,WassenaarRS,0,1,-8.505963522338217,-4.470204161419947,0.030133122998766915
318,319,    P-2406,   2023/01/28 14:05:14,           1-13,10,-4.795,-9.379,-56.631,0.169,20441.0,       0,    1,IceLava,                               T1V13-ID2,                 H2O, 1674933021.23,         0.209,         0.187,         0.364,         0.142,       158.105,         0.001,         0.000,         3.775,        96.849,        25.100,         1.067,        61.170,         0.870,         0.126,       -0.0000,        0.0000,    0,"    
21.90",        41.250,1,13,2,WassenaarRS,0,1,-8.560532035973145,-4.521248581270804,0.007918337735945968
