,Line,Analysis,Time Code,Port,Inj Nr,d(17_16)Mean,d(18_16)Mean,d(D_H)Mean,E17_Mean,H2O_Mean,Ignore,Good,SampleName,Identifier 2,Gas Configuration,Timestamp Mean,d(17_16)_SD,d(18_16)_SD,d(D_H)_SD,E17_SD,H2O_SD,d(18_16)_Sl,d(D_H)_Sl,H2O_Sl,baseline_shift,slope_shift,residuals,baseline_curvature,interval,ch4_ppm,h16od_adjust,h16od_shift,n2_flag,Resistance,DAS Temp,Tray,Sample,Job,Method,Error Code,Pulse Good,d18O_amended,d17O_amended,E17O_amended
324,325,    P-2438,   2023/02/01 20:14:09,           1-16,1,-4.662,-9.179,-54.965,0.196,20569.0,-1,1,IceLava,                               T1V16-ID2,                 H2O,1675300757,0.21,0.176,0.363,0.153,147.217,0,-0.001,3.52,97.372,25.374,1.065,61.216,0.869,0.093,0,0,0,"    
21.65",41.5,1,16,2,WassenaarRS,0,1,-8.240269969825112,-4.34130594661802,0.01813099736414525
325,326,    P-2438,   2023/02/01 20:23:09,           1-16,2,-4.556,-8.988,-54.443,0.201,21003.0,-1,1,IceLava,                               T1V16-ID2,                 H2O,1675301296,0.211,0.183,0.394,0.154,147.711,0,0,3.524,99.26,25.88,1.092,62.549,0.871,0.071,0,0,0,"    
21.65",41.688,1,16,2,WassenaarRS,0,1,-8.050148548772919,-4.236918779049888,0.021759347119084005
326,327,    P-2438,   2023/02/01 20:32:09,           1-16,3,-4.738,-9.285,-56.206,0.176,20438.0,-1,1,IceLava,                               T1V16-ID2,                 H2O,1675301836,0.218,0.179,0.38,0.154,146.256,0,-0.001,3.471,96.777,25.299,1.052,60.463,0.87,0.024,0,0,0,"    
21.79",41.875,1,16,2,WassenaarRS,0,1,-8.345782381508528,-4.416149576195171,-0.0008653674416656543
327,328,    P-2438,   2023/02/01 20:41:08,           1-16,4,-4.743,-9.292,-56.472,0.175,19611.0,0,1,IceLava,                               T1V16-ID2,                 H2O,1675302375,0.187,0.173,0.364,0.132,139.119,0.001,0,3.327,93.203,24.184,1.005,58.142,0.869,-0.015,0,0,0,"    
21.73",42,1,16,2,WassenaarRS,0,1,-8.352750182280074,-4.4210734991936675,-0.0021011695337280756
328,329,    P-2438,   2023/02/01 20:50:07,           1-16,5,-4.745,-9.321,-56.571,0.188,19591.0,0,1,IceLava,                               T1V16-ID2,                 H2O,1675302914,0.233,0.19,0.363,0.167,139.957,0,0,3.343,93.062,24.245,1.004,58.09,0.869,0.05,0,0,0,"    
21.94",41.5,1,16,2,WassenaarRS,0,1,-8.38161678547648,-4.423043068393066,0.011290684566022335
329,330,    P-2438,   2023/02/01 20:59:06,           1-16,6,-4.729,-9.308,-56.72,0.197,19688.0,0,1,IceLava,                               T1V16-ID2,                 H2O,1675303454,0.238,0.206,0.362,0.164,143.781,0,0,3.457,93.516,24.367,1,58.276,0.869,0.025,0,0,0,"    
21.87",40.875,1,16,2,WassenaarRS,0,1,-8.368676584043607,-4.407286514797876,0.020226982232895985
330,331,    P-2438,   2023/02/01 21:08:06,           1-16,7,-4.728,-9.324,-56.748,0.206,19897.0,0,1,IceLava,                               T1V16-ID2,                 H2O,1675303994,0.219,0.193,0.384,0.153,140.981,0.001,-0.001,3.367,94.434,24.57,1.015,58.987,0.869,0.003,0,0,0,"    
21.67",41.312,1,16,2,WassenaarRS,0,1,-8.384602985807142,-4.406301730198177,0.0296963012913789
331,332,    P-2438,   2023/02/01 21:17:07,           1-16,8,-4.768,-9.346,-56.81,0.178,20007.0,0,1,IceLava,                               T1V16-ID2,                 H2O,1675304535,0.217,0.207,0.403,0.146,142.858,0.001,0,3.407,94.888,24.722,1.025,59.436,0.87,0.094,0,0,0,"    
21.73",41.688,1,16,2,WassenaarRS,0,1,-8.406501788232003,-4.445693114186151,0.00179025976279501
332,333,    P-2438,   2023/02/01 21:26:05,           1-16,9,-4.753,-9.346,-56.743,0.193,20157.0,0,1,IceLava,                               T1V16-ID2,                 H2O,1675305073,0.223,0.193,0.38,0.157,142.061,0.001,-0.002,3.392,95.575,24.958,1.033,59.358,0.87,-0.014,0,0,0,"    
21.71",41.688,1,16,2,WassenaarRS,0,1,-8.406501788232003,-4.430921345190661,0.016627882687724416
333,334,    P-2438,   2023/02/01 21:35:05,           1-16,10,-4.766,-9.37,-56.85,0.193,20087.0,0,1,IceLava,                               T1V16-ID2,                 H2O,1675305612,0.217,0.189,0.368,0.151,141.867,0.001,-0.002,3.39,95.206,24.761,1.037,59.969,0.87,0.125,0,0,0,"    
21.77",41.688,1,16,2,WassenaarRS,0,1,-8.430391390877302,-4.443723544986752,0.01648942177531687
334,335,    P-2438,   2023/02/01 21:44:05,           1-16,11,-4.784,-9.371,-56.786,0.176,20267.0,0,1,IceLava,                               T1V16-ID2,                 H2O,1675306152,0.199,0.172,0.348,0.156,143.533,0,-0.001,3.436,95.917,25.11,1.049,60.35,0.869,0.122,0,0,0,"    
21.73",41.625,1,16,2,WassenaarRS,0,1,-8.431386790987526,-4.4614496677813404,-0.0007859411518307269
335,336,    P-2438,   2023/02/01 21:53:05,           1-16,12,-4.769,-9.367,-56.877,0.189,20724.0,0,1,IceLava,                               T1V16-ID2,                 H2O,1675306692,0.206,0.184,0.35,0.143,145.208,0,-0.001,3.469,98.001,25.518,1.081,61.834,0.87,0.112,0,0,0,"    
21.71",41.625,1,16,2,WassenaarRS,0,1,-8.427405190546642,-4.44667789878585,0.011931759935913
336,337,    P-2438,   2023/02/01 22:02:04,           1-16,13,-4.77,-9.345,-56.827,0.176,20582.0,0,1,IceLava,                               T1V16-ID2,                 H2O,1675307231,0.191,0.168,0.35,0.144,141.963,0.001,-0.001,3.374,97.423,25.326,1.071,60.996,0.869,0.035,0,0,0,"    
21.67",41.688,1,16,2,WassenaarRS,0,1,-8.405506388121783,-4.447662683385549,-0.0007181332590713296
337,338,    P-2438,   2023/02/01 22:11:03,           1-16,14,-4.753,-9.363,-56.874,0.202,20703.0,0,1,IceLava,                               T1V16-ID2,                 H2O,1675307770,0.197,0.177,0.359,0.144,143.27,0.001,-0.001,3.419,97.901,25.523,1.074,61.599,0.871,0.078,0,0,0,"    
21.62",41.688,1,16,2,WassenaarRS,0,1,-8.423423590105758,-4.430921345190661,0.025638417390609014
338,339,    P-2438,   2023/02/01 22:20:01,           1-16,15,-4.795,-9.388,-56.885,0.174,20576.0,0,1,IceLava,                               T1V16-ID2,                 H2O,1675308309,0.213,0.177,0.392,0.157,143.976,0,-0.002,3.438,97.295,25.472,1.066,61.157,0.869,0.093,0,0,0,"    
21.79",41.688,1,16,2,WassenaarRS,0,1,-8.448308592861279,-4.472282298378033,-0.0026564159312023605
339,340,    P-2438,   2023/02/01 22:29:00,           1-16,16,-4.759,-9.352,-56.871,0.191,20600.0,0,1,IceLava,                               T1V16-ID2,                 H2O,1675308848,0.2,0.162,0.326,0.152,142.951,0,-0.001,3.415,97.472,25.328,1.068,61.309,0.869,0.088,0,0,0,"    
21.71",41.688,1,16,2,WassenaarRS,0,1,-8.412474188893327,-4.436830052788857,0.013873031096737876
340,341,    P-2438,   2023/02/01 22:38:00,           1-16,17,-4.801,-9.38,-56.84,0.164,20630.0,0,1,IceLava,                               T1V16-ID2,                 H2O,1675309387,0.206,0.177,0.374,0.148,145.543,0.001,-0.001,3.456,97.551,25.42,1.075,61.499,0.87,0.071,0,0,0,"    
21.75",41.75,1,16,2,WassenaarRS,0,1,-8.440345391979514,-4.47819100597623,-0.012832062461524352
341,342,    P-2438,   2023/02/01 22:47:00,           1-16,18,-4.732,-9.331,-56.89,0.207,20677.0,0,1,IceLava,                               T1V16-ID2,                 H2O,1675309928,0.203,0.181,0.352,0.151,142.808,0.001,-0.002,3.41,97.848,25.451,1.071,61.199,0.87,-0.066,0,0,0,"    
21.74",41.812,1,16,2,WassenaarRS,0,1,-8.391570786578688,-4.410240868596975,0.029449840827259877
342,343,    P-2438,   2023/02/01 22:56:00,           1-16,19,-4.772,-9.352,-56.832,0.178,20636.0,0,1,IceLava,                               T1V16-ID2,                 H2O,1675310467,0.212,0.176,0.355,0.151,143.328,0,-0.002,3.422,97.579,25.517,1.074,61.205,0.87,0.131,0,0,0,"    
21.79",41.812,1,16,2,WassenaarRS,0,1,-8.412474188893327,-4.449632252584949,0.001013694294520917
343,344,    P-2438,   2023/02/01 23:05:00,           1-16,20,-4.781,-9.382,-56.897,0.185,20669.0,0,1,IceLava,                               T1V16-ID2,                 H2O,1675311008,0.201,0.168,0.355,0.147,144.025,0,-0.001,3.442,97.729,25.526,1.072,61.381,0.87,0.105,0,0,0,"    
21.77",41.812,1,16,2,WassenaarRS,0,1,-8.442336192199955,-4.458495313982242,0.008012122761444473
344,345,    P-2438,   2023/02/01 23:13:59,           1-16,21,-4.796,-9.375,-56.9,0.166,20400.0,0,1,IceLava,                               T1V16-ID2,                 H2O,1675311548,0.209,0.183,0.355,0.148,142.605,0,-0.001,3.407,96.582,25.212,1.054,60.343,0.87,0.009,0,0,0,"    
21.74",41.812,1,16,2,WassenaarRS,0,1,-8.435368391428408,-4.473267082977733,-0.010536220692558551
345,346,    P-2438,   2023/02/01 23:22:59,           1-16,22,-4.753,-9.354,-57.007,0.198,20359.0,0,1,IceLava,                               T1V16-ID2,                 H2O,1675312086,0.198,0.159,0.357,0.155,144.294,0,-0.001,3.426,96.483,25.168,1.043,59.919,0.869,0.005,0,0,0,"    
21.77",41.812,1,16,2,WassenaarRS,0,1,-8.41446498911377,-4.430921345190661,0.020868115158100053
346,347,    P-2438,   2023/02/01 23:31:58,           1-16,23,-4.791,-9.379,-56.919,0.172,20628.0,0,1,IceLava,                               T1V16-ID2,                 H2O,1675312626,0.208,0.181,0.341,0.153,143.736,0.001,-0.002,3.407,97.558,25.493,1.064,61.225,0.87,0.054,0,0,0,"    
21.67",41.812,1,16,2,WassenaarRS,0,1,-8.43934999186929,-4.468343159979237,-0.0034700112322978427
347,348,    P-2438,   2023/02/01 23:40:58,           1-16,24,-4.765,-9.361,-56.849,0.189,20618.0,0,1,IceLava,                               T1V16-ID2,                 H2O,1675313165,0.201,0.17,0.348,0.155,145.184,-0.001,-0.001,3.447,97.495,25.485,1.07,61.168,0.87,0.103,0,0,0,"    
21.59",41.875,1,16,2,WassenaarRS,0,1,-8.421432789885316,-4.442738760387052,0.012708265775841276
