,Line,Analysis,Time Code,Port,Inj Nr,d(17_16)Mean,d(18_16)Mean,d(D_H)Mean,E17_Mean,H2O_Mean,Ignore,Good,SampleName,Identifier 2,Gas Configuration,Timestamp Mean,d(17_16)_SD,d(18_16)_SD,d(D_H)_SD,E17_SD,H2O_SD,d(18_16)_Sl,d(D_H)_Sl,H2O_Sl,baseline_shift,slope_shift,residuals,baseline_curvature,interval,ch4_ppm,h16od_adjust,h16od_shift,n2_flag,Resistance,DAS Temp,Tray,Sample,Job,Method,Error Code,Pulse Good,d18O_amended,d17O_amended,E17O_amended
75,76,    P-2395,   2023/01/27 01:24:37,           1-05,1,4.128,7.381,22.503,0.237,21560.0,      -1,    1,MegaBoil,                                T1V5-ID2,                 H2O, 1674800984.65,         0.223,         0.191,         0.445,         0.158,       167.502,        -0.001,        -0.006,         3.973,       101.781,        25.834,         1.155,        65.432,         0.870,         0.006,       -0.0000,        0.0000,    0,"    
21.81",        40.750,1,5,3,WassenaarRS,0,1,8.067982300779486,4.237777540444711,-0.013978701352827194
76,77,    P-2395,   2023/01/27 01:33:37,           1-05,2,3.957,7.065,21.8,0.232,20980.0,      -1,    1,MegaBoil,                                T1V5-ID2,                 H2O, 1674801524.70,         0.211,         0.183,         0.460,         0.152,       163.174,        -0.001,        -0.006,         3.890,        99.180,        25.270,         1.114,        63.490,         0.871,         0.042,        0.0000,       -0.0000,    0,"    
21.75",        41.312,1,5,3,WassenaarRS,0,1,7.754461386076991,4.069919929012081,-0.01690223482324882
77,78,    P-2395,   2023/01/27 01:42:36,           1-05,3,4.165,7.445,23.086,0.24,20213.0,      -1,    1,MegaBoil,                                T1V5-ID2,                 H2O, 1674802064.03,         0.227,         0.196,         0.447,         0.157,       154.191,        -0.001,        -0.005,         3.687,        95.852,        24.447,         1.057,        60.790,         0.869,        -0.030,       -0.0000,        0.0000,    0,"    
21.77",        41.750,1,5,3,WassenaarRS,0,1,8.131480207554675,4.274097608415514,-0.011070072074376824
78,79,    P-2395,   2023/01/27 01:51:37,           1-05,4,4.207,7.498,23.199,0.254,20147.0,       0,    1,MegaBoil,                                T1V5-ID2,                 H2O, 1674802604.25,         0.202,         0.176,         0.461,         0.148,       155.117,         0.000,        -0.006,         3.710,        95.630,        24.284,         1.051,        60.416,         0.869,        -0.172,        0.0000,       -0.0000,    0,"    
21.81",        41.500,1,5,3,WassenaarRS,0,1,8.18406441160288,4.315325793679668,0.0024420108536835627
79,80,    P-2395,   2023/01/27 02:00:37,           1-05,5,4.144,7.398,23.062,0.244,20192.0,       0,    1,MegaBoil,                                T1V5-ID2,                 H2O, 1674803144.47,         0.219,         0.183,         0.408,         0.159,       163.880,        -0.000,        -0.003,         3.914,        95.726,        24.334,         1.062,        61.179,         0.870,         0.061,       -0.0000,        0.0000,    0,"    
21.76",        41.500,1,5,3,WassenaarRS,0,1,8.084848932266645,4.2534835157834365,-0.007173358365098359
80,81,    P-2395,   2023/01/27 02:09:37,           1-05,6,4.206,7.492,23.404,0.257,20225.0,       0,    1,MegaBoil,                                T1V5-ID2,                 H2O, 1674803684.51,         0.207,         0.179,         0.449,         0.151,       159.787,        -0.001,        -0.005,         3.815,        95.843,        24.408,         1.060,        61.224,         0.870,        -0.000,       -0.0000,       -0.0000,    0,"    
21.81",        42.000,1,5,3,WassenaarRS,0,1,8.178111482842704,4.314344170220998,0.004582245433707222
81,82,    P-2395,   2023/01/27 02:18:36,           1-05,7,4.135,7.374,22.91,0.248,20228.0,       0,    1,MegaBoil,                                T1V5-ID2,                 H2O, 1674804224.08,         0.235,         0.195,         0.431,         0.163,       166.746,         0.000,        -0.002,         3.976,        95.957,        24.298,         1.063,        61.111,         0.871,        -0.082,        0.0000,        0.0000,    0,"    
21.74",        42.250,1,5,3,WassenaarRS,0,1,8.061037217225948,4.244648904655403,-0.003498688877108691
82,83,    P-2395,   2023/01/27 02:27:37,           1-05,8,4.193,7.512,23.5,0.233,20250.0,       0,    1,MegaBoil,                                T1V5-ID2,                 H2O, 1674804764.81,         0.190,         0.167,         0.412,         0.141,       155.666,        -0.000,        -0.004,         3.742,        95.962,        24.355,         1.069,        61.619,         0.870,         0.035,       -0.0000,        0.0000,    0,"    
21.77",        42.250,1,5,3,WassenaarRS,0,1,8.19795457870995,4.301583065258283,-0.01851618501947705
83,84,    P-2395,   2023/01/27 02:36:37,           1-05,9,4.193,7.555,23.661,0.21,20115.0,       0,    1,MegaBoil,                                T1V5-ID2,                 H2O, 1674805305.20,         0.202,         0.169,         0.409,         0.154,       151.804,        -0.001,        -0.004,         3.629,        95.347,        24.253,         1.062,        60.961,         0.869,         0.037,       -0.0000,        0.0000,    0,"    
21.67",        41.562,1,5,3,WassenaarRS,0,1,8.24061723482453,4.301583065258283,-0.0408584301508883
84,85,    P-2395,   2023/01/27 02:45:37,           1-05,10,4.189,7.524,23.522,0.223,20177.0,       0,    1,MegaBoil,                                T1V5-ID2,                 H2O, 1674805845.50,         0.199,         0.195,         0.471,         0.142,       157.283,        -0.000,        -0.007,         3.761,        95.655,        24.353,         1.057,        60.948,         0.870,        -0.041,       -0.0000,        0.0000,    0,"    
21.77",        40.875,1,5,3,WassenaarRS,0,1,8.209860436230299,4.297656571423602,-0.028661008957509004
85,86,    P-2395,   2023/01/27 02:54:38,           1-05,11,4.155,7.453,23.402,0.225,20165.0,       0,    1,MegaBoil,                                T1V5-ID2,                 H2O, 1674806385.87,         0.224,         0.181,         0.414,         0.158,       161.608,        -0.000,        -0.004,         3.856,        95.623,        24.276,         1.059,        61.044,         0.870,        -0.025,       -0.0000,        0.0000,    0,"    
21.66",        41.312,1,5,3,WassenaarRS,0,1,8.139417445901573,4.26428137382881,-0.02500161988666072
86,87,    P-2395,   2023/01/27 03:03:38,           1-05,12,4.216,7.531,23.547,0.246,20209.0,       0,    1,MegaBoil,                                T1V5-ID2,                 H2O, 1674806925.39,         0.204,         0.178,         0.389,         0.152,       157.245,        -0.000,        -0.004,         3.756,        95.785,        24.376,         1.062,        61.270,         0.870,         0.031,        0.0000,        0.0000,    0,"    
21.62",        41.938,1,5,3,WassenaarRS,0,1,8.216805519783835,4.324160404807701,-0.00590807188806064
87,88,    P-2395,   2023/01/27 03:12:38,           1-05,13,4.23,7.561,23.61,0.244,20238.0,       0,    1,MegaBoil,                                T1V5-ID2,                 H2O, 1674807464.97,         0.215,         0.195,         0.409,         0.145,       155.439,         0.000,        -0.003,         3.703,        95.945,        24.321,         1.064,        61.398,         0.870,        -0.014,        0.0000,       -0.0000,    0,"    
21.79",        42.250,1,5,3,WassenaarRS,0,1,8.246570163584705,4.337903133229086,-0.00781202813053028
88,89,    P-2395,   2023/01/27 03:21:38,           1-05,14,4.205,7.543,23.682,0.229,20242.0,       0,    1,MegaBoil,                                T1V5-ID2,                 H2O, 1674808005.49,         0.207,         0.191,         0.408,         0.144,       152.343,        -0.000,        -0.005,         3.639,        95.895,        24.266,         1.073,        61.941,         0.869,         0.096,        0.0000,       -0.0000,    0,"    
21.72",        42.250,1,5,3,WassenaarRS,0,1,8.228711377304183,4.3133625467623276,-0.022894520769614957
89,90,    P-2395,   2023/01/27 03:30:37,           1-05,15,4.206,7.55,23.707,0.225,20095.0,       0,    1,MegaBoil,                                T1V5-ID2,                 H2O, 1674808544.76,         0.208,         0.172,         0.420,         0.154,       150.811,         0.000,        -0.005,         3.603,        95.287,        24.228,         1.057,        60.795,         0.869,         0.009,        0.0000,        0.0000,    0,"    
21.85",        41.688,1,5,3,WassenaarRS,0,1,8.235656460857719,4.314344170220998,-0.02555417684544281
90,91,    P-2395,   2023/01/27 03:39:36,           1-05,16,4.188,7.553,23.674,0.206,20148.0,       0,    1,MegaBoil,                                T1V5-ID2,                 H2O, 1674809084.20,         0.221,         0.187,         0.446,         0.151,       153.321,        -0.000,        -0.006,         3.659,        95.477,        24.288,         1.062,        61.185,         0.870,         0.059,       -0.0000,        0.0000,    0,"    
21.68",        41.312,1,5,3,WassenaarRS,0,1,8.238632925237805,4.296674947964931,-0.044706383911875314
91,92,    P-2395,   2023/01/27 03:48:36,           1-05,17,4.232,7.566,23.672,0.243,20200.0,       0,    1,MegaBoil,                                T1V5-ID2,                 H2O, 1674809624.45,         0.230,         0.195,         0.423,         0.165,       154.574,         0.000,        -0.005,         3.690,        95.767,        24.214,         1.065,        61.471,         0.870,        -0.036,       -0.0000,        0.0000,    0,"    
21.70",        41.562,1,5,3,WassenaarRS,0,1,8.251530937551516,4.339866380146427,-0.008455121501122598
92,93,    P-2395,   2023/01/27 03:57:35,           1-05,18,4.251,7.559,23.61,0.266,20247.0,       0,    1,MegaBoil,                                T1V5-ID2,                 H2O, 1674810162.83,         0.198,         0.177,         0.446,         0.144,       151.762,        -0.000,        -0.005,         3.623,        96.044,        24.234,         1.065,        61.405,         0.870,        -0.091,       -0.0000,       -0.0000,    0,"    
21.78",        42.125,1,5,3,WassenaarRS,0,1,8.24458585399798,4.3585172258611635,0.013751965250065723
93,94,    P-2395,   2023/01/27 04:06:35,           1-05,19,4.253,7.581,23.688,0.256,20125.0,       0,    1,MegaBoil,                                T1V5-ID2,                 H2O, 1674810702.47,         0.219,         0.192,         0.421,         0.150,       151.925,        -0.000,        -0.004,         3.628,        95.426,        24.235,         1.060,        61.013,         0.870,        -0.016,        0.0000,       -0.0000,    0,"    
21.79",        42.062,1,5,3,WassenaarRS,0,1,8.266413259451951,4.360480472778504,0.004276184998196264
94,95,    P-2395,   2023/01/27 04:15:35,           1-05,20,4.238,7.579,23.728,0.243,20097.0,       0,    1,MegaBoil,                                T1V5-ID2,                 H2O, 1674811242.93,         0.219,         0.186,         0.495,         0.159,       155.708,        -0.000,        -0.005,         3.718,        95.309,        24.092,         1.058,        61.230,         0.870,        -0.002,       -0.0000,       -0.0000,    0,"    
21.71",        41.438,1,5,3,WassenaarRS,0,1,8.264428949865227,4.345756120898449,-0.009345221206037202
95,96,    P-2395,   2023/01/27 04:24:35,           1-05,21,4.21,7.552,23.781,0.228,20167.0,       0,    1,MegaBoil,                                T1V5-ID2,                 H2O, 1674811783.05,         0.188,         0.163,         0.411,         0.143,       154.198,        -0.000,        -0.005,         3.686,        95.599,        24.289,         1.064,        61.069,         0.870,         0.057,       -0.0000,        0.0000,    0,"    
21.71",        41.625,1,5,3,WassenaarRS,0,1,8.237640770444443,4.318270664055679,-0.022683714423567203
96,97,    P-2395,   2023/01/27 04:33:35,           1-05,22,4.231,7.545,23.695,0.253,20189.0,       0,    1,MegaBoil,                                T1V5-ID2,                 H2O, 1674812323.35,         0.199,         0.191,         0.424,         0.141,       155.409,        -0.000,        -0.004,         3.709,        95.692,        24.368,         1.062,        61.275,         0.870,         0.020,       -0.0000,       -0.0000,    0,"    
21.74",        41.938,1,5,3,WassenaarRS,0,1,8.230695686890908,4.338884756687756,0.0014785890659876344
97,98,    P-2395,   2023/01/27 04:42:34,           1-05,23,4.232,7.566,23.767,0.243,20180.0,       0,    1,MegaBoil,                                T1V5-ID2,                 H2O, 1674812861.76,         0.221,         0.188,         0.468,         0.163,       154.377,         0.000,        -0.006,         3.661,        95.646,        24.239,         1.063,        61.491,         0.870,        -0.018,       -0.0000,       -0.0000,    0,"    
21.77",        42.188,1,5,3,WassenaarRS,0,1,8.251530937551516,4.339866380146427,-0.008455121501122598
98,99,    P-2395,   2023/01/27 04:51:34,           1-05,24,4.225,7.565,23.801,0.237,20177.0,       0,    1,MegaBoil,                                T1V5-ID2,                 H2O, 1674813402.33,         0.241,         0.199,         0.440,         0.168,       150.356,        -0.000,        -0.005,         3.589,        95.657,        24.265,         1.066,        61.165,         0.870,         0.016,        0.0000,        0.0000,    0,"    
21.80",        42.250,1,5,3,WassenaarRS,0,1,8.250538782758154,4.332995015935734,-0.014777246438059777
99,100,    P-2395,   2023/01/27 05:00:35,           1-05,25,4.228,7.565,23.781,0.24,20108.0,       0,    1,MegaBoil,                                T1V5-ID2,                 H2O, 1674813942.01,         0.197,         0.186,         0.424,         0.140,       149.559,        -0.000,        -0.004,         3.549,        95.334,        24.280,         1.052,        60.897,         0.870,         0.006,       -0.0000,       -0.0000,    0,"    
21.76",        42.062,1,5,3,WassenaarRS,0,1,8.250538782758154,4.335939886311745,-0.01184508541856033
100,101,    P-2395,   2023/01/27 05:09:34,           1-05,26,4.212,7.582,23.836,0.215,20114.0,       0,    1,MegaBoil,                                T1V5-ID2,                 H2O, 1674814481.84,         0.200,         0.186,         0.455,         0.142,       149.706,        -0.001,        -0.005,         3.580,        95.342,        24.252,         1.056,        61.057,         0.869,         0.044,       -0.0000,        0.0000,    0,"    
21.75",        41.438,1,5,3,WassenaarRS,0,1,8.267405414245314,4.32023391097302,-0.036316009829584495
101,102,    P-2395,   2023/01/27 05:18:34,           1-05,27,4.233,7.57,23.871,0.242,20095.0,       0,    1,MegaBoil,                                T1V5-ID2,                 H2O, 1674815021.76,         0.204,         0.197,         0.415,         0.139,       158.511,        -0.000,        -0.005,         3.790,        95.276,        24.198,         1.059,        60.907,         0.869,         0.063,        0.0000,        0.0000,    0,"    
21.79",        41.000,1,5,3,WassenaarRS,0,1,8.255499556724967,4.340848003605097,-0.009556018052120585
102,103,    P-2395,   2023/01/27 05:27:34,           1-05,28,4.227,7.577,23.834,0.233,20188.0,       0,    1,MegaBoil,                                T1V5-ID2,                 H2O, 1674815561.89,         0.228,         0.195,         0.427,         0.158,       153.856,         0.000,        -0.004,         3.673,        95.705,        24.374,         1.058,        60.990,         0.870,         0.002,        0.0000,        0.0000,    0,"    
21.63",        41.625,1,5,3,WassenaarRS,0,1,8.262444640278503,4.334958262853076,-0.019057286541577234
103,104,    P-2395,   2023/01/27 05:36:34,           1-05,29,4.232,7.568,23.845,0.242,20187.0,       0,    1,MegaBoil,                                T1V5-ID2,                 H2O, 1674816102.10,         0.220,         0.178,         0.429,         0.162,       153.310,        -0.000,        -0.005,         3.641,        95.665,        24.449,         1.058,        60.927,         0.870,         0.037,        0.0000,       -0.0000,    0,"    
21.83",        42.125,1,5,3,WassenaarRS,0,1,8.25351524713824,4.339866380146427,-0.00949426143655785
104,105,    P-2395,   2023/01/27 05:45:33,           1-05,30,4.267,7.622,23.876,0.249,20095.0,       0,    1,MegaBoil,                                T1V5-ID2,                 H2O, 1674816640.42,         0.212,         0.188,         0.423,         0.155,       151.093,        -0.000,        -0.004,         3.585,        95.308,        24.302,         1.054,        60.528,         0.869,        -0.008,        0.0000,        0.0000,    0,"    
21.74",        41.688,1,5,3,WassenaarRS,0,1,8.307091605979807,4.374223201199889,-0.0033424904317476134
105,106,    P-2395,   2023/01/27 05:54:34,           1-05,31,4.242,7.586,23.908,0.243,20103.0,       0,    1,MegaBoil,                                T1V5-ID2,                 H2O, 1674817181.90,         0.196,         0.174,         0.414,         0.139,       156.653,        -0.000,        -0.004,         3.740,        95.322,        24.168,         1.059,        61.025,         0.870,        -0.035,        0.0000,        0.0000,    0,"    
21.73",        40.938,1,5,3,WassenaarRS,0,1,8.271374033418763,4.34968261473313,-0.009072659066461597
106,107,    P-2395,   2023/01/27 06:03:35,           1-05,32,4.262,7.615,23.809,0.248,20407.0,       0,    1,MegaBoil,                                T1V5-ID2,                 H2O, 1674817722.48,         0.211,         0.175,         0.402,         0.150,       155.394,        -0.000,        -0.004,         3.688,        96.685,        24.615,         1.074,        61.527,         0.870,        -0.042,       -0.0000,        0.0000,    0,"    
21.64",        41.438,1,5,3,WassenaarRS,0,1,8.300146522426271,4.369315083906537,-0.004592438497618367
107,108,    P-2395,   2023/01/27 06:12:34,           1-05,33,4.237,7.624,23.965,0.218,20444.0,       0,    1,MegaBoil,                                T1V5-ID2,                 H2O, 1674818262.36,         0.225,         0.199,         0.405,         0.159,       149.046,        -0.000,        -0.004,         3.560,        96.817,        24.583,         1.083,        61.956,         0.869,         0.012,       -0.0000,        0.0000,    0,"    
21.70",        42.000,1,5,3,WassenaarRS,0,1,8.309075915566531,4.344774497439778,-0.03370245252969717
108,109,    P-2395,   2023/01/27 06:21:34,           1-05,34,4.297,7.637,23.905,0.27,20145.0,       0,    1,MegaBoil,                                T1V5-ID2,                 H2O, 1674818802.31,         0.201,         0.197,         0.430,         0.132,       148.644,        -0.000,        -0.005,         3.548,        95.605,        24.131,         1.062,        60.941,         0.869,        -0.089,        0.0000,       -0.0000,    0,"    
21.78",        41.812,1,5,3,WassenaarRS,0,1,8.321973927880242,4.403671904959999,0.018184459075900605
109,110,    P-2395,   2023/01/27 06:30:34,           1-05,35,4.246,7.587,23.899,0.246,19976.0,       0,    1,MegaBoil,                                T1V5-ID2,                 H2O, 1674819342.14,         0.221,         0.170,         0.410,         0.162,       154.943,         0.000,        -0.004,         3.705,        94.765,        24.112,         1.046,        60.398,         0.868,        -0.024,       -0.0000,       -0.0000,    0,"    
21.83",        41.062,1,5,3,WassenaarRS,0,1,8.272366188212125,4.353609108567812,-0.00568273790721463
110,111,    P-2395,   2023/01/27 06:39:34,           1-05,36,4.228,7.574,23.939,0.235,20179.0,       0,    1,MegaBoil,                                T1V5-ID2,                 H2O, 1674819882.17,         0.210,         0.175,         0.407,         0.155,       154.357,         0.000,        -0.004,         3.685,        95.641,        24.286,         1.062,        61.305,         0.870,         0.035,       -0.0000,        0.0000,    0,"    
21.78",        41.438,1,5,3,WassenaarRS,0,1,8.259468175898414,4.335939886311745,-0.01652120362469045
111,112,    P-2395,   2023/01/27 06:48:34,           1-05,37,4.275,7.619,23.997,0.258,20266.0,       0,    1,MegaBoil,                                T1V5-ID2,                 H2O, 1674820422.31,         0.235,         0.196,         0.424,         0.165,       152.011,         0.000,        -0.005,         3.628,        96.071,        24.272,         1.072,        61.591,         0.870,         0.004,       -0.0000,        0.0000,    0,"    
21.62",        41.938,1,5,3,WassenaarRS,0,1,8.30411514159972,4.382076188869252,0.006034893401606567
112,113,    P-2395,   2023/01/27 06:57:34,           1-05,38,4.247,7.613,24.003,0.233,20220.0,       0,    1,MegaBoil,                                T1V5-ID2,                 H2O, 1674820962.18,         0.222,         0.184,         0.430,         0.162,       151.467,        -0.000,        -0.004,         3.637,        95.844,        24.242,         1.067,        61.559,         0.870,         0.023,       -0.0000,        0.0000,    0,"    
21.70",        41.625,1,5,3,WassenaarRS,0,1,8.298162212839546,4.354590732026482,-0.018213750508868642
113,114,    P-2395,   2023/01/27 07:06:34,           1-05,39,4.259,7.625,23.945,0.24,20228.0,       0,    1,MegaBoil,                                T1V5-ID2,                 H2O, 1674821501.88,         0.213,         0.180,         0.469,         0.148,       154.193,        -0.000,        -0.006,         3.678,        95.850,        24.300,         1.071,        61.605,         0.870,         0.047,       -0.0000,        0.0000,    0,"    
21.70",        41.375,1,5,3,WassenaarRS,0,1,8.310068070359893,4.3663702135305265,-0.01271993079733047
114,115,    P-2395,   2023/01/27 07:15:34,           1-05,40,4.265,7.616,23.902,0.25,20157.0,       0,    1,MegaBoil,                                T1V5-ID2,                 H2O, 1674822041.50,         0.228,         0.198,         0.398,         0.158,       153.792,         0.000,        -0.004,         3.651,        95.634,        24.309,         1.053,        60.622,         0.869,        -0.082,       -0.0000,        0.0000,    0,"    
21.82",        41.812,1,5,3,WassenaarRS,0,1,8.301138677219633,4.372259954282548,-0.002179928683102794
115,116,    P-2395,   2023/01/27 07:24:33,           1-05,41,4.263,7.587,23.922,0.264,20243.0,       0,    1,MegaBoil,                                T1V5-ID2,                 H2O, 1674822580.96,         0.222,         0.184,         0.397,         0.160,       154.800,         0.000,        -0.004,         3.695,        95.889,        24.420,         1.066,        61.518,         0.869,         0.047,        0.0000,       -0.0000,    0,"    
21.73",        42.188,1,5,3,WassenaarRS,0,1,8.272366188212125,4.370296707365207,0.010932386500194013
116,117,    P-2395,   2023/01/27 07:33:33,           1-05,42,4.278,7.647,23.807,0.246,19929.0,       0,    1,MegaBoil,                                T1V5-ID2,                 H2O, 1674823121.42,         0.219,         0.192,         0.452,         0.163,       145.961,         0.001,        -0.006,         3.484,        94.574,        23.988,         1.045,        60.576,         0.870,         0.005,       -0.0000,       -0.0000,    0,"    
21.78",        42.125,1,5,3,WassenaarRS,0,1,8.331895475813866,4.385021059245262,-0.0055801031883166985
117,118,    P-2395,   2023/01/27 07:42:33,           1-05,43,4.222,7.585,24.08,0.223,20062.0,       0,    1,MegaBoil,                                T1V5-ID2,                 H2O, 1674823661.06,         0.218,         0.176,         0.405,         0.158,       155.950,         0.000,        -0.005,         3.709,        95.042,        24.173,         1.068,        61.224,         0.869,         0.146,        0.0000,       -0.0000,    0,"    
21.70",        41.438,1,5,3,WassenaarRS,0,1,8.2703818786254,4.330050145559723,-0.028100733607022477
118,119,    P-2395,   2023/01/27 07:51:33,           1-05,44,4.235,7.588,24.083,0.235,20142.0,       0,    1,MegaBoil,                                T1V5-ID2,                 H2O, 1674824200.73,         0.202,         0.177,         0.411,         0.150,       155.214,         0.000,        -0.005,         3.708,        95.445,        24.285,         1.064,        61.067,         0.869,         0.013,        0.0000,        0.0000,    0,"    
21.80",        41.188,1,5,3,WassenaarRS,0,1,8.273358343005487,4.342811250522438,-0.016953407353883065
119,120,    P-2395,   2023/01/27 08:00:33,           1-05,45,4.243,7.605,23.911,0.233,20040.0,       0,    1,MegaBoil,                                T1V5-ID2,                 H2O, 1674824740.61,         0.253,         0.209,         0.409,         0.178,       152.479,        -0.000,        -0.005,         3.640,        95.060,        24.042,         1.058,        60.950,         0.870,         0.002,       -0.0000,        0.0000,    0,"    
21.76",        41.688,1,5,3,WassenaarRS,0,1,8.290224974492647,4.350664238191801,-0.017966839884148378
