,Line,Analysis,Time Code,Port,Inj Nr,d(17_16)Mean,d(18_16)Mean,d(D_H)Mean,E17_Mean,H2O_Mean,Ignore,Good,SampleName,Identifier 2,Gas Configuration,Timestamp Mean,d(17_16)_SD,d(18_16)_SD,d(D_H)_SD,E17_SD,H2O_SD,d(18_16)_Sl,d(D_H)_Sl,H2O_Sl,baseline_shift,slope_shift,residuals,baseline_curvature,interval,ch4_ppm,h16od_adjust,h16od_shift,n2_flag,Resistance,DAS Temp,Tray,Sample,Job,Method,Error Code,Pulse Good,d18O_amended,d17O_amended,E17O_amended
75,76,    P-2424,   2023/01/31 06:36:30,           1-05,1,4.04,7.158,21.626,0.266,21261.0,-1,1,MegaBoil,                                T1V5-ID2,                 H2O,1675165298,0.211,0.186,0.529,0.147,164.173,-0.002,-0.009,3.925,100.348,25.572,1.157,64.694,0.871,0.21,0,0,0,"    
21.68",41.312,1,5,3,WassenaarRS,0,1,8.021581630853738,4.228289639965759,0.0008774245545355441
76,77,    P-2424,   2023/01/31 06:45:31,           1-05,2,3.915,6.856,20.85,0.3,21101.0,-1,1,MegaBoil,                                T1V5-ID2,                 H2O,1675165839,0.201,0.184,0.505,0.141,163.906,-0.002,-0.008,3.915,99.716,25.393,1.134,63.792,0.871,0.062,0,0,0,"    
21.77",41.5,1,5,3,WassenaarRS,0,1,7.720970797567027,4.10519156500334,0.035773068373664785
77,78,    P-2424,   2023/01/31 06:54:30,           1-05,3,4.096,7.275,22.36,0.26,20840.0,-1,1,MegaBoil,                                T1V5-ID2,                 H2O,1675166377,0.227,0.198,0.506,0.162,160.604,-0.001,-0.007,3.808,98.509,25.088,1.12,63.214,0.871,0.16,0,0,0,"    
21.77",41.688,1,5,3,WassenaarRS,0,1,8.138043443749584,4.283437577548923,-0.005207322300470274
78,79,    P-2424,   2023/01/31 07:03:29,           1-05,4,4.082,7.273,22.56,0.248,20500.0,0,1,MegaBoil,                                T1V5-ID2,                 H2O,1675166917,0.203,0.177,0.519,0.145,157.059,-0.001,-0.009,3.734,96.964,24.826,1.097,62.176,0.87,0.204,0,0,0,"    
21.69",41.438,1,5,3,WassenaarRS,0,1,8.136052643529142,4.2696505931531314,-0.01789293876861109
79,80,    P-2424,   2023/01/31 07:12:30,           1-05,5,4.147,7.329,22.562,0.283,20352.0,0,1,MegaBoil,                                T1V5-ID2,                 H2O,1675167458,0.214,0.187,0.522,0.148,161.3,-0.001,-0.009,3.859,96.458,24.585,1.08,61.093,0.869,0.016,0,0,0,"    
21.77",40.938,1,5,3,WassenaarRS,0,1,8.191795049701513,4.3336615921335895,0.016650230646875208
80,81,    P-2424,   2023/01/31 07:21:30,           1-05,6,4.084,7.286,22.705,0.242,20605.0,0,1,MegaBoil,                                T1V5-ID2,                 H2O,1675167998,0.201,0.186,0.571,0.143,159.458,-0.001,-0.01,3.788,97.428,24.644,1.121,63.16,0.87,0.247,0,0,0,"    
21.78",41,1,5,3,WassenaarRS,0,1,8.148992844962013,4.27162016235253,-0.022708987617717113
81,82,    P-2424,   2023/01/31 07:30:30,           1-05,7,4.134,7.293,22.648,0.288,20432.0,0,1,MegaBoil,                                T1V5-ID2,                 H2O,1675168539,0.189,0.163,0.505,0.148,159.344,-0.002,-0.008,3.811,96.703,24.701,1.089,61.862,0.87,0.141,0,0,0,"    
21.76",41.562,1,5,3,WassenaarRS,0,1,8.155960645733561,4.320859392337498,0.02267035539772433
82,83,    P-2424,   2023/01/31 07:39:30,           1-05,8,4.141,7.355,22.721,0.264,20393.0,0,1,MegaBoil,                                T1V5-ID2,                 H2O,1675169078,0.234,0.203,0.521,0.164,156.314,-0.002,-0.008,3.738,96.569,24.655,1.089,61.524,0.87,0.082,0,0,0,"    
21.73",41.5,1,5,3,WassenaarRS,0,1,8.217675452567256,4.327752884535394,-0.0027866470241590946
83,84,    P-2424,   2023/01/31 07:48:31,           1-05,9,4.145,7.323,22.664,0.284,20429.0,0,1,MegaBoil,                                T1V5-ID2,                 H2O,1675169619,0.221,0.182,0.57,0.162,158.802,-0.001,-0.011,3.799,96.73,24.687,1.092,61.742,0.869,0.103,0,0,0,"    
21.85",40.938,1,5,3,WassenaarRS,0,1,8.185822649040187,4.33169202293419,0.017816972615088744
84,85,    P-2424,   2023/01/31 07:57:31,           1-05,10,4.15,7.345,22.808,0.278,20627.0,0,1,MegaBoil,                                T1V5-ID2,                 H2O,1675170159,0.219,0.192,0.498,0.152,162.998,-0.001,-0.008,3.87,97.584,24.848,1.108,62.455,0.871,0.153,0,0,0,"    
21.83",41.25,1,5,3,WassenaarRS,0,1,8.207721451465046,4.336615945932688,0.011251084180874393
85,86,    P-2424,   2023/01/31 08:06:30,           1-05,11,4.112,7.315,22.653,0.255,20320.0,0,1,MegaBoil,                                T1V5-ID2,                 H2O,1675170698,0.214,0.186,0.531,0.149,156.687,-0.001,-0.009,3.75,96.264,24.468,1.087,61.419,0.869,0.098,0,0,0,"    
21.82",41.625,1,5,3,WassenaarRS,0,1,8.17785944815842,4.299194131144112,-0.01037083086307966
86,87,    P-2424,   2023/01/31 08:15:29,           1-05,12,4.161,7.374,22.89,0.273,20632.0,0,1,MegaBoil,                                T1V5-ID2,                 H2O,1675171237,0.216,0.169,0.536,0.163,157.698,-0.001,-0.009,3.742,97.627,24.855,1.105,62.43,0.871,0.086,0,0,0,"    
21.74",41.125,1,5,3,WassenaarRS,0,1,8.236588054661453,4.34744857652938,0.006919612537752862
87,88,    P-2424,   2023/01/31 08:24:28,           1-05,13,4.111,7.311,22.824,0.256,20309.0,0,1,MegaBoil,                                T1V5-ID2,                 H2O,1675171776,0.213,0.189,0.543,0.147,160.068,-0.002,-0.01,3.825,96.198,24.396,1.091,61.638,0.87,0.095,0,0,0,"    
21.87",40.75,1,5,3,WassenaarRS,0,1,8.173877847717536,4.298209346544413,-0.009266163873453692
88,89,    P-2424,   2023/01/31 08:33:28,           1-05,14,4.103,7.302,22.732,0.253,20325.0,0,1,MegaBoil,                                T1V5-ID2,                 H2O,1675172316,0.209,0.186,0.545,0.152,157.477,-0.001,-0.009,3.761,96.205,24.563,1.089,61.649,0.871,0.163,0,0,0,"    
21.78",41.375,1,5,3,WassenaarRS,0,1,8.164919246725548,4.290331069746817,-0.01241894184051695
