,Line,Analysis,Time Code,Port,Inj Nr,d(17_16)Mean,d(18_16)Mean,d(D_H)Mean,E17_Mean,H2O_Mean,Ignore,Good,SampleName,Identifier 2,Gas Configuration,Timestamp Mean,d(17_16)_SD,d(18_16)_SD,d(D_H)_SD,E17_SD,H2O_SD,d(18_16)_Sl,d(D_H)_Sl,H2O_Sl,baseline_shift,slope_shift,residuals,baseline_curvature,interval,ch4_ppm,h16od_adjust,h16od_shift,n2_flag,Resistance,DAS Temp,Tray,Sample,Job,Method,Error Code,Pulse Good,d18O_amended,d17O_amended,E17O_amended
390,391,    P-2409,   2023/01/29 00:55:53,           1-16,1,-9.166,-17.534,-125.582,0.131,19867.0,      -1,    1,MissMT,                               T1V16-ID2,                 H2O, 1674972060.95,         0.225,         0.188,         0.395,         0.157,       145.086,         0.001,         0.003,         3.464,        94.208,        24.960,         1.003,        58.108,         0.870,         0.050,        0.0000,        0.0000,    0,"    
21.79",        42.188,1,16,3,WassenaarRS,0,1,-16.651554375842935,-8.811924719118895,0.015064673783395932
391,392,    P-2409,   2023/01/29 01:04:54,           1-16,2,-8.797,-16.886,-122.651,0.155,20001.0,      -1,    1,MissMT,                               T1V16-ID2,                 H2O, 1674972601.33,         0.235,         0.202,         0.414,         0.159,       145.439,         0.001,         0.004,         3.469,        94.794,        25.071,         1.016,        58.620,         0.871,         0.091,       -0.0000,       -0.0000,    0,"    
21.74",        42.312,1,16,3,WassenaarRS,0,1,-16.008638069744144,-8.449705662869537,0.035341936269631447
392,393,    P-2409,   2023/01/29 01:13:53,           1-16,3,-9.282,-17.781,-128.724,0.147,18694.0,      -1,    1,MissMT,                               T1V16-ID2,                 H2O, 1674973141.32,         0.206,         0.183,         0.441,         0.163,       137.942,         0.001,         0.006,         3.318,        89.091,        23.648,         0.927,        54.507,         0.869,         0.086,        0.0000,       -0.0000,    0,"    
21.85",        42.250,1,16,3,WassenaarRS,0,1,-16.89661660980343,-8.925793040324656,0.03177776921239861
393,394,    P-2409,   2023/01/29 01:22:54,           1-16,4,-9.31,-17.822,-129.712,0.141,18549.0,       0,    1,MissMT,                               T1V16-ID2,                 H2O, 1674973681.77,         0.190,         0.186,         0.384,         0.134,       135.016,         0.001,         0.005,         3.247,        88.522,        23.418,         0.911,        53.973,         0.870,        -0.016,        0.0000,       -0.0000,    0,"    
21.74",        41.875,1,16,3,WassenaarRS,0,1,-16.937294956331286,-8.953278497167426,0.025892153460048917
394,395,    P-2409,   2023/01/29 01:31:53,           1-16,5,-9.31,-17.857,-129.988,0.161,18551.0,       0,    1,MissMT,                               T1V16-ID2,                 H2O, 1674974220.44,         0.215,         0.194,         0.432,         0.150,       140.342,         0.001,         0.005,         3.374,        88.468,        23.498,         0.914,        54.065,         0.869,         0.147,        0.0000,       -0.0000,    0,"    
21.82",        41.562,1,16,3,WassenaarRS,0,1,-16.972020374098967,-8.953278497167426,0.04454339953549358
395,396,    P-2409,   2023/01/29 01:40:52,           1-16,6,-9.331,-17.867,-130.142,0.145,18814.0,       0,    1,MissMT,                               T1V16-ID2,                 H2O, 1674974760.28,         0.222,         0.188,         0.403,         0.153,       136.919,         0.000,         0.004,         3.291,        89.663,        23.782,         0.926,        54.534,         0.870,        -0.027,        0.0000,        0.0000,    0,"    
21.85",        42.000,1,16,3,WassenaarRS,0,1,-16.981941922032593,-8.973892589799503,0.029071907946871534
396,397,    P-2409,   2023/01/29 01:49:52,           1-16,7,-9.291,-17.843,-130.319,0.172,18723.0,       0,    1,MissMT,                               T1V16-ID2,                 H2O, 1674975299.70,         0.210,         0.171,         0.372,         0.154,       135.568,         0.001,         0.004,         3.277,        89.273,        23.624,         0.926,        54.412,         0.870,         0.032,       -0.0000,        0.0000,    0,"    
21.87",        42.000,1,16,3,WassenaarRS,0,1,-16.958130206991896,-8.934627651452688,0.0559019854738807
397,398,    P-2409,   2023/01/29 01:58:51,           1-16,8,-9.393,-17.924,-130.39,0.113,18690.0,       0,    1,MissMT,                               T1V16-ID2,                 H2O, 1674975839.16,         0.200,         0.184,         0.431,         0.140,       135.362,         0.001,         0.004,         3.274,        89.007,        23.554,         0.937,        55.080,         0.869,         0.160,       -0.0000,        0.0000,    0,"    
21.91",        41.562,1,16,3,WassenaarRS,0,1,-17.038494745254244,-9.034753244237065,-0.0019651314564264055
398,399,    P-2409,   2023/01/29 02:07:51,           1-16,9,-9.358,-17.881,-130.403,0.125,18948.0,       0,    1,MissMT,                               T1V16-ID2,                 H2O, 1674976378.26,         0.235,         0.204,         0.406,         0.163,       139.535,         0.001,         0.003,         3.349,        90.167,        24.015,         0.942,        55.100,         0.870,         0.061,       -0.0000,       -0.0000,    0,"    
21.74",        41.625,1,16,3,WassenaarRS,0,1,-16.995832089139665,-9.000396423183602,0.009788478896446406
399,400,    P-2409,   2023/01/29 02:16:51,           1-16,10,-9.323,-17.873,-130.542,0.155,19042.0,       0,    1,MissMT,                               T1V16-ID2,                 H2O, 1674976918.83,         0.204,         0.175,         0.382,         0.156,       139.014,         0.001,         0.004,         3.342,        90.613,        23.924,         0.957,        55.834,         0.869,         0.081,       -0.0000,       -0.0000,    0,"    
21.79",        42.000,1,16,3,WassenaarRS,0,1,-16.987894850792767,-8.96603960213014,0.04019342911793089
