,Line,Analysis,Time Code,Port,Inj Nr,d(17_16)Mean,d(18_16)Mean,d(D_H)Mean,E17_Mean,H2O_Mean,Ignore,Good,SampleName,Identifier 2,Gas Configuration,Timestamp Mean,d(17_16)_SD,d(18_16)_SD,d(D_H)_SD,E17_SD,H2O_SD,d(18_16)_Sl,d(D_H)_Sl,H2O_Sl,baseline_shift,slope_shift,residuals,baseline_curvature,interval,ch4_ppm,h16od_adjust,h16od_shift,n2_flag,Resistance,DAS Temp,Tray,Sample,Job,Method,Error Code,Pulse Good,d18O_amended,d17O_amended,E17O_amended
376,377,    P-2440,   2023/02/02 04:03:46,           1-18,1,-9.196,-17.667,-126.357,0.173,20325.0,-1,1,MissMT,                               T1V21-ID2,                 H2O,1675328934,0.221,0.188,0.424,0.157,140.432,0.001,0.005,3.354,96.224,25.481,1.024,59.276,0.869,0.033,0,0,0,"    
21.87",41.438,1,18,4,WassenaarRS,0,1,-16.689226105380115,-8.80631932165489,0.04094776857473725
377,378,    P-2440,   2023/02/02 04:12:46,           1-18,2,-8.953,-17.185,-124.316,0.159,20624.0,-1,1,MissMT,                               T1V21-ID2,                 H2O,1675329474,0.221,0.183,0.441,0.158,144.95,0.001,0.005,3.457,97.44,25.811,1.058,60.696,0.87,0.179,0,0,0,"    
21.82",40.938,1,18,4,WassenaarRS,0,1,-16.20944325225364,-8.567016663927946,0.024785309524901322
378,379,    P-2440,   2023/02/02 04:21:45,           1-18,3,-9.309,-17.843,-129.018,0.154,19907.0,-1,1,MissMT,                               T1V21-ID2,                 H2O,1675330012,0.199,0.187,0.391,0.138,142.987,0.001,0.005,3.41,94.369,25.136,0.993,57.577,0.87,0.016,0,0,0,"    
21.91",40.875,1,18,4,WassenaarRS,0,1,-16.864416524778992,-8.917599981420917,0.022751012834875795
379,380,    P-2440,   2023/02/02 04:30:44,           1-18,4,-9.301,-17.867,-129.662,0.174,19986.0,0,1,MissMT,                               T1V21-ID2,                 H2O,1675330552,0.192,0.169,0.418,0.143,140.94,0.001,0.006,3.366,94.725,25.124,1.004,58.135,0.869,0.047,0,0,0,"    
21.71",41.438,1,18,4,WassenaarRS,0,1,-16.888306127424297,-8.909721704623323,0.043530383433671105
380,381,    P-2440,   2023/02/02 04:39:44,           1-18,5,-9.353,-17.914,-129.968,0.148,19879.0,0,1,MissMT,                               T1V21-ID2,                 H2O,1675331092,0.214,0.19,0.357,0.152,138.539,0.002,0.004,3.301,94.163,25.087,1.007,58.07,0.871,0.159,0,0,0,"    
21.69",41.75,1,18,4,WassenaarRS,0,1,-16.93508993260468,-8.960930503807688,0.01698667729601233
381,382,    P-2440,   2023/02/02 04:48:45,           1-18,6,-9.324,-17.881,-130.111,0.159,19929.0,0,1,MissMT,                               T1V21-ID2,                 H2O,1675331632,0.218,0.172,0.433,0.163,136.28,0.001,0.005,3.256,94.479,24.96,1.013,58.274,0.869,0.067,0,0,0,"    
21.77",41.812,1,18,4,WassenaarRS,0,1,-16.90224172896739,-8.932371750416408,0.02816090612958
382,383,    P-2440,   2023/02/02 04:57:43,           1-18,7,-9.331,-17.914,-130.287,0.169,19827.0,0,1,MissMT,                               T1V21-ID2,                 H2O,1675332170,0.222,0.186,0.386,0.161,137.867,0,0.004,3.298,94,24.938,0.999,57.836,0.868,0.061,0,0,0,"    
21.78",41.688,1,18,4,WassenaarRS,0,1,-16.93508993260468,-8.939265242614303,0.038847595850832306
383,384,    P-2440,   2023/02/02 05:06:42,           1-18,8,-9.343,-17.926,-130.361,0.164,19660.0,0,1,MissMT,                               T1V21-ID2,                 H2O,1675332710,0.21,0.174,0.411,0.157,143.153,0.001,0.005,3.444,93.248,24.678,0.995,57.684,0.869,0.105,0,0,0,"    
21.80",41.062,1,18,4,WassenaarRS,0,1,-16.947034733927328,-8.951082657810696,0.03333905888251465
384,385,    P-2440,   2023/02/02 05:15:42,           1-18,9,-9.355,-17.945,-130.531,0.162,19852.0,0,1,MissMT,                               T1V21-ID2,                 H2O,1675333250,0.205,0.175,0.373,0.155,140.495,0.001,0.003,3.372,94.097,24.903,1.001,58.084,0.871,0.057,0,0,0,"    
21.71",41,1,18,4,WassenaarRS,0,1,-16.965947336021525,-8.962900073007088,0.03157293817887741
385,386,    P-2440,   2023/02/02 05:24:42,           1-18,10,-9.378,-17.981,-130.611,0.158,19735.0,0,1,MissMT,                               T1V21-ID2,                 H2O,1675333789,0.232,0.202,0.406,0.158,142.363,0,0.003,3.396,93.523,24.824,0.997,57.903,0.87,0.109,0,0,0,"    
21.88",41.312,1,18,4,WassenaarRS,0,1,-17.00178173998948,-8.985550118800173,0.027965246673657518
386,387,    P-2440,   2023/02/02 05:33:42,           1-18,11,-9.345,-17.932,-130.628,0.165,20140.0,0,1,MissMT,                               T1V21-ID2,                 H2O,1675334329,0.196,0.176,0.407,0.14,143.6,0,0.004,3.429,95.359,25.299,1.017,58.891,0.87,0.118,0,0,0,"    
21.76",41.562,1,18,4,WassenaarRS,0,1,-16.953007134588653,-8.953052227010094,0.03455949852421192
387,388,    P-2440,   2023/02/02 05:42:40,           1-18,12,-9.354,-17.953,-130.593,0.167,20023.0,0,1,MissMT,                               T1V21-ID2,                 H2O,1675334868,0.182,0.167,0.382,0.133,140.363,0.001,0.004,3.355,94.79,25.297,1.009,58.407,0.87,0.157,0,0,0,"    
21.78",41.625,1,18,4,WassenaarRS,0,1,-16.973910536903293,-8.961915288407388,0.036843781686428656
388,389,    P-2440,   2023/02/02 05:51:39,           1-18,13,-9.375,-17.965,-130.681,0.152,19941.0,0,1,MissMT,                               T1V21-ID2,                 H2O,1675335407,0.183,0.163,0.38,0.138,141.087,0.001,0.003,3.375,94.473,25.245,0.999,57.815,0.869,0.041,0,0,0,"    
21.76",41.812,1,18,4,WassenaarRS,0,1,-16.985855338225942,-8.982595765001074,0.022391869231256578
389,390,    P-2440,   2023/02/02 06:00:39,           1-18,14,-9.387,-17.954,-130.595,0.134,19802.0,0,1,MissMT,                               T1V21-ID2,                 H2O,1675335947,0.209,0.171,0.387,0.153,135.519,0.001,0.003,3.257,93.839,24.879,1.006,58.028,0.87,0.166,0,0,0,"    
21.76",41.812,1,18,4,WassenaarRS,0,1,-16.974905937013514,-8.994413180197467,0.004586121747324867
390,391,    P-2440,   2023/02/02 06:09:39,           1-18,15,-9.353,-17.94,-130.756,0.161,19752.0,0,1,MissMT,                               T1V21-ID2,                 H2O,1675336487,0.2,0.173,0.408,0.149,138.045,0,0.004,3.294,93.683,24.819,0.995,57.674,0.87,0.037,0,0,0,"    
21.80",41.188,1,18,4,WassenaarRS,0,1,-16.96097033547042,-8.960930503807688,0.03088711504776498
391,392,    P-2440,   2023/02/02 06:18:40,           1-18,16,-9.329,-17.912,-130.716,0.171,19826.0,0,1,MissMT,                               T1V21-ID2,                 H2O,1675337028,0.196,0.171,0.378,0.141,140.374,0.001,0.002,3.352,93.993,24.977,0.994,57.643,0.87,0.061,0,0,0,"    
21.78",40.812,1,18,4,WassenaarRS,0,1,-16.933099132384235,-8.937295673414905,0.03976567910092754
392,393,    P-2440,   2023/02/02 06:27:39,           1-18,17,-9.353,-17.945,-130.774,0.164,19803.0,0,1,MissMT,                               T1V21-ID2,                 H2O,1675337567,0.222,0.171,0.393,0.171,141.38,0,0.003,3.371,93.915,24.871,0.998,57.815,0.871,0.074,0,0,0,"    
21.79",41.188,1,18,4,WassenaarRS,0,1,-16.965947336021525,-8.960930503807688,0.03356031810885618
393,394,    P-2440,   2023/02/02 06:36:39,           1-18,18,-9.388,-17.968,-130.713,0.141,19765.0,0,1,MissMT,                               T1V21-ID2,                 H2O,1675338107,0.223,0.2,0.384,0.155,139.111,0,0.003,3.342,93.682,24.853,1.004,57.791,0.869,0.12,0,0,0,"    
21.74",41.5,1,18,4,WassenaarRS,0,1,-16.988841538556606,-8.995397964797165,0.011077507489810401
394,395,    P-2440,   2023/02/02 06:45:39,           1-18,19,-9.409,-17.981,-130.791,0.126,19794.0,0,1,MissMT,                               T1V21-ID2,                 H2O,1675338646,0.219,0.194,0.394,0.149,138.974,0.001,0.003,3.331,93.85,24.97,0.997,57.444,0.871,0.067,0,0,0,"    
21.76",41.688,1,18,4,WassenaarRS,0,1,-17.00178173998948,-9.016078441390853,-0.0028403513863324292
395,396,    P-2440,   2023/02/02 06:54:38,           1-18,20,-9.356,-17.946,-130.838,0.162,19720.0,0,1,MissMT,                               T1V21-ID2,                 H2O,1675339186,0.217,0.191,0.397,0.158,139.192,0.001,0.002,3.328,93.507,24.796,0.99,57.722,0.868,0.034,0,0,0,"    
21.72",41.812,1,18,4,WassenaarRS,0,1,-16.96694273613175,-8.963884857606788,0.03111388896901346
396,397,    P-2440,   2023/02/02 07:03:38,           1-18,21,-9.385,-17.963,-130.848,0.141,19775.0,0,1,MissMT,                               T1V21-ID2,                 H2O,1675339725,0.212,0.18,0.372,0.155,136.521,0,0.003,3.281,93.716,24.905,0.999,57.914,0.869,0.123,0,0,0,"    
21.77",41.812,1,18,4,WassenaarRS,0,1,-16.983864538005502,-8.992443610998068,0.011385408341888947
397,398,    P-2440,   2023/02/02 07:12:37,           1-18,22,-9.388,-17.956,-130.881,0.135,19716.0,0,1,MissMT,                               T1V21-ID2,                 H2O,1675340265,0.219,0.182,0.364,0.157,137.25,0,0.002,3.278,93.486,24.814,0.997,57.587,0.87,0.074,0,0,0,"    
21.72",41.312,1,18,4,WassenaarRS,0,1,-16.976896737233954,-8.995397964797165,0.004661693461279981
398,399,    P-2440,   2023/02/02 07:21:36,           1-18,23,-9.39,-17.979,-130.914,0.145,19611.0,0,1,MissMT,                               T1V21-ID2,                 H2O,1675340804,0.212,0.177,0.336,0.162,141.333,0.001,0.002,3.376,93.025,24.752,0.985,57.066,0.869,0.097,0,0,0,"    
21.85",40.812,1,18,4,WassenaarRS,0,1,-16.999790939769035,-8.997367533996565,0.014971289783604291
399,400,    P-2440,   2023/02/02 07:30:37,           1-18,24,-9.362,-17.98,-130.936,0.174,19812.0,0,1,MissMT,                               T1V21-ID2,                 H2O,1675341345,0.217,0.192,0.416,0.156,141.459,0.001,0.004,3.378,93.901,25.037,0.995,57.547,0.87,0.049,0,0,0,"    
21.77",41.062,1,18,4,WassenaarRS,0,1,-17.00078633987926,-8.969793565204982,0.04332987771242536
400,401,    P-2440,   2023/02/02 07:39:35,           1-18,25,-9.355,-17.946,-131.057,0.162,19813.0,0,1,MissMT,                               T1V21-ID2,                 H2O,1675341883,0.214,0.186,0.385,0.154,141.511,0,0.003,3.395,93.946,25.019,0.991,57.357,0.87,0.019,0,0,0,"    
21.67",41.5,1,18,4,WassenaarRS,0,1,-16.96694273613175,-8.962900073007088,0.03210758041519135
401,402,    P-2440,   2023/02/02 07:48:35,           1-18,26,-9.39,-17.98,-130.921,0.146,19708.0,0,1,MissMT,                               T1V21-ID2,                 H2O,1675342423,0.221,0.176,0.378,0.161,138.743,0,0.002,3.334,93.414,24.848,0.991,57.627,0.87,0.086,0,0,0,"    
21.67",41.875,1,18,4,WassenaarRS,0,1,-17.00078633987926,-8.997367533996565,0.015505950427067816
402,403,    P-2440,   2023/02/02 07:57:36,           1-18,27,-9.382,-17.972,-131.017,0.15,19684.0,0,1,MissMT,                               T1V21-ID2,                 H2O,1675342963,0.192,0.181,0.367,0.134,134.643,0.001,0.003,3.238,93.399,24.869,0.98,56.808,0.868,-0.032,0,0,0,"    
21.71",41.875,1,18,4,WassenaarRS,0,1,-16.99282313899749,-8.98948925719897,0.019178452946146507
403,404,    P-2440,   2023/02/02 08:06:36,           1-18,28,-9.339,-17.946,-130.971,0.178,19648.0,0,1,MissMT,                               T1V21-ID2,                 H2O,1675343504,0.211,0.179,0.387,0.156,138.242,0.001,0.004,3.301,93.209,24.685,0.991,57.364,0.869,0.082,0,0,0,"    
21.77",41.312,1,18,4,WassenaarRS,0,1,-16.96694273613175,-8.947143519411899,0.04800650926500083
404,405,    P-2440,   2023/02/02 08:15:36,           1-18,29,-9.408,-18.028,-131.112,0.152,19740.0,0,1,MissMT,                               T1V21-ID2,                 H2O,1675344043,0.202,0.177,0.394,0.146,144.843,0,0.004,3.462,93.5,24.851,1.001,58.057,0.869,0.21,0,0,0,"    
21.75",40.812,1,18,4,WassenaarRS,0,1,-17.048565545169858,-9.015093656791153,0.023283078810607094
405,406,    P-2440,   2023/02/02 08:24:36,           1-18,30,-9.374,-17.969,-131.144,0.156,19834.0,0,1,MissMT,                               T1V21-ID2,                 H2O,1675344583,0.232,0.187,0.379,0.172,141.215,0,0.002,3.348,94.031,24.876,1.002,58.052,0.87,0.075,0,0,0,"    
21.71",41.188,1,18,4,WassenaarRS,0,1,-16.98983693866683,-8.981610980401376,0.025524194942637024
406,407,    P-2440,   2023/02/02 08:33:35,           1-18,31,-9.395,-17.996,-131.117,0.149,19730.0,0,1,MissMT,                               T1V21-ID2,                 H2O,1675345122,0.216,0.173,0.371,0.159,139.319,0,0.001,3.342,93.528,24.79,0.997,57.891,0.871,0.133,0,0,0,"    
21.66",41.5,1,18,4,WassenaarRS,0,1,-17.01671274164279,-9.002291456995062,0.019091954443881676
407,408,    P-2440,   2023/02/02 08:42:34,           1-18,32,-9.372,-17.97,-130.986,0.159,19890.0,0,1,MissMT,                               T1V21-ID2,                 H2O,1675345662,0.201,0.177,0.372,0.153,141.475,0.001,0.001,3.362,94.221,24.938,1.015,58.449,0.869,0.178,0,0,0,"    
21.71",41.625,1,18,4,WassenaarRS,0,1,-16.990832338777047,-8.979641411201976,0.028046267624741716
408,409,    P-2440,   2023/02/02 08:51:35,           1-18,33,-9.384,-17.986,-131.032,0.155,19807.0,0,1,MissMT,                               T1V21-ID2,                 H2O,1675346202,0.211,0.185,0.363,0.148,139.789,0.001,0.003,3.353,93.861,24.93,0.997,57.933,0.87,0.15,0,0,0,"    
21.77",41.75,1,18,4,WassenaarRS,0,1,-17.006758740540583,-8.99145882639837,0.024676260962879226
