,Line,Analysis,Time Code,Port,Inj Nr,d(17_16)Mean,d(18_16)Mean,d(D_H)Mean,E17_Mean,H2O_Mean,Ignore,Good,SampleName,Identifier 2,Gas Configuration,Timestamp Mean,d(17_16)_SD,d(18_16)_SD,d(D_H)_SD,E17_SD,H2O_SD,d(18_16)_Sl,d(D_H)_Sl,H2O_Sl,baseline_shift,slope_shift,residuals,baseline_curvature,interval,ch4_ppm,h16od_adjust,h16od_shift,n2_flag,Resistance,DAS Temp,Tray,Sample,Job,Method,Error Code,Pulse Good,d18O_amended,d17O_amended,E17O_amended
174,175,    P-2429,   2023/01/31 21:32:23,           1-07,1,0.479,0.716,-27.288,0.101,20560.0,-1,1,Muley_Standard,                                T1V7-ID2,                 H2O,1675219050,0.212,0.172,0.356,0.155,150.226,-0.001,0.001,3.575,97.339,25.029,1.087,61.868,0.872,0.143,0,0,0,"    
21.59",41.75,1,7,4,WassenaarRS,0,1,1.6092141208106978,0.721471680436359,-0.12777059696709603
175,176,    P-2429,   2023/01/31 21:41:22,           1-07,2,0.377,0.534,-29.418,0.095,20661.0,-1,1,Muley_Standard,                                T1V7-ID2,                 H2O,1675219590,0.197,0.172,0.342,0.147,149.987,0,0.002,3.55,97.727,25.267,1.09,62.065,0.871,0.171,0,0,0,"    
21.76",41.812,1,7,4,WassenaarRS,0,1,1.4280513007504938,0.621023651267025,-0.13264231967171192
176,177,    P-2429,   2023/01/31 21:50:22,           1-07,3,0.423,0.629,-30.606,0.091,19668.0,-1,1,Muley_Standard,                                T1V7-ID2,                 H2O,1675220129,0.217,0.175,0.389,0.159,147.753,-0.001,0.001,3.528,93.399,24.062,1.026,58.954,0.87,0.062,0,0,0,"    
21.63",41.25,1,7,4,WassenaarRS,0,1,1.5226143112214796,0.6663237428531952,-0.13722708359130031
177,178,    P-2429,   2023/01/31 21:59:22,           1-07,4,0.445,0.648,-30.937,0.103,19783.0,0,1,Muley_Standard,                                T1V7-ID2,                 H2O,1675220670,0.219,0.183,0.368,0.16,151.03,-0.001,0,3.609,93.899,24.188,1.031,59.502,0.87,0.119,0,0,0,"    
21.71",40.875,1,7,4,WassenaarRS,0,1,1.5415269133156766,0.687989004046581,-0.12554706151524275
178,179,    P-2429,   2023/01/31 22:08:22,           1-07,5,0.423,0.609,-31.143,0.101,19875.0,0,1,Muley_Standard,                                T1V7-ID2,                 H2O,1675221209,0.235,0.203,0.393,0.155,146.486,0.001,-0.001,3.474,94.289,24.342,1.043,59.664,0.87,0.135,0,0,0,"    
21.66",41.25,1,7,4,WassenaarRS,0,1,1.5027063090170616,0.6663237428531952,-0.12673153462743147
179,180,    P-2429,   2023/01/31 22:17:22,           1-07,6,0.422,0.629,-31.285,0.09,19834.0,0,1,Muley_Standard,                                T1V7-ID2,                 H2O,1675221749,0.216,0.192,0.39,0.144,144.465,0,0,3.453,94.049,24.293,1.045,60.03,0.87,0.279,0,0,0,"    
21.78",41.5,1,7,4,WassenaarRS,0,1,1.5226143112214796,0.6653389582534959,-0.1382112129267804
180,181,    P-2429,   2023/01/31 22:26:20,           1-07,7,0.413,0.62,-31.506,0.086,19803.0,0,1,Muley_Standard,                                T1V7-ID2,                 H2O,1675222288,0.199,0.162,0.356,0.154,146.784,0,0,3.511,94,24.201,1.034,59.703,0.869,0.165,0,0,0,"    
21.64",41,1,7,4,WassenaarRS,0,1,1.5136557102294912,0.6564758968562017,-0.142345449314203
181,182,    P-2429,   2023/01/31 22:35:21,           1-07,8,0.392,0.601,-31.544,0.075,19853.0,0,1,Muley_Standard,                                T1V7-ID2,                 H2O,1675222829,0.226,0.195,0.379,0.161,148.091,0,-0.002,3.533,94.174,24.231,1.051,60.01,0.87,0.195,0,0,0,"    
21.74",41,1,7,4,WassenaarRS,0,1,1.4947431081352942,0.6357954202625153,-0.153041716392868
182,183,    P-2429,   2023/01/31 22:44:20,           1-07,9,0.387,0.625,-31.598,0.057,19904.0,0,1,Muley_Standard,                                T1V7-ID2,                 H2O,1675223368,0.222,0.193,0.352,0.151,145.472,0,0,3.472,94.397,24.389,1.041,59.881,0.871,0.178,0,0,0,"    
21.59",41.562,1,7,4,WassenaarRS,0,1,1.518632710780596,0.6308714972640186,-0.1705572567439646
183,184,    P-2429,   2023/01/31 22:53:19,           1-07,10,0.425,0.641,-31.693,0.087,19742.0,0,1,Muley_Standard,                                T1V7-ID2,                 H2O,1675223907,0.216,0.186,0.384,0.155,142.913,0,-0.001,3.41,93.747,24.235,1.027,59.135,0.871,0.122,0,0,0,"    
21.79",41.375,1,7,4,WassenaarRS,0,1,1.5345591125441302,0.668293312052594,-0.14155605706340135
184,185,    P-2429,   2023/01/31 23:02:19,           1-07,11,0.426,0.644,-31.809,0.086,19664.0,0,1,Muley_Standard,                                T1V7-ID2,                 H2O,1675224447,0.229,0.194,0.371,0.159,150.045,-0.001,-0.001,3.561,93.425,23.98,1.029,59.248,0.87,0.102,0,0,0,"    
21.68",40.875,1,7,4,WassenaarRS,0,1,1.537545312874793,0.6692780966522933,-0.142146226207563
