,Line,Analysis,Time Code,Port,Inj Nr,d(17_16)Mean,d(18_16)Mean,d(D_H)Mean,E17_Mean,H2O_Mean,Ignore,Good,SampleName,Identifier 2,Gas Configuration,Timestamp Mean,d(17_16)_SD,d(18_16)_SD,d(D_H)_SD,E17_SD,H2O_SD,d(18_16)_Sl,d(D_H)_Sl,H2O_Sl,baseline_shift,slope_shift,residuals,baseline_curvature,interval,ch4_ppm,h16od_adjust,h16od_shift,n2_flag,Resistance,DAS Temp,Tray,Sample,Job,Method,Error Code,Pulse Good,d18O_amended,d17O_amended,E17O_amended
363,364,    P-2408,   2023/01/28 20:52:04,           1-15,1,-6.946,-13.454,-92.091,0.182,21622.0,      -1,    1,NM2,                               T1V15-ID2,                 H2O, 1674957431.29,         0.216,         0.192,         0.398,         0.159,       157.235,         0.001,         0.003,         3.721,       101.995,        26.664,         1.132,        64.158,         0.871,         0.113,       -0.0000,       -0.0000,    0,"    
21.80",        41.688,1,15,2,WassenaarRS,0,1,-12.603562818924637,-6.632720640870723,0.042158360873314926
364,365,    P-2408,   2023/01/28 21:01:04,           1-15,2,-6.697,-12.974,-89.992,0.176,21322.0,      -1,    1,NM2,                               T1V15-ID2,                 H2O, 1674957971.21,         0.223,         0.182,         0.402,         0.162,       152.861,         0.001,         0.004,         3.620,       100.639,        26.327,         1.110,        63.263,         0.871,         0.067,       -0.0000,       -0.0000,    0,"    
21.77",        41.938,1,15,2,WassenaarRS,0,1,-12.127328518110717,-6.388296399661806,0.03358440001810514
365,366,    P-2408,   2023/01/28 21:10:03,           1-15,3,-7.034,-13.619,-94.329,0.181,20337.0,      -1,    1,NM2,                               T1V15-ID2,                 H2O, 1674958510.26,         0.235,         0.195,         0.392,         0.160,       149.441,         0.001,         0.002,         3.541,        96.367,        25.223,         1.037,        59.846,         0.871,         0.018,        0.0000,        0.0000,    0,"    
21.81",        41.562,1,15,2,WassenaarRS,0,1,-12.76726835982942,-6.719103505233713,0.0427420333859132
366,367,    P-2408,   2023/01/28 21:19:02,           1-15,4,-7.082,-13.698,-94.904,0.175,20471.0,       0,    1,NM2,                               T1V15-ID2,                 H2O, 1674959050.44,         0.197,         0.157,         0.361,         0.153,       150.980,         0.001,         0.002,         3.600,        96.877,        25.476,         1.050,        60.337,         0.871,         0.100,        0.0000,        0.0000,    0,"    
21.74",        41.438,1,15,2,WassenaarRS,0,1,-12.845648588505044,-6.76622143124989,0.037225878757122466
367,368,    P-2408,   2023/01/28 21:28:02,           1-15,5,-7.092,-13.688,-95.15,0.16,20316.0,       0,    1,NM2,                               T1V15-ID2,                 H2O, 1674959589.61,         0.228,         0.180,         0.389,         0.166,       146.358,         0.001,         0.002,         3.513,        96.246,        25.184,         1.043,        59.920,         0.871,         0.045,        0.0000,        0.0000,    0,"    
21.80",        41.812,1,15,2,WassenaarRS,0,1,-12.83572704057142,-6.7760376658365935,0.02203600481557988
368,369,    P-2408,   2023/01/28 21:37:01,           1-15,6,-7.094,-13.7,-95.211,0.164,20486.0,       0,    1,NM2,                               T1V15-ID2,                 H2O, 1674960128.66,         0.198,         0.178,         0.360,         0.148,       147.600,         0.001,         0.003,         3.502,        96.922,        25.428,         1.059,        60.660,         0.870,         0.149,        0.0000,       -0.0000,    0,"    
21.75",        42.062,1,15,2,WassenaarRS,0,1,-12.847632898091767,-6.778000912753934,0.02642743163385486
369,370,    P-2408,   2023/01/28 21:46:01,           1-15,7,-7.099,-13.696,-95.325,0.157,20740.0,       0,    1,NM2,                               T1V15-ID2,                 H2O, 1674960668.13,         0.215,         0.180,         0.373,         0.155,       144.586,         0.001,         0.001,         3.446,        98.136,        25.629,         1.069,        61.218,         0.871,         0.037,       -0.0000,        0.0000,    0,"    
21.65",        42.188,1,15,2,WassenaarRS,0,1,-12.843664278918318,-6.7829090300472865,0.019363109522391397
370,371,    P-2408,   2023/01/28 21:55:01,           1-15,8,-7.101,-13.72,-95.383,0.168,20424.0,       0,    1,NM2,                               T1V15-ID2,                 H2O, 1674961207.94,         0.186,         0.165,         0.388,         0.136,       145.605,         0.001,         0.003,         3.451,        96.662,        25.502,         1.043,        59.967,         0.870,         0.035,       -0.0000,       -0.0000,    0,"    
21.74",        42.062,1,15,2,WassenaarRS,0,1,-12.867475993959015,-6.784872276964626,0.030122771358184863
371,372,    P-2408,   2023/01/28 22:04:00,           1-15,9,-7.095,-13.701,-95.38,0.164,20556.0,       0,    1,NM2,                               T1V15-ID2,                 H2O, 1674961748.10,         0.215,         0.193,         0.360,         0.148,       146.051,         0.000,         0.002,         3.484,        97.237,        25.704,         1.050,        60.373,         0.870,         0.104,        0.0000,        0.0000,    0,"    
21.70",        41.562,1,15,2,WassenaarRS,0,1,-12.848625052885131,-6.778982536212604,0.02596978476091394
372,373,    P-2408,   2023/01/28 22:13:00,           1-15,10,-7.139,-13.746,-95.558,0.144,20667.0,       0,    1,NM2,                               T1V15-ID2,                 H2O, 1674962287.36,         0.229,         0.195,         0.373,         0.162,       151.021,         0.001,         0.001,         3.581,        97.695,        25.803,         1.058,        60.828,         0.870,         0.121,        0.0000,        0.0000,    0,"    
21.65",        41.500,1,15,2,WassenaarRS,0,1,-12.893272018586437,-6.8221739683941,0.006363583281707719
