,Line,Analysis,Time Code,Port,Inj Nr,d(17_16)Mean,d(18_16)Mean,d(D_H)Mean,E17_Mean,H2O_Mean,Ignore,Good,SampleName,Identifier 2,Gas Configuration,Timestamp Mean,d(17_16)_SD,d(18_16)_SD,d(D_H)_SD,E17_SD,H2O_SD,d(18_16)_Sl,d(D_H)_Sl,H2O_Sl,baseline_shift,slope_shift,residuals,baseline_curvature,interval,ch4_ppm,h16od_adjust,h16od_shift,n2_flag,Resistance,DAS Temp,Tray,Sample,Job,Method,Error Code,Pulse Good,d18O_amended,d17O_amended,E17O_amended
349,350,    P-2439,   2023/02/01 23:59:56,           1-17,1,-6.967,-13.469,-90.89,0.169,19996.0,      -1,    1,NM2,                               T1V20-ID2,                 H2O, 1675314304.19,         0.195,         0.161,         0.346,         0.151,       140.965,         0.001,         0.004,         3.390,        94.824,        24.846,         1.021,        58.978,         0.869,         0.052,       -0.0000,        0.0000,    0,"    
21.78",        41.875,1,17,3,WassenaarRS,0,1,-12.510536442672775,-6.611234448833391,0.014045236135308947
350,351,    P-2439,   2023/02/02 00:08:55,           1-17,2,-6.894,-13.306,-91.444,0.155,20311.0,      -1,    1,NM2,                               T1V20-ID2,                 H2O, 1675314843.33,         0.204,         0.179,         0.389,         0.142,       142.918,         0.000,         0.004,         3.396,        96.146,        25.373,         1.040,        59.607,         0.869,         0.084,        0.0000,        0.0000,    0,"    
21.77",        41.875,1,17,3,WassenaarRS,0,1,-12.348286224706767,-6.53934517305534,-0.00033598755228236854
351,352,    P-2439,   2023/02/02 00:17:54,           1-17,3,-7.07,-13.652,-93.983,0.162,20185.0,      -1,    1,NM2,                               T1V20-ID2,                 H2O, 1675315381.93,         0.211,         0.176,         0.383,         0.149,       140.955,         0.001,         0.003,         3.368,        95.582,        25.285,         1.025,        59.181,         0.869,         0.088,       -0.0000,       -0.0000,    0,"    
21.84",        41.875,1,17,3,WassenaarRS,0,1,-12.692694662843198,-6.712667262602423,0.009339176337860522
352,353,    P-2439,   2023/02/02 00:26:54,           1-17,4,-7.079,-13.677,-94.511,0.167,19983.0,       0,    1,NM2,                               T1V20-ID2,                 H2O, 1675315921.85,         0.222,         0.191,         0.383,         0.157,       141.700,         0.001,         0.003,         3.388,        94.745,        24.948,         1.018,        58.597,         0.869,         0.062,        0.0000,       -0.0000,    0,"    
21.72",        41.875,1,17,3,WassenaarRS,0,1,-12.717579665598722,-6.721530323999717,0.013724544353075352
353,354,    P-2439,   2023/02/02 00:35:53,           1-17,5,-7.09,-13.685,-94.788,0.161,20057.0,       0,    1,NM2,                               T1V20-ID2,                 H2O, 1675316461.16,         0.212,         0.168,         0.381,         0.153,       139.982,         0.000,         0.003,         3.338,        95.089,        24.947,         1.022,        58.892,         0.871,         0.017,       -0.0000,       -0.0000,    0,"    
21.72",        41.938,1,17,3,WassenaarRS,0,1,-12.72554286648049,-6.732362954596409,0.007077297701290952
354,355,    P-2439,   2023/02/02 00:44:52,           1-17,6,-7.086,-13.729,-95.021,0.187,20085.0,       0,    1,NM2,                               T1V20-ID2,                 H2O, 1675317000.44,         0.219,         0.178,         0.419,         0.166,       142.034,         0.000,         0.003,         3.395,        95.163,        25.105,         1.021,        59.003,         0.869,         0.093,       -0.0000,       -0.0000,    0,"    
21.73",        41.875,1,17,3,WassenaarRS,0,1,-12.769340471330208,-6.728423816197614,0.0344668556664276
355,356,    P-2439,   2023/02/02 00:53:52,           1-17,7,-7.132,-13.727,-95.026,0.141,20155.0,       0,    1,NM2,                               T1V20-ID2,                 H2O, 1675317539.91,         0.234,         0.195,         0.371,         0.163,       142.020,         0.000,         0.003,         3.374,        95.416,        25.240,         1.029,        59.288,         0.869,         0.109,        0.0000,       -0.0000,    0,"    
21.75",        41.875,1,17,3,WassenaarRS,0,1,-12.767349671109768,-6.773723907783783,-0.012205876318849285
356,357,    P-2439,   2023/02/02 01:02:52,           1-17,8,-7.107,-13.751,-95.216,0.178,19948.0,       0,    1,NM2,                               T1V20-ID2,                 H2O, 1675318079.87,         0.207,         0.177,         0.376,         0.150,       139.629,         0.001,         0.002,         3.332,        94.586,        24.893,         1.007,        58.584,         0.870,         0.036,        0.0000,       -0.0000,    0,"    
21.80",        41.875,1,17,3,WassenaarRS,0,1,-12.791239273755068,-6.7491042927913,0.02535832640625202
357,358,    P-2439,   2023/02/02 01:11:51,           1-17,9,-7.126,-13.742,-95.186,0.155,20156.0,       0,    1,NM2,                               T1V20-ID2,                 H2O, 1675318619.44,         0.217,         0.189,         0.365,         0.155,       138.348,         0.001,         0.002,         3.306,        95.440,        25.126,         1.033,        59.408,         0.869,         0.101,       -0.0000,        0.0000,    0,"    
21.72",        41.938,1,17,3,WassenaarRS,0,1,-12.78228067276308,-6.767815200185586,0.0017286937209828324
358,359,    P-2439,   2023/02/02 01:20:52,           1-17,10,-7.12,-13.752,-95.282,0.166,19956.0,       0,    1,NM2,                               T1V20-ID2,                 H2O, 1675319159.62,         0.197,         0.168,         0.379,         0.148,       139.771,         0.001,         0.001,         3.342,        94.551,        24.920,         1.018,        58.901,         0.869,         0.125,        0.0000,        0.0000,    0,"    
21.78",        41.875,1,17,3,WassenaarRS,0,1,-12.792234673865291,-6.761906492587391,0.013001434394666944
