,Line,Analysis,Time Code,Port,Inj Nr,d(17_16)Mean,d(18_16)Mean,d(D_H)Mean,E17_Mean,H2O_Mean,Ignore,Good,SampleName,Identifier 2,Gas Configuration,Timestamp Mean,d(17_16)_SD,d(18_16)_SD,d(D_H)_SD,E17_SD,H2O_SD,d(18_16)_Sl,d(D_H)_Sl,H2O_Sl,baseline_shift,slope_shift,residuals,baseline_curvature,interval,ch4_ppm,h16od_adjust,h16od_shift,n2_flag,Resistance,DAS Temp,Tray,Sample,Job,Method,Error Code,Pulse Good,d18O_amended,d17O_amended,E17O_amended
195,196,    P-2401,   2023/01/27 19:31:06,           1-08,1,0.043,-0.31,-0.026,0.207,20617.0,      -1,    1,Real_KD,                                T1V8-ID2,                 H2O, 1674866173.58,         0.222,         0.183,         0.447,         0.157,       147.225,         0.000,        -0.005,         3.518,        97.563,        24.942,         1.092,        62.224,         0.869,         0.056,       -0.0000,       -0.0000,    0,"    
21.76",        42.375,1,8,2,WassenaarRS,0,1,0.43731978502981506,0.22784571177633942,-0.003034612697801281
196,197,    P-2401,   2023/01/27 19:40:05,           1-08,2,-0.07,-0.497,0.997,0.192,21521.0,      -1,    1,Real_KD,                                T1V8-ID2,                 H2O, 1674866712.86,         0.184,         0.177,         0.392,         0.135,       152.312,         0.001,        -0.004,         3.598,       101.554,        26.125,         1.136,        64.454,         0.869,        -0.014,       -0.0000,        0.0000,    0,"    
21.96",        42.125,1,8,2,WassenaarRS,0,1,0.25178683867105955,0.1169222609465901,-0.016011290849886964
197,198,    P-2401,   2023/01/27 19:49:06,           1-08,3,0.01,-0.396,2.582,0.219,20513.0,      -1,    1,Real_KD,                                T1V8-ID2,                 H2O, 1674867253.80,         0.201,         0.165,         0.433,         0.145,       151.956,         0.001,        -0.004,         3.633,        97.101,        24.761,         1.084,        62.023,         0.869,        -0.032,        0.0000,       -0.0000,    0,"    
21.98",        41.688,1,8,2,WassenaarRS,0,1,0.35199447280065477,0.19545213764021793,0.009612659675828222
198,199,    P-2401,   2023/01/27 19:58:05,           1-08,4,0.034,-0.371,3.039,0.23,20813.0,       0,    1,Real_KD,                                T1V8-ID2,                 H2O, 1674867792.85,         0.234,         0.192,         0.404,         0.164,       149.414,        -0.000,        -0.003,         3.546,        98.460,        25.239,         1.091,        62.228,         0.869,        -0.037,       -0.0000,        0.0000,    0,"    
21.75",        41.875,1,8,2,WassenaarRS,0,1,0.376798342634713,0.21901110064830628,0.020075068820059966
199,200,    P-2401,   2023/01/27 20:07:05,           1-08,5,0.013,-0.392,3.146,0.22,20581.0,       0,    1,Real_KD,                                T1V8-ID2,                 H2O, 1674868332.49,         0.217,         0.192,         0.383,         0.152,       148.349,         0.000,        -0.005,         3.539,        97.408,        25.007,         1.080,        61.673,         0.870,         0.028,       -0.0000,       -0.0000,    0,"    
21.83",        41.938,1,8,2,WassenaarRS,0,1,0.3559630919741041,0.19839700801622898,0.010462260800786105
200,201,    P-2401,   2023/01/27 20:16:05,           1-08,6,0.017,-0.355,3.223,0.204,20737.0,       0,    1,Real_KD,                                T1V8-ID2,                 H2O, 1674868872.93,         0.231,         0.183,         0.399,         0.167,       152.098,         0.000,        -0.004,         3.635,        98.077,        25.162,         1.090,        62.370,         0.870,        -0.001,       -0.0000,       -0.0000,    0,"    
21.84",        41.500,1,8,2,WassenaarRS,0,1,0.3926728193285103,0.2023235018509104,-0.004987515374106438
201,202,    P-2401,   2023/01/27 20:25:05,           1-08,7,0.004,-0.395,3.375,0.213,20481.0,       0,    1,Real_KD,                                T1V8-ID2,                 H2O, 1674869412.28,         0.220,         0.174,         0.450,         0.163,       147.014,        -0.000,        -0.004,         3.483,        96.961,        24.974,         1.062,        61.235,         0.871,        -0.076,       -0.0000,        0.0000,    0,"    
21.79",        41.688,1,8,2,WassenaarRS,0,1,0.3529866275940171,0.18956239688819584,0.003200379382503643
202,203,    P-2401,   2023/01/27 20:34:04,           1-08,8,0.044,-0.347,3.423,0.227,20706.0,       0,    1,Real_KD,                                T1V8-ID2,                 H2O, 1674869952.49,         0.211,         0.175,         0.421,         0.157,       147.000,         0.001,        -0.004,         3.505,        97.997,        25.058,         1.087,        62.200,         0.870,        -0.014,        0.0000,       -0.0000,    0,"    
21.96",        41.812,1,8,2,WassenaarRS,0,1,0.4006100576754089,0.22882733523500975,0.017321405431274528
203,204,    P-2401,   2023/01/27 20:43:03,           1-08,9,-0.005,-0.387,3.478,0.199,20649.0,       0,    1,Real_KD,                                T1V8-ID2,                 H2O, 1674870490.88,         0.233,         0.190,         0.409,         0.169,       151.227,         0.001,        -0.003,         3.610,        97.640,        25.158,         1.084,        61.979,         0.870,         0.046,       -0.0000,       -0.0000,    0,"    
21.93",        41.438,1,8,2,WassenaarRS,0,1,0.36092386594091574,0.1807277857601627,-0.009821962794368894
204,205,    P-2401,   2023/01/27 20:52:02,           1-08,10,0.007,-0.362,3.506,0.198,20837.0,       0,    1,Real_KD,                                T1V8-ID2,                 H2O, 1674871029.42,         0.214,         0.203,         0.395,         0.155,       154.385,        -0.000,        -0.003,         3.684,        98.524,        25.257,         1.099,        62.584,         0.870,         0.047,       -0.0000,        0.0000,    0,"    
21.82",        41.500,1,8,2,WassenaarRS,0,1,0.385727735774974,0.1925072672642069,-0.011136234995262284
205,206,    P-2401,   2023/01/27 21:01:01,           1-08,11,0.009,-0.373,3.466,0.206,20744.0,       0,    1,Real_KD,                                T1V8-ID2,                 H2O, 1674871568.94,         0.221,         0.191,         0.418,         0.153,       148.680,         0.000,        -0.003,         3.548,        98.145,        25.257,         1.085,        61.884,         0.869,        -0.066,        0.0000,       -0.0000,    0,"    
21.83",        41.875,1,8,2,WassenaarRS,0,1,0.3748140330479883,0.1944705141815476,-0.0034131232841014547
206,207,    P-2401,   2023/01/27 21:10:01,           1-08,12,0.028,-0.377,3.572,0.227,20685.0,       0,    1,Real_KD,                                T1V8-ID2,                 H2O, 1674872108.71,         0.236,         0.197,         0.368,         0.164,       153.992,        -0.000,        -0.002,         3.657,        97.869,        25.125,         1.086,        61.903,         0.869,        -0.029,        0.0000,       -0.0000,    0,"    
21.78",        41.625,1,8,2,WassenaarRS,0,1,0.370845413874539,0.2131213598962842,0.017328572214898308
207,208,    P-2401,   2023/01/27 21:19:00,           1-08,13,-0.004,-0.388,3.674,0.201,20798.0,       0,    1,Real_KD,                                T1V8-ID2,                 H2O, 1674872647.97,         0.209,         0.171,         0.428,         0.150,       151.176,         0.001,        -0.005,         3.583,        98.267,        25.204,         1.107,        62.829,         0.871,         0.086,        0.0000,        0.0000,    0,"    
21.74",        41.500,1,8,2,WassenaarRS,0,1,0.3599317111475534,0.18170940921883308,-0.008316848205746075
208,209,    P-2401,   2023/01/27 21:28:00,           1-08,14,0.034,-0.363,3.659,0.226,20833.0,       0,    1,Real_KD,                                T1V8-ID2,                 H2O, 1674873187.66,         0.213,         0.192,         0.385,         0.149,       150.003,         0.001,        -0.003,         3.560,        98.545,        25.352,         1.089,        62.093,         0.870,        -0.069,        0.0000,       -0.0000,    0,"    
21.76",        41.875,1,8,2,WassenaarRS,0,1,0.38473558098161165,0.21901110064830628,0.01588580210728588
209,210,    P-2401,   2023/01/27 21:36:59,           1-08,15,-0.002,-0.414,3.588,0.217,20714.0,       0,    1,Real_KD,                                T1V8-ID2,                 H2O, 1674873727.33,         0.193,         0.178,         0.385,         0.143,       146.768,         0.001,        -0.003,         3.506,        98.002,        25.129,         1.087,        61.971,         0.869,        -0.064,       -0.0000,       -0.0000,    0,"    
21.79",        41.812,1,8,2,WassenaarRS,0,1,0.33413568652013287,0.18367265613617376,0.007261616049807962
210,211,    P-2401,   2023/01/27 21:45:59,           1-08,16,0.003,-0.382,3.663,0.205,20731.0,       0,    1,Real_KD,                                T1V8-ID2,                 H2O, 1674874267.46,         0.215,         0.191,         0.395,         0.145,       153.666,         0.000,        -0.003,         3.670,        98.006,        25.195,         1.090,        62.327,         0.870,        -0.011,       -0.0000,       -0.0000,    0,"    
21.88",        41.438,1,8,2,WassenaarRS,0,1,0.36588463990772735,0.1885807734295255,-0.004588762084721865
211,212,    P-2401,   2023/01/27 21:54:59,           1-08,17,0.002,-0.384,3.644,0.205,20813.0,       0,    1,Real_KD,                                T1V8-ID2,                 H2O, 1674874806.92,         0.207,         0.177,         0.375,         0.146,       150.279,         0.000,        -0.002,         3.583,        98.365,        25.341,         1.090,        62.642,         0.870,         0.094,        0.0000,       -0.0000,    0,"    
21.80",        41.750,1,8,2,WassenaarRS,0,1,0.3639003303210027,0.18759914997085517,-0.004522867646743589
212,213,    P-2401,   2023/01/27 22:03:59,           1-08,18,0.004,-0.385,3.695,0.207,20797.0,       0,    1,Real_KD,                                T1V8-ID2,                 H2O, 1674875346.29,         0.212,         0.190,         0.392,         0.152,       151.252,         0.000,        -0.004,         3.585,        98.374,        25.268,         1.091,        62.234,         0.871,        -0.058,        0.0000,        0.0000,    0,"    
21.90",        41.812,1,8,2,WassenaarRS,0,1,0.3629081755276404,0.18956239688819584,-0.0020363234623392845
213,214,    P-2401,   2023/01/27 22:12:58,           1-08,19,0.0,-0.393,3.717,0.208,20847.0,       0,    1,Real_KD,                                T1V8-ID2,                 H2O, 1674875885.17,         0.211,         0.176,         0.407,         0.155,       151.937,         0.000,        -0.004,         3.626,        98.541,        25.397,         1.091,        62.436,         0.870,        -0.052,        0.0000,       -0.0000,    0,"    
21.89",        41.562,1,8,2,WassenaarRS,0,1,0.35497093718074174,0.18563590305351446,-0.001772722707550578
214,215,    P-2401,   2023/01/27 22:21:58,           1-08,20,0.001,-0.416,3.689,0.22,20923.0,       0,    1,Real_KD,                                T1V8-ID2,                 H2O, 1674876425.41,         0.217,         0.200,         0.394,         0.148,       154.171,         0.001,        -0.002,         3.653,        98.887,        25.378,         1.100,        62.978,         0.870,         0.004,       -0.0000,       -0.0000,    0,"    
21.77",        41.688,1,8,1,WassenaarRS,0,1,0.33215137693340824,0.1866175265121848,0.01125330783680234
