,Line,Analysis,Time Code,Port,Inj Nr,d(17_16)Mean,d(18_16)Mean,d(D_H)Mean,E17_Mean,H2O_Mean,Ignore,Good,SampleName,Identifier 2,Gas Configuration,Timestamp Mean,d(17_16)_SD,d(18_16)_SD,d(D_H)_SD,E17_SD,H2O_SD,d(18_16)_Sl,d(D_H)_Sl,H2O_Sl,baseline_shift,slope_shift,residuals,baseline_curvature,interval,ch4_ppm,h16od_adjust,h16od_shift,n2_flag,Resistance,DAS Temp,Tray,Sample,Job,Method,Error Code,Pulse Good,d18O_amended,d17O_amended,E17O_amended
194,195,    P-2430,   2023/02/01 00:33:16,           1-08,1,-0.029,-0.408,-0.402,0.187,21429.0,-1,1,Real_KD,                                T1V8-ID2,                 H2O,1675229904,0.209,0.174,0.425,0.153,152.658,0,-0.005,3.622,101.076,25.996,1.144,64.464,0.871,0.134,0,0,0,"    
21.75",41.625,1,8,2,WassenaarRS,0,1,0.4903843969224057,0.22120110378908725,-0.03768285400019719
195,196,    P-2430,   2023/02/01 00:42:16,           1-08,2,-0.016,-0.483,1.205,0.239,20973.0,-1,1,Real_KD,                                T1V8-ID2,                 H2O,1675230443,0.219,0.185,0.461,0.152,150.891,0,-0.007,3.579,99.172,25.488,1.111,62.596,0.871,0.032,0,0,0,"    
21.65",41.688,1,8,2,WassenaarRS,0,1,0.41572938865583814,0.23400330358517887,0.014516426594646137
196,197,    P-2430,   2023/02/01 00:51:16,           1-08,3,-0.036,-0.463,2.292,0.209,20253.0,-1,1,Real_KD,                                T1V8-ID2,                 H2O,1675230983,0.224,0.194,0.466,0.156,148.613,0,-0.005,3.542,95.896,24.842,1.056,60.546,0.871,0.076,0,0,0,"    
21.72",41.625,1,8,2,WassenaarRS,0,1,0.4356373908602561,0.21430761159119177,-0.01568180402171268
197,198,    P-2430,   2023/02/01 01:00:15,           1-08,4,-0.017,-0.442,2.594,0.216,20578.0,0,1,Real_KD,                                T1V8-ID2,                 H2O,1675231523,0.19,0.167,0.42,0.147,151.097,0,-0.005,3.582,97.35,25.11,1.082,61.623,0.871,0.07,0,0,0,"    
21.77",41.688,1,8,2,WassenaarRS,0,1,0.45654079317489504,0.2330185189854795,-0.008007155764278268
198,199,    P-2430,   2023/02/01 01:09:16,           1-08,5,-0.047,-0.466,2.805,0.199,20350.0,0,1,Real_KD,                                T1V8-ID2,                 H2O,1675232063,0.228,0.177,0.415,0.161,151.333,0,-0.005,3.581,96.269,24.723,1.086,61.671,0.872,0.112,0,0,0,"    
21.64",41.75,1,8,2,WassenaarRS,0,1,0.43265119052959344,0.2034749809944989,-0.024936142698490843
199,200,    P-2430,   2023/02/01 01:18:15,           1-08,6,-0.024,-0.437,2.955,0.207,20780.0,0,1,Real_KD,                                T1V8-ID2,                 H2O,1675232603,0.196,0.16,0.419,0.144,150.694,0,-0.004,3.574,98.25,25.293,1.103,62.202,0.871,0.032,0,0,0,"    
21.64",41.75,1,8,2,WassenaarRS,0,1,0.46151779372599955,0.22612502678758403,-0.01752571635542477
200,201,    P-2430,   2023/02/01 01:27:15,           1-08,7,-0.023,-0.449,3.076,0.214,20515.0,0,1,Real_KD,                                T1V8-ID2,                 H2O,1675233142,0.212,0.18,0.418,0.149,149.504,0,-0.005,3.547,97.025,25.039,1.086,61.507,0.87,0.12,0,0,0,"    
21.68",41.688,1,8,2,WassenaarRS,0,1,0.44957299240334875,0.2271098113872834,-0.010237171526781857
201,202,    P-2430,   2023/02/01 01:36:15,           1-08,8,-0.041,-0.483,2.985,0.214,20567.0,0,1,Real_KD,                                T1V8-ID2,                 H2O,1675233682,0.202,0.174,0.384,0.15,151.515,-0.001,-0.004,3.591,97.238,25.099,1.083,61.941,0.872,0.128,0,0,0,"    
21.67",41.688,1,8,2,WassenaarRS,0,1,0.41572938865583814,0.20938368859269502,-0.0100977316002627
202,203,    P-2430,   2023/02/01 01:45:13,           1-08,9,-0.007,-0.414,3.103,0.211,20463.0,0,1,Real_KD,                                T1V8-ID2,                 H2O,1675234221,0.198,0.171,0.431,0.144,148.967,0,-0.006,3.536,96.849,24.893,1.078,61.49,0.87,0.057,0,0,0,"    
21.66",41.688,1,8,2,WassenaarRS,0,1,0.4844119962610803,0.24286636498247305,-0.012870727388056863
203,204,    P-2430,   2023/02/01 01:54:14,           1-08,10,-0.079,-0.496,3.189,0.183,20368.0,0,1,Real_KD,                                T1V8-ID2,                 H2O,1675234762,0.22,0.186,0.408,0.157,150.494,0,-0.004,3.61,96.334,24.839,1.082,61.491,0.872,0.081,0,0,0,"    
21.70",41.75,1,8,2,WassenaarRS,0,1,0.4027891872229664,0.17196187380411956,-0.04068278116549337
204,205,    P-2430,   2023/02/01 02:03:14,           1-08,11,-0.023,-0.463,3.245,0.221,20556.0,0,1,Real_KD,                                T1V8-ID2,                 H2O,1675235301,0.244,0.187,0.427,0.176,150.733,-0.001,-0.005,3.568,97.199,25.038,1.088,61.89,0.872,0.113,0,0,0,"    
21.75",41.75,1,8,2,WassenaarRS,0,1,0.4356373908602561,0.2271098113872834,-0.002882429159024702
205,206,    P-2430,   2023/02/01 02:12:14,           1-08,12,-0.005,-0.439,3.243,0.227,20418.0,0,1,Real_KD,                                T1V8-ID2,                 H2O,1675235842,0.211,0.187,0.424,0.152,146.479,0,-0.004,3.471,96.683,24.739,1.079,61.382,0.871,0.006,0,0,0,"    
21.84",41.75,1,8,2,WassenaarRS,0,1,0.45952699350555776,0.24483593418187174,0.002231444687646078
206,207,    P-2430,   2023/02/01 02:21:13,           1-08,13,-0.034,-0.447,3.269,0.202,20220.0,0,1,Real_KD,                                T1V8-ID2,                 H2O,1675236381,0.23,0.202,0.435,0.158,145.963,-0.001,-0.005,3.483,95.73,24.736,1.061,60.567,0.871,0.061,0,0,0,"    
21.74",41.312,1,8,2,WassenaarRS,0,1,0.45156379262379054,0.2162771807905905,-0.022118070250284477
207,208,    P-2430,   2023/02/01 02:30:12,           1-08,14,-0.014,-0.439,3.269,0.218,20198.0,0,1,Real_KD,                                T1V8-ID2,                 H2O,1675236920,0.21,0.168,0.412,0.155,150.745,0,-0.005,3.598,95.676,24.657,1.056,60.38,0.871,0,0,0,0,"    
21.66",41,1,8,2,WassenaarRS,0,1,0.45952699350555776,0.23597287278457757,-0.006629486502781001
