,Line,Analysis,Time Code,Port,Inj Nr,d(17_16)Mean,d(18_16)Mean,d(D_H)Mean,E17_Mean,H2O_Mean,Ignore,Good,SampleName,Identifier 2,Gas Configuration,Timestamp Mean,d(17_16)_SD,d(18_16)_SD,d(D_H)_SD,E17_SD,H2O_SD,d(18_16)_Sl,d(D_H)_Sl,H2O_Sl,baseline_shift,slope_shift,residuals,baseline_curvature,interval,ch4_ppm,h16od_adjust,h16od_shift,n2_flag,Resistance,DAS Temp,Tray,Sample,Job,Method,Error Code,Pulse Good,d18O_amended,d17O_amended,E17O_amended
531,532,    P-2415,   2023/01/29 22:10:05,           1-22,1,-19.379,-36.405,-278.892,0.012,20263.0,      -1,    1,SLAP.25,                               T1V25-ID2,                 H2O, 1675048512.14,         0.201,         0.186,         0.526,         0.149,       150.581,         0.002,         0.010,         3.571,        95.749,        26.280,         0.994,        57.795,         0.871,         0.212,        0.0000,       -0.0000,    0,"    
21.81",        41.312,1,22,2,WassenaarRS,0,1,-35.374507481383446,-18.837245102610794,-0.000824611399750097
532,533,    P-2415,   2023/01/29 22:19:04,           1-22,2,-18.624,-35.032,-269.957,0.029,20620.0,      -1,    1,SLAP.25,                               T1V25-ID2,                 H2O, 1675049052.12,         0.213,         0.196,         0.659,         0.149,       161.736,         0.002,         0.013,         3.864,        97.343,        26.664,         1.015,        58.692,         0.870,         0.173,        0.0000,       -0.0000,    0,"    
21.87",        41.375,1,22,2,WassenaarRS,0,1,-34.01227895009696,-18.096119391314677,0.009137684605470042
533,534,    P-2415,   2023/01/29 22:28:04,           1-22,3,-19.539,-36.66,-282.378,-0.013,20314.0,      -1,    1,SLAP.25,                               T1V25-ID2,                 H2O, 1675049591.23,         0.206,         0.176,         0.631,         0.158,       153.636,         0.001,         0.012,         3.680,        95.975,        26.297,         1.003,        57.972,         0.870,         0.216,        0.0000,        0.0000,    0,"    
21.84",        41.812,1,22,2,WassenaarRS,0,1,-35.62750695369083,-18.99430485599805,-0.022411918437928335
534,535,    P-2415,   2023/01/29 22:37:03,           1-22,4,-19.58,-36.738,-283.826,-0.012,20346.0,       0,    1,SLAP.25,                               T1V25-ID2,                 H2O, 1675050130.53,         0.224,         0.204,         0.615,         0.163,       145.761,         0.002,         0.012,         3.492,        96.125,        26.399,         0.997,        57.986,         0.872,         0.204,        0.0000,        0.0000,    0,"    
21.81",        42.062,1,22,2,WassenaarRS,0,1,-35.7048950275731,-19.03455141780353,-0.021066421836895444
535,536,    P-2415,   2023/01/29 22:46:02,           1-22,5,-19.612,-36.823,-284.267,0.002,20432.0,       0,    1,SLAP.25,                               T1V25-ID2,                 H2O, 1675050669.62,         0.225,         0.197,         0.600,         0.164,       151.088,         0.002,         0.011,         3.583,        96.464,        26.546,         1.011,        58.141,         0.870,         0.253,       -0.0000,        0.0000,    0,"    
21.89",        41.625,1,22,2,WassenaarRS,0,1,-35.7892281850089,-19.065963368480983,-0.006909740927493857
536,537,    P-2415,   2023/01/29 22:55:00,           1-22,6,-19.599,-36.824,-284.709,0.016,20555.0,       0,    1,SLAP.25,                               T1V25-ID2,                 H2O, 1675051207.62,         0.213,         0.172,         0.593,         0.160,       155.586,         0.001,         0.012,         3.714,        97.043,        26.894,         0.996,        57.787,         0.870,         0.167,       -0.0000,        0.0000,    0,"    
21.76",        41.375,1,22,2,WassenaarRS,0,1,-35.79022033980226,-19.05320226351827,0.006642613513662354
537,538,    P-2415,   2023/01/29 23:04:00,           1-22,7,-19.625,-36.866,-284.903,0.012,20374.0,       0,    1,SLAP.25,                               T1V25-ID2,                 H2O, 1675051747.41,         0.209,         0.189,         0.592,         0.151,       158.582,         0.001,         0.011,         3.776,        96.287,        26.490,         0.993,        57.604,         0.871,         0.132,       -0.0000,        0.0000,    0,"    
21.96",        41.812,1,22,2,WassenaarRS,0,1,-35.83189084112348,-19.078724473443696,0.003443544641665852
538,539,    P-2415,   2023/01/29 23:13:00,           1-22,8,-19.609,-36.862,-284.992,0.027,20471.0,       0,    1,SLAP.25,                               T1V25-ID2,                 H2O, 1675052287.36,         0.214,         0.180,         0.560,         0.157,       150.081,         0.001,         0.011,         3.583,        96.691,        26.655,         0.999,        57.911,         0.869,         0.180,       -0.0000,       -0.0000,    0,"    
21.83",        42.312,1,22,2,WassenaarRS,0,1,-35.82792222195003,-19.063018498104974,0.017281569845557954
539,540,    P-2415,   2023/01/29 23:21:59,           1-22,9,-19.605,-36.849,-285.047,0.024,20395.0,       0,    1,SLAP.25,                               T1V25-ID2,                 H2O, 1675052826.67,         0.204,         0.182,         0.561,         0.150,       153.283,         0.001,         0.010,         3.636,        96.333,        26.246,         1.013,        58.702,         0.870,         0.280,       -0.0000,        0.0000,    0,"    
21.79",        42.062,1,22,2,WassenaarRS,0,1,-35.81502420963632,-19.05909200427029,0.01422119768460206
540,541,    P-2415,   2023/01/29 23:30:58,           1-22,10,-19.645,-36.886,-285.243,0.004,20343.0,       0,    1,SLAP.25,                               T1V25-ID2,                 H2O, 1675053365.70,         0.204,         0.180,         0.517,         0.155,       152.981,         0.001,         0.009,         3.649,        96.152,        26.338,         0.998,        57.769,         0.870,         0.149,        0.0000,        0.0000,    0,"    
21.72",        41.500,1,22,2,WassenaarRS,0,1,-35.851733936990726,-19.098356942617105,-0.005704337963667427
