,Line,Analysis,Time Code,Port,Inj Nr,d(17_16)Mean,d(18_16)Mean,d(D_H)Mean,E17_Mean,H2O_Mean,Ignore,Good,SampleName,Identifier 2,Gas Configuration,Timestamp Mean,d(17_16)_SD,d(18_16)_SD,d(D_H)_SD,E17_SD,H2O_SD,d(18_16)_Sl,d(D_H)_Sl,H2O_Sl,baseline_shift,slope_shift,residuals,baseline_curvature,interval,ch4_ppm,h16od_adjust,h16od_shift,n2_flag,Resistance,DAS Temp,Tray,Sample,Job,Method,Error Code,Pulse Good,d18O_amended,d17O_amended,E17O_amended
543,544,    P-2416,   2023/01/29 23:58:55,           1-23,1,-22.356,-41.895,-321.897,-0.013,20551.0,      -1,    1,SLAP.5,                               T1V26-ID2,                 H2O, 1675055043.17,         0.218,         0.183,         0.711,         0.168,       151.040,         0.002,         0.015,         3.601,        97.041,        26.832,         1.002,        58.085,         0.870,         0.199,       -0.0000,       -0.0000,    0,"    
21.95",        42.125,1,23,2,WassenaarRS,0,1,-40.821437296942634,-21.759538138980783,0.006228875641077991
544,545,    P-2416,   2023/01/30 00:07:55,           1-23,2,-21.507,-40.271,-311.34,-0.039,20592.0,      -1,    1,SLAP.5,                               T1V26-ID2,                 H2O, 1675055582.91,         0.213,         0.171,         0.646,         0.163,       147.847,         0.001,         0.014,         3.526,        97.121,        26.812,         1.022,        58.710,         0.870,         0.347,        0.0000,       -0.0000,    0,"    
21.85",        41.812,1,23,2,WassenaarRS,0,1,-39.21017791252221,-20.92613982256966,-0.02840522647483823
545,546,    P-2416,   2023/01/30 00:16:55,           1-23,3,-22.621,-42.328,-326.274,-0.045,19530.0,      -1,    1,SLAP.5,                               T1V26-ID2,                 H2O, 1675056122.27,         0.203,         0.193,         0.722,         0.149,       153.509,         0.002,         0.015,         3.667,        92.554,        25.584,         0.939,        55.080,         0.870,         0.192,        0.0000,        0.0000,    0,"    
21.70",        41.438,1,23,2,WassenaarRS,0,1,-41.25104032246852,-22.019668355528424,-0.023185932101416284
546,547,    P-2416,   2023/01/30 00:25:54,           1-23,4,-22.687,-42.49,-328.075,-0.023,19533.0,       0,    1,SLAP.5,                               T1V26-ID2,                 H2O, 1675056661.80,         0.208,         0.214,         0.717,         0.155,       151.519,         0.003,         0.015,         3.614,        92.600,        25.683,         0.931,        54.646,         0.870,         0.164,       -0.0000,        0.0000,    0,"    
21.78",        41.812,1,23,2,WassenaarRS,0,1,-41.41176939899322,-22.08445550380067,-0.0009102224585788576
547,548,    P-2416,   2023/01/30 00:34:54,           1-23,5,-22.696,-42.522,-328.668,-0.015,19629.0,       0,    1,SLAP.5,                               T1V26-ID2,                 H2O, 1675057200.82,         0.208,         0.186,         0.671,         0.154,       148.443,         0.002,         0.014,         3.541,        92.984,        25.839,         0.945,        54.997,         0.870,         0.145,        0.0000,       -0.0000,    0,"    
21.92",        42.188,1,23,2,WassenaarRS,0,1,-41.443518352380806,-22.093290114928703,0.00754354305205851
548,549,    P-2416,   2023/01/30 00:43:54,           1-23,6,-22.758,-42.573,-328.998,-0.05,19535.0,       0,    1,SLAP.5,                               T1V26-ID2,                 H2O, 1675057741.31,         0.183,         0.179,         0.686,         0.140,       144.874,         0.002,         0.014,         3.458,        92.515,        25.707,         0.944,        54.946,         0.870,         0.264,       -0.0000,       -0.0000,    0,"    
21.84",        41.875,1,23,2,WassenaarRS,0,1,-41.49411824684229,-22.15415076936626,-0.026821450704463956
549,550,    P-2416,   2023/01/30 00:52:53,           1-23,7,-22.727,-42.571,-329.275,-0.019,19478.0,       0,    1,SLAP.5,                               T1V26-ID2,                 H2O, 1675058281.12,         0.204,         0.192,         0.659,         0.151,       147.384,         0.002,         0.014,         3.542,        92.340,        25.734,         0.926,        54.244,         0.870,         0.124,        0.0000,        0.0000,    0,"    
21.92",        41.312,1,23,2,WassenaarRS,0,1,-41.492133937255566,-22.123720442147484,0.0032047537701949125
550,551,    P-2416,   2023/01/30 01:01:52,           1-23,8,-22.767,-42.616,-329.438,-0.035,19593.0,       0,    1,SLAP.5,                               T1V26-ID2,                 H2O, 1675058820.15,         0.200,         0.179,         0.664,         0.153,       152.477,         0.002,         0.014,         3.651,        92.771,        25.792,         0.940,        55.208,         0.868,         0.293,        0.0000,        0.0000,    0,"    
21.79",        41.688,1,23,2,WassenaarRS,0,1,-41.53678090295687,-22.162985380494295,-0.012354700002873642
551,552,    P-2416,   2023/01/30 01:10:52,           1-23,9,-22.771,-42.621,-329.507,-0.036,19605.0,       0,    1,SLAP.5,                               T1V26-ID2,                 H2O, 1675059359.51,         0.217,         0.183,         0.667,         0.159,       148.858,         0.001,         0.013,         3.554,        92.850,        25.641,         0.947,        55.639,         0.870,         0.244,        0.0000,        0.0000,    0,"    
21.79",        42.125,1,23,2,WassenaarRS,0,1,-41.541741676923685,-22.166911874328978,-0.013637389667401578
552,553,    P-2416,   2023/01/30 01:19:52,           1-23,10,-22.758,-42.607,-329.606,-0.032,19562.0,       0,    1,SLAP.5,                               T1V26-ID2,                 H2O, 1675059899.61,         0.199,         0.176,         0.652,         0.146,       146.279,         0.002,         0.014,         3.518,        92.644,        25.750,         0.941,        55.065,         0.869,         0.272,       -0.0000,       -0.0000,    0,"    
21.95",        41.875,1,23,2,WassenaarRS,0,1,-41.52785150981661,-22.15415076936626,-0.008238908211723128
