,Line,Analysis,Time Code,Port,Inj Nr,d(17_16)Mean,d(18_16)Mean,d(D_H)Mean,E17_Mean,H2O_Mean,Ignore,Good,SampleName,Identifier 2,Gas Configuration,Timestamp Mean,d(17_16)_SD,d(18_16)_SD,d(D_H)_SD,E17_SD,H2O_SD,d(18_16)_Sl,d(D_H)_Sl,H2O_Sl,baseline_shift,slope_shift,residuals,baseline_curvature,interval,ch4_ppm,h16od_adjust,h16od_shift,n2_flag,Resistance,DAS Temp,Tray,Sample,Job,Method,Error Code,Pulse Good,d18O_amended,d17O_amended,E17O_amended
578,579,    P-2418,   2023/01/30 05:15:37,           1-25,12,-30.458,-56.688,-433.364,-0.118,20052.0,       0,    1,SLAP,                               T1V28-ID2,                 H2O, 1675074044.16,         0.190,         0.184,         1.000,         0.150,       163.862,         0.002,         0.023,         3.896,        94.695,        26.862,         0.956,        55.625,         0.870,         0.351,       -0.0000,        0.0000,    0,"    
21.79",        41.750,1,25,3,WassenaarRS,0,1,-55.498383155151565,-29.712651401219574,-0.01533494499959076
581,582,    P-2418,   2023/01/30 05:42:37,           1-25,15,-30.435,-56.656,-433.502,-0.113,20115.0,       0,    1,SLAP,                               T1V28-ID2,                 H2O, 1675075664.59,         0.208,         0.178,         0.866,         0.162,       154.528,         0.002,         0.019,         3.695,        94.935,        27.044,         0.957,        55.746,         0.869,         0.355,       -0.0000,        0.0000,    0,"    
21.92",        41.875,1,25,3,WassenaarRS,0,1,-55.466634201763966,-29.690074061670156,-0.009814660773777462
582,583,    P-2418,   2023/01/30 05:51:36,           1-25,16,-30.458,-56.654,-433.528,-0.138,20035.0,       0,    1,SLAP,                               T1V28-ID2,                 H2O, 1675076204.13,         0.204,         0.178,         0.862,         0.153,       156.088,         0.002,         0.019,         3.714,        94.560,        26.939,         0.957,        55.544,         0.868,         0.430,       -0.0000,        0.0000,    0,"    
21.70",        41.625,1,25,3,WassenaarRS,0,1,-55.46464989217725,-29.712651401219574,-0.03419234500172408
583,584,    P-2418,   2023/01/30 06:00:36,           1-25,17,-30.425,-56.639,-433.588,-0.112,20107.0,       0,    1,SLAP,                               T1V28-ID2,                 H2O, 1675076743.94,         0.195,         0.187,         0.823,         0.150,       153.031,         0.002,         0.018,         3.658,        94.877,        26.910,         0.970,        56.166,         0.870,         0.464,       -0.0000,        0.0000,    0,"    
21.83",        41.688,1,25,3,WassenaarRS,0,1,-55.44976757027681,-29.680257827083455,-0.009126582098989644
584,585,    P-2418,   2023/01/30 06:09:36,           1-25,18,-30.406,-56.646,-433.735,-0.089,20063.0,       0,    1,SLAP,                               T1V28-ID2,                 H2O, 1675077283.08,         0.218,         0.197,         0.812,         0.157,       152.258,         0.002,         0.018,         3.615,        94.775,        26.910,         0.952,        55.378,         0.870,         0.359,        0.0000,        0.0000,    0,"    
21.82",        41.812,1,25,3,WassenaarRS,0,1,-55.456712653830344,-29.661606981368717,0.013976862873363416
585,586,    P-2418,   2023/01/30 06:18:36,           1-25,19,-30.432,-56.663,-433.749,-0.105,20078.0,       0,    1,SLAP,                               T1V28-ID2,                 H2O, 1675077823.06,         0.205,         0.191,         0.822,         0.143,       154.194,         0.002,         0.018,         3.686,        94.733,        27.017,         0.956,        55.724,         0.869,         0.449,       -0.0000,       -0.0000,    0,"    
21.83",        41.500,1,25,3,WassenaarRS,0,1,-55.4735792853175,-29.687129191294147,-0.0028973272646588555
586,587,    P-2418,   2023/01/30 06:27:36,           1-25,20,-30.437,-56.675,-433.81,-0.104,20059.0,       0,    1,SLAP,                               T1V28-ID2,                 H2O, 1675078364.10,         0.225,         0.195,         0.852,         0.166,       157.584,         0.003,         0.019,         3.769,        94.733,        26.946,         0.952,        55.377,         0.869,         0.339,        0.0000,        0.0000,    0,"    
21.81",        41.438,1,25,3,WassenaarRS,0,1,-55.485485142837845,-29.6920373085875,-0.001300084299156623
587,588,    P-2418,   2023/01/30 06:36:36,           1-25,21,-30.473,-56.694,-433.855,-0.13,20151.0,       0,    1,SLAP,                               T1V28-ID2,                 H2O, 1675078903.80,         0.202,         0.185,         0.789,         0.154,       153.921,         0.002,         0.017,         3.678,        95.068,        27.189,         0.954,        55.570,         0.870,         0.371,       -0.0000,        0.0000,    0,"    
21.69",        41.938,1,25,3,WassenaarRS,0,1,-55.50433608391174,-29.727375753099633,-0.027182462516751826
588,589,    P-2418,   2023/01/30 06:45:35,           1-25,22,-30.4,-56.656,-433.917,-0.076,19961.0,       0,    1,SLAP,                               T1V28-ID2,                 H2O, 1675079443.18,         0.196,         0.191,         0.833,         0.143,       155.745,         0.002,         0.018,         3.722,        94.349,        26.785,         0.945,        54.917,         0.869,         0.286,        0.0000,       -0.0000,    0,"    
21.92",        41.750,1,25,3,WassenaarRS,0,1,-55.466634201763966,-29.655717240616696,0.0255928022385028
589,590,    P-2418,   2023/01/30 06:54:35,           1-25,23,-30.467,-56.691,-433.985,-0.126,20121.0,       0,    1,SLAP,                               T1V28-ID2,                 H2O, 1675079982.48,         0.209,         0.182,         0.837,         0.170,       159.911,         0.002,         0.019,         3.827,        94.956,        26.915,         0.968,        56.090,         0.868,         0.425,        0.0000,        0.0000,    0,"    
21.85",        41.438,1,25,3,WassenaarRS,0,1,-55.50135961953165,-29.721486012347608,-0.022776215135106526
