,Line,Analysis,Time Code,Port,Inj Nr,d(17_16)Mean,d(18_16)Mean,d(D_H)Mean,E17_Mean,H2O_Mean,Ignore,Good,SampleName,Identifier 2,Gas Configuration,Timestamp Mean,d(17_16)_SD,d(18_16)_SD,d(D_H)_SD,E17_SD,H2O_SD,d(18_16)_Sl,d(D_H)_Sl,H2O_Sl,baseline_shift,slope_shift,residuals,baseline_curvature,interval,ch4_ppm,h16od_adjust,h16od_shift,n2_flag,Resistance,DAS Temp,Tray,Sample,Job,Method,Error Code,Pulse Good,d18O_amended,d17O_amended,E17O_amended
336,337,    P-2407,   2023/01/28 16:48:07,           1-14,1,-5.499,-10.736,-68.583,0.186,16892.0,      -1,    1,SeatW,                               T1V14-ID2,                 H2O, 1674942794.30,         0.198,         0.167,         0.391,         0.147,       142.170,         0.000,        -0.000,         3.447,        81.549,        21.144,         0.832,        49.715,         0.868,        -0.048,       -0.0000,        0.0000,    0,"    
21.76",        41.500,1,14,2,WassenaarRS,0,1,-9.906886090565827,-5.2123114961747286,0.030975934144758632
337,338,    P-2407,   2023/01/28 16:57:07,           1-14,2,-5.274,-10.317,-67.0,0.188,15736.0,      -1,    1,SeatW,                               T1V14-ID2,                 H2O, 1674943335.15,         0.226,         0.184,         0.389,         0.159,       136.640,        -0.000,         0.000,         3.350,        76.710,        19.774,         0.760,        45.960,         0.869,        -0.105,       -0.0000,        0.0000,    0,"    
21.71",        41.625,1,14,2,WassenaarRS,0,1,-9.49117323214701,-4.991446217973901,0.031327674567552144
338,339,    P-2407,   2023/01/28 17:06:07,           1-14,3,-5.542,-10.822,-69.993,0.187,15550.0,      -1,    1,SeatW,                               T1V14-ID2,                 H2O, 1674943874.45,         0.206,         0.183,         0.408,         0.151,       129.565,         0.000,         0.002,         3.180,        75.878,        19.674,         0.747,        45.440,         0.868,        -0.047,       -0.0000,       -0.0000,    0,"    
21.80",        42.000,1,14,2,WassenaarRS,0,1,-9.992211402794986,-5.254521304897554,0.034048576026530775
339,340,    P-2407,   2023/01/28 17:15:07,           1-14,4,-5.584,-10.867,-70.437,0.169,17071.0,       0,    1,SeatW,                               T1V14-ID2,                 H2O, 1674944415.28,         0.231,         0.191,         0.410,         0.166,       133.117,         0.001,         0.001,         3.225,        82.216,        21.464,         0.842,        50.419,         0.868,         0.052,       -0.0000,       -0.0000,    0,"    
21.87",        41.938,1,14,2,WassenaarRS,0,1,-10.036858368496292,-5.295749490161708,0.0164138178004114
340,341,    P-2407,   2023/01/28 17:24:07,           1-14,5,-5.573,-10.848,-70.62,0.171,18409.0,       0,    1,SeatW,                               T1V14-ID2,                 H2O, 1674944954.50,         0.228,         0.185,         0.413,         0.163,       136.115,         0.001,        -0.001,         3.294,        88.014,        23.005,         0.916,        54.034,         0.869,        -0.013,        0.0000,        0.0000,    0,"    
21.78",        41.688,1,14,2,WassenaarRS,0,1,-10.018007427422408,-5.284951632116336,0.017214990276850806
341,342,    P-2407,   2023/01/28 17:33:06,           1-14,6,-5.593,-10.877,-70.661,0.166,18657.0,       0,    1,SeatW,                               T1V14-ID2,                 H2O, 1674945494.26,         0.206,         0.175,         0.374,         0.146,       142.955,         0.001,        -0.000,         3.439,        89.019,        23.125,         0.945,        55.628,         0.869,         0.050,       -0.0000,        0.0000,    0,"    
21.83",        41.375,1,14,2,WassenaarRS,0,1,-10.046779916429914,-5.304584101289742,0.012823848019144712
342,343,    P-2407,   2023/01/28 17:42:06,           1-14,7,-5.547,-10.852,-70.708,0.199,19266.0,       0,    1,SeatW,                               T1V14-ID2,                 H2O, 1674946033.76,         0.197,         0.164,         0.348,         0.148,       141.000,         0.001,         0.001,         3.389,        91.692,        23.944,         0.975,        57.004,         0.870,         0.048,        0.0000,       -0.0000,    0,"    
21.86",        41.750,1,14,2,WassenaarRS,0,1,-10.021976046595857,-5.259429422190905,0.044989110967391
343,344,    P-2407,   2023/01/28 17:51:06,           1-14,8,-5.563,-10.848,-70.648,0.18,19923.0,       0,    1,SeatW,                               T1V14-ID2,                 H2O, 1674946573.87,         0.202,         0.167,         0.357,         0.150,       142.632,         0.000,         0.001,         3.405,        94.500,        24.656,         1.027,        59.224,         0.870,         0.111,       -0.0000,        0.0000,    0,"    
21.67",        41.750,1,14,2,WassenaarRS,0,1,-10.018007427422408,-5.275135397529631,0.027083330127384286
344,345,    P-2407,   2023/01/28 18:00:06,           1-14,9,-5.562,-10.855,-70.813,0.185,20042.0,       0,    1,SeatW,                               T1V14-ID2,                 H2O, 1674947114.35,         0.210,         0.181,         0.371,         0.148,       145.281,         0.001,         0.000,         3.472,        95.087,        24.827,         1.026,        59.169,         0.870,         0.006,        0.0000,        0.0000,    0,"    
21.74",        41.500,1,14,2,WassenaarRS,0,1,-10.024952510975943,-5.274153774070961,0.03177428368645163
345,346,    P-2407,   2023/01/28 18:09:07,           1-14,10,-5.576,-10.874,-70.781,0.181,19984.0,       0,    1,SeatW,                               T1V14-ID2,                 H2O, 1674947654.15,         0.221,         0.181,         0.339,         0.160,       149.449,         0.001,        -0.001,         3.566,        94.806,        24.860,         1.017,        58.794,         0.871,         0.063,        0.0000,        0.0000,    0,"    
21.67",        41.250,1,14,2,WassenaarRS,0,1,-10.043803452049827,-5.287896502492345,0.02801277863522511
