  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(17_16)Mean,  d(18_16)Mean,    d(D_H)Mean,      E17_Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(17_16)_SD,   d(18_16)_SD,     d(D_H)_SD,        E17_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,Resistance,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code,Pulse Good
1,    P-2599,   2023/02/22 15:53:42,           1-01,1,-1.98,-4.176,-21.624,0.227,23844,-1,0,                                 DummyKD,                                T1V1-ID2,                 H2O,1677099530,0.321,0.47,2.344,0.161,470.775,-0.01,-0.054,11.044,112.552,28.534,1.309,72.265,0.873,0.243,0,0,0,"    
21.86",40.938,1,1,1,WassenaarRS,0,1
2,    P-2599,   2023/02/22 16:02:42,           1-01,2,-1.385,-3.011,-15.309,0.206,22332,-1,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677100069,0.267,0.328,1.798,0.165,333.127,-0.006,-0.041,7.865,105.399,26.928,1.2,67.27,0.873,0.1,0,0,0,"    
21.79",40.75,1,1,1,WassenaarRS,0,1
3,    P-2599,   2023/02/22 16:11:42,           1-01,3,-0.923,-2.176,-10.842,0.227,21596,-1,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677100610,0.222,0.26,1.591,0.154,282.974,-0.005,-0.037,6.726,102.098,26.001,1.144,65.016,0.872,0.004,0,0,0,"    
21.78",40.5,1,1,1,WassenaarRS,0,1
4,    P-2599,   2023/02/22 16:20:42,           1-01,4,-0.735,-1.776,-8.374,0.203,21338,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677101150,0.231,0.256,1.462,0.148,261.597,-0.004,-0.034,6.214,100.826,25.699,1.135,64.647,0.872,0.07,0,0,0,"    
21.75",40.438,1,1,1,WassenaarRS,0,1
5,    P-2599,   2023/02/22 16:29:42,           1-01,5,-0.56,-1.516,-6.688,0.241,21330,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677101689,0.219,0.219,1.258,0.155,240.029,-0.003,-0.029,5.7,100.794,25.904,1.118,63.662,0.872,-0.06,0,0,0,"    
21.69",41.062,1,1,1,WassenaarRS,0,1
6,    P-2599,   2023/02/22 16:38:41,           1-01,6,-0.439,-1.264,-5.185,0.228,21516,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677102229,0.235,0.219,1.084,0.157,225.021,-0.003,-0.024,5.341,101.597,26.035,1.136,64.641,0.872,0.011,0,0,0,"    
21.73",41.25,1,1,1,WassenaarRS,0,1
7,    P-2599,   2023/02/22 16:47:41,           1-01,7,-0.377,-1.129,-4.123,0.219,21066,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677102768,0.224,0.212,1.089,0.159,213.579,-0.003,-0.024,5.099,99.568,25.406,1.119,63.478,0.872,0.019,0,0,0,"    
21.81",41,1,1,1,WassenaarRS,0,1
8,    P-2599,   2023/02/22 16:56:41,           1-01,8,-0.351,-1.064,-3.518,0.211,21000,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677103308,0.237,0.227,1.013,0.162,206.524,-0.003,-0.022,4.908,99.26,25.403,1.104,63.126,0.871,0.005,0,0,0,"    
21.83",40.75,1,1,1,WassenaarRS,0,1
9,    P-2599,   2023/02/22 17:05:40,           1-01,9,-0.254,-0.928,-2.604,0.236,21299,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677103848,0.23,0.216,0.973,0.154,205.528,-0.002,-0.021,4.877,100.601,25.737,1.124,63.76,0.872,-0.033,0,0,0,"    
21.70",40.562,1,1,1,WassenaarRS,0,1
10,    P-2599,   2023/02/22 17:14:40,           1-01,10,-0.254,-0.921,-2.369,0.232,20985,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677104388,0.224,0.202,0.926,0.156,202.697,-0.002,-0.02,4.816,99.194,25.374,1.099,62.897,0.871,-0.052,0,0,0,"    
21.66",40.812,1,1,1,WassenaarRS,0,1
11,    P-2599,   2023/02/22 17:23:40,           1-01,11,-0.313,-0.915,-1.805,0.17,20927,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677104928,0.204,0.179,0.89,0.149,189.898,-0.002,-0.02,4.538,98.772,25.415,1.106,63.16,0.871,0.1,0,0,0,"    
21.83",41.375,1,1,1,WassenaarRS,0,1
12,    P-2599,   2023/02/22 17:32:40,           1-01,12,-0.214,-0.822,-1.52,0.22,20786,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677105468,0.228,0.194,0.86,0.161,189.223,-0.002,-0.018,4.49,98.228,25.148,1.09,62.718,0.872,0.02,0,0,0,"    
21.77",41.375,1,1,1,WassenaarRS,0,1
13,    P-2599,   2023/02/22 17:41:40,           1-01,13,-0.222,-0.816,-1.226,0.209,20566,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677106008,0.23,0.204,0.823,0.16,185.813,-0.002,-0.018,4.408,97.222,24.908,1.076,61.95,0.872,-0.015,0,0,0,"    
21.69",41,1,1,1,WassenaarRS,0,1
14,    P-2599,   2023/02/22 17:50:39,           1-01,14,-0.2,-0.779,-0.879,0.211,20552,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677106546,0.23,0.206,0.795,0.158,189.737,-0.002,-0.017,4.499,97.163,24.961,1.075,61.597,0.872,-0.047,0,0,0,"    
21.71",40.562,1,1,1,WassenaarRS,0,1
15,    P-2599,   2023/02/22 17:59:39,           1-01,15,-0.194,-0.784,-0.771,0.22,20487,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677107087,0.21,0.178,0.827,0.153,182.35,-0.001,-0.018,4.356,96.888,24.886,1.067,61.456,0.871,0.001,0,0,0,"    
21.76",40.75,1,1,1,WassenaarRS,0,1
16,    P-2599,   2023/02/22 18:08:38,           1-01,16,-0.162,-0.748,-0.565,0.232,20624,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677107626,0.205,0.193,0.784,0.15,176.731,-0.001,-0.017,4.222,97.481,25.083,1.075,61.817,0.871,0.021,0,0,0,"    
21.62",41.312,1,1,1,WassenaarRS,0,1
17,    P-2599,   2023/02/22 18:17:38,           1-01,17,-0.118,-0.686,-0.302,0.245,20622,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677108166,0.237,0.196,0.737,0.166,179.103,-0.001,-0.015,4.249,97.536,24.941,1.082,61.788,0.872,-0.058,0,0,0,"    
21.83",41.188,1,1,1,WassenaarRS,0,1
18,    P-2599,   2023/02/22 18:26:38,           1-01,18,-0.164,-0.688,-0.141,0.2,20292,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677108705,0.228,0.203,0.733,0.156,176.261,-0.002,-0.015,4.184,96.023,24.762,1.05,60.5,0.871,-0.045,0,0,0,"    
21.84",40.812,1,1,1,WassenaarRS,0,1
19,    P-2599,   2023/02/22 18:35:38,           1-01,19,-0.147,-0.665,0.043,0.204,20300,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677109245,0.199,0.178,0.718,0.145,178.309,-0.001,-0.014,4.256,96.032,24.624,1.06,61.026,0.872,-0.046,0,0,0,"    
21.84",40.5,1,1,1,WassenaarRS,0,1
20,    P-2599,   2023/02/22 18:44:37,           1-01,20,-0.171,-0.695,0.128,0.196,20366,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677109785,0.219,0.184,0.65,0.154,174.619,-0.001,-0.013,4.168,96.249,24.771,1.07,61.471,0.871,0.097,0,0,0,"    
21.77",41.062,1,1,1,WassenaarRS,0,1
21,    P-2599,   2023/02/22 18:53:37,           1-01,21,-0.112,-0.643,0.335,0.228,20535,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677110325,0.23,0.212,0.677,0.158,168.364,-0.001,-0.014,4.041,97.035,24.993,1.075,61.557,0.871,-0.07,0,0,0,"    
21.83",41.375,1,1,1,WassenaarRS,0,1
22,    P-2599,   2023/02/22 19:02:38,           1-01,22,-0.144,-0.664,0.503,0.207,20389,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677110865,0.233,0.199,0.688,0.169,170.624,-0.001,-0.014,4.043,96.349,24.799,1.065,61.327,0.872,-0.01,0,0,0,"    
21.73",41,1,1,1,WassenaarRS,0,1
23,    P-2599,   2023/02/22 19:11:37,           1-01,23,-0.153,-0.656,0.572,0.194,20418,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677111405,0.22,0.181,0.647,0.162,172.624,-0.001,-0.013,4.11,96.506,24.853,1.065,61.117,0.873,-0.042,0,0,0,"    
21.68",40.688,1,1,1,WassenaarRS,0,1
24,    P-2599,   2023/02/22 19:20:36,           1-01,24,-0.111,-0.616,0.698,0.215,20495,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677111943,0.226,0.205,0.681,0.16,173.633,-0.001,-0.014,4.119,96.794,24.99,1.069,61.56,0.872,0.031,0,0,0,"    
21.64",40.875,1,1,1,WassenaarRS,0,1
25,    P-2599,   2023/02/22 19:29:37,           1-01,25,-0.118,-0.637,0.737,0.219,20624,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677112484,0.23,0.175,0.692,0.169,166.001,0,-0.014,3.958,97.359,25.039,1.087,62.105,0.872,0.028,0,0,0,"    
21.72",41.375,1,1,1,WassenaarRS,0,1
26,    P-2599,   2023/02/22 19:38:37,           1-01,26,-0.103,-0.586,0.902,0.206,20550,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677113024,0.221,0.182,0.667,0.157,166.12,-0.001,-0.013,3.961,97.044,25.044,1.073,61.655,0.872,0.014,0,0,0,"    
21.70",41.25,1,1,1,WassenaarRS,0,1
27,    P-2599,   2023/02/22 19:47:37,           1-01,27,-0.1,-0.592,0.996,0.213,20477,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1677113564,0.218,0.179,0.625,0.165,166.216,-0.001,-0.012,3.94,96.703,25.048,1.069,61.232,0.872,0.048,0,0,0,"    
21.64",40.875,1,1,1,WassenaarRS,0,1
