,Line,Analysis,Time Code,Port,Inj Nr,d(17_16)Mean,d(18_16)Mean,d(D_H)Mean,E17_Mean,H2O_Mean,Ignore,Good,SampleName,Identifier 2,Gas Configuration,Timestamp Mean,d(17_16)_SD,d(18_16)_SD,d(D_H)_SD,E17_SD,H2O_SD,d(18_16)_Sl,d(D_H)_Sl,H2O_Sl,baseline_shift,slope_shift,residuals,baseline_curvature,interval,ch4_ppm,h16od_adjust,h16od_shift,n2_flag,Resistance,DAS Temp,Tray,Sample,Job,Method,Error Code,Pulse Good,d18O_amended,d17O_amended,E17O_amended
45,46,    P-2392,   2023/01/26 20:51:38,           1-02,1,0.833,1.107,0.569,0.249,20801.0,      -1,    1,SuperBoil,                                T1V2-ID2,                 H2O, 1674784604.95,         0.231,         0.188,         0.469,         0.165,       161.022,        -0.000,        -0.006,         3.818,        98.465,        25.231,         1.094,        62.434,         0.871,        -0.002,       -0.0000,       -0.0000,    0,"    
21.73",        41.500,1,2,2,WassenaarRS,0,1,1.843203127224235,1.0033282441259144,0.03050980799196068
46,47,    P-2392,   2023/01/26 21:00:38,           1-02,2,0.771,1.02,-0.183,0.232,21154.0,      -1,    1,SuperBoil,                                T1V2-ID2,                 H2O, 1674785145.83,         0.228,         0.172,         0.434,         0.167,       168.306,        -0.000,        -0.004,         3.996,       100.003,        25.563,         1.122,        63.890,         0.870,         0.028,       -0.0000,       -0.0000,    0,"    
21.76",        40.812,1,2,2,WassenaarRS,0,1,1.7568856602017124,0.9424675896883528,0.015202039068067497
47,48,    P-2392,   2023/01/26 21:09:38,           1-02,3,0.824,1.118,0.17,0.234,20174.0,      -1,    1,SuperBoil,                                T1V2-ID2,                 H2O, 1674785685.92,         0.215,         0.191,         0.458,         0.162,       164.927,        -0.000,        -0.005,         3.940,        95.738,        24.562,         1.047,        60.281,         0.869,        -0.067,        0.0000,       -0.0000,    0,"    
21.79",        40.625,1,2,2,WassenaarRS,0,1,1.8541168299512205,0.9944936329978811,0.015932211133057983
48,49,    P-2392,   2023/01/26 21:18:38,           1-02,4,0.827,1.146,0.289,0.222,20303.0,       0,    1,SuperBoil,                                T1V2-ID2,                 H2O, 1674786226.21,         0.220,         0.190,         0.412,         0.155,       164.740,         0.000,        -0.005,         3.936,        96.290,        24.651,         1.058,        60.770,         0.870,        -0.064,        0.0000,        0.0000,    0,"    
21.65",        41.250,1,2,2,WassenaarRS,0,1,1.8818971641653657,0.9974385033738922,0.004233483839851004
49,50,    P-2392,   2023/01/26 21:27:38,           1-02,5,0.812,1.119,0.331,0.221,20193.0,       0,    1,SuperBoil,                                T1V2-ID2,                 H2O, 1674786765.65,         0.211,         0.184,         0.440,         0.156,       159.262,         0.000,        -0.004,         3.779,        95.727,        24.442,         1.066,        61.140,         0.870,         0.033,       -0.0000,        0.0000,    0,"    
21.72",        41.750,1,2,2,WassenaarRS,0,1,1.8551089847445827,0.9827141514938371,0.0036414753927839216
50,51,    P-2392,   2023/01/26 21:36:38,           1-02,6,0.793,1.147,0.334,0.188,20114.0,       0,    1,SuperBoil,                                T1V2-ID2,                 H2O, 1674787305.49,         0.236,         0.202,         0.447,         0.164,       156.344,        -0.001,        -0.006,         3.733,        95.396,        24.564,         1.041,        60.145,         0.870,        -0.067,        0.0000,        0.0000,    0,"    
21.81",        41.250,1,2,2,WassenaarRS,0,1,1.8828893189587284,0.9640633057791004,-0.02963188655148996
51,52,    P-2392,   2023/01/26 21:45:38,           1-02,7,0.854,1.188,0.414,0.227,20081.0,       0,    1,SuperBoil,                                T1V2-ID2,                 H2O, 1674787846.37,         0.202,         0.179,         0.458,         0.145,       163.702,        -0.001,        -0.005,         3.938,        95.270,        24.374,         1.047,        60.414,         0.870,        -0.036,        0.0000,        0.0000,    0,"    
21.72",        40.625,1,2,2,WassenaarRS,0,1,1.9235676654865834,1.0239423367579916,0.00875031686132166
52,53,    P-2392,   2023/01/26 21:54:38,           1-02,8,0.844,1.172,0.33,0.226,20174.0,       0,    1,SuperBoil,                                T1V2-ID2,                 H2O, 1674788386.23,         0.220,         0.174,         0.436,         0.161,       158.539,        -0.000,        -0.006,         3.790,        95.687,        24.361,         1.058,        60.938,         0.869,         0.003,       -0.0000,        0.0000,    0,"    
21.70",        41.125,1,2,2,WassenaarRS,0,1,1.9076931887927864,1.0141261021712882,0.007309773279027709
53,54,    P-2392,   2023/01/26 22:03:39,           1-02,9,0.844,1.174,0.37,0.224,20248.0,       0,    1,SuperBoil,                                T1V2-ID2,                 H2O, 1674788926.63,         0.236,         0.179,         0.445,         0.172,       157.565,         0.000,        -0.006,         3.765,        95.975,        24.690,         1.052,        60.743,         0.870,         0.001,        0.0000,       -0.0000,    0,"    
21.76",        41.562,1,2,2,WassenaarRS,0,1,1.9096774983795108,1.0141261021712882,0.006264053766668498
54,55,    P-2392,   2023/01/26 22:12:40,           1-02,10,0.858,1.182,0.429,0.234,20096.0,       0,    1,SuperBoil,                                T1V2-ID2,                 H2O, 1674789467.75,         0.209,         0.185,         0.433,         0.149,       155.672,         0.000,        -0.005,         3.721,        95.335,        24.450,         1.047,        60.253,         0.870,        -0.004,        0.0000,        0.0000,    0,"    
21.80",        41.000,1,2,2,WassenaarRS,0,1,1.9176147367264096,1.027868830592673,0.015809907870331985
