,Line,Analysis,Time Code,Port,Inj Nr,d(17_16)Mean,d(18_16)Mean,d(D_H)Mean,E17_Mean,H2O_Mean,Ignore,Good,SampleName,Identifier 2,Gas Configuration,Timestamp Mean,d(17_16)_SD,d(18_16)_SD,d(D_H)_SD,E17_SD,H2O_SD,d(18_16)_Sl,d(D_H)_Sl,H2O_Sl,baseline_shift,slope_shift,residuals,baseline_curvature,interval,ch4_ppm,h16od_adjust,h16od_shift,n2_flag,Resistance,DAS Temp,Tray,Sample,Job,Method,Error Code,Pulse Good,d18O_amended,d17O_amended,E17O_amended
45,46,    P-2421,   2023/01/31 02:03:37,           1-02,1,0.747,0.925,-0.467,0.259,21220.0,-1,1,SuperBoil,                                T1V2-ID2,                 H2O,1675148925,0.222,0.189,0.485,0.155,166.893,-0.001,-0.008,3.964,100.259,25.644,1.138,64.065,0.87,0.089,0,0,0,"    
21.86",41.125,1,2,2,WassenaarRS,0,1,1.8172527438468662,0.9853939531557859,0.026270103283638435
46,47,    P-2421,   2023/01/31 02:12:38,           1-02,2,0.677,0.804,-0.993,0.252,21889.0,-1,1,SuperBoil,                                T1V2-ID2,                 H2O,1675149465,0.208,0.188,0.501,0.151,168.064,-0.001,-0.008,3.962,103.099,26.416,1.197,66.554,0.871,0.297,0,0,0,"    
21.69",40.938,1,2,2,WassenaarRS,0,1,1.696809330510137,0.9164590311768311,0.020883252497408522
47,48,    P-2421,   2023/01/31 02:21:37,           1-02,3,0.743,0.929,-0.495,0.253,21009.0,-1,1,SuperBoil,                                T1V2-ID2,                 H2O,1675150005,0.228,0.215,0.435,0.148,166.259,-0.002,-0.006,3.927,99.251,25.636,1.115,62.962,0.87,0.117,0,0,0,"    
21.76",41.188,1,2,2,WassenaarRS,0,1,1.8212343442877497,0.9814548147569885,0.020236367514181564
48,49,    P-2421,   2023/01/31 02:30:38,           1-02,4,0.744,0.99,-0.335,0.221,20648.0,0,1,SuperBoil,                                T1V2-ID2,                 H2O,1675150545,0.204,0.176,0.54,0.145,159.221,0,-0.009,3.809,97.627,25.092,1.107,62.248,0.87,0.167,0,0,0,"    
21.68",41.438,1,2,2,WassenaarRS,0,1,1.8819537510112245,0.9824395993566879,-0.01078040859327778
49,50,    P-2421,   2023/01/31 02:39:38,           1-02,5,0.759,0.993,-0.334,0.235,20534.0,0,1,SuperBoil,                                T1V2-ID2,                 H2O,1675151086,0.21,0.171,0.512,0.161,161.296,-0.001,-0.008,3.825,97.134,24.93,1.1,61.939,0.872,0.159,0,0,0,"    
21.79",41.625,1,2,2,WassenaarRS,0,1,1.8849399513418872,0.9972113683521782,0.0024030036867057625
50,51,    P-2421,   2023/01/31 02:48:37,           1-02,6,0.776,0.991,-0.426,0.253,20517.0,0,1,SuperBoil,                                T1V2-ID2,                 H2O,1675151625,0.201,0.177,0.543,0.147,156.119,-0.001,-0.009,3.73,97.071,24.977,1.091,61.759,0.871,0.097,0,0,0,"    
21.81",41.875,1,2,2,WassenaarRS,0,1,1.8829491511214456,1.0139527065470673,0.02017668995088151
51,52,    P-2421,   2023/01/31 02:57:37,           1-02,7,0.788,1.022,-0.447,0.248,20368.0,0,1,SuperBoil,                                T1V2-ID2,                 H2O,1675152164,0.204,0.186,0.486,0.142,156.72,-0.001,-0.008,3.745,96.475,24.697,1.082,61.407,0.871,0.153,0,0,0,"    
21.83",41.5,1,2,2,WassenaarRS,0,1,1.9138065545382934,1.0257701217434594,0.01572022740810919
52,53,    P-2421,   2023/01/31 03:06:36,           1-02,8,0.776,0.998,-0.257,0.249,20640.0,0,1,SuperBoil,                                T1V2-ID2,                 H2O,1675152704,0.217,0.189,0.46,0.15,160.11,-0.001,-0.007,3.824,97.579,25.078,1.105,62.54,0.871,0.212,0,0,0,"    
21.73",40.938,1,2,2,WassenaarRS,0,1,1.8899169518929917,1.0139527065470673,0.01650461826093197
53,54,    P-2421,   2023/01/31 03:15:37,           1-02,9,0.786,1.016,-0.312,0.249,20524.0,0,1,SuperBoil,                                T1V2-ID2,                 H2O,1675153245,0.211,0.185,0.466,0.145,162.104,-0.001,-0.006,3.872,97.097,24.976,1.091,61.789,0.87,0.11,0,0,0,"    
21.71",41.312,1,2,2,WassenaarRS,0,1,1.9078341538769679,1.0238005525440608,0.016900087935542984
54,55,    P-2421,   2023/01/31 03:24:37,           1-02,10,0.755,1.017,-0.187,0.218,20503.0,0,1,SuperBoil,                                T1V2-ID2,                 H2O,1675153784,0.216,0.188,0.535,0.149,157.732,-0.001,-0.008,3.745,96.937,24.948,1.098,62.119,0.87,0.205,0,0,0,"    
21.79",41.688,1,2,2,WassenaarRS,0,1,1.9088295539871887,0.9932722299533807,-0.0141220469576403
167,168,    P-2428,   2023/01/31 20:28:24,           1-02,1,1.859,3.045,9.652,0.252,21224.0,-1,1,SuperBoil,                                T1V2-ID2,                 H2O,1675215211,0.204,0.173,0.44,0.15,156.052,0,-0.006,3.699,100.168,25.536,1.147,64.525,0.872,0.155,0,0,0,"    
21.75",41.625,1,2,3,WassenaarRS,0,1,3.927500977515175,2.0804744280214678,0.008654360409511064
