,Line,Analysis,Time Code,Port,Inj Nr,d(17_16)Mean,d(18_16)Mean,d(D_H)Mean,E17_Mean,H2O_Mean,Ignore,Good,SampleName,Identifier 2,Gas Configuration,Timestamp Mean,d(17_16)_SD,d(18_16)_SD,d(D_H)_SD,E17_SD,H2O_SD,d(18_16)_Sl,d(D_H)_Sl,H2O_Sl,baseline_shift,slope_shift,residuals,baseline_curvature,interval,ch4_ppm,h16od_adjust,h16od_shift,n2_flag,Resistance,DAS Temp,Tray,Sample,Job,Method,Error Code,Pulse Good,d18O_amended,d17O_amended,E17O_amended
65,66,    P-2394,   2023/01/26 23:53:39,           1-04,1,2.993,5.235,15.733,0.232,20625.0,      -1,    1,SupremeBoil,                                T1V4-ID2,                 H2O, 1674795526.83,         0.213,         0.201,         0.487,         0.154,       157.999,        -0.000,        -0.005,         3.774,        97.692,        24.875,         1.084,        62.212,         0.870,        -0.041,       -0.0000,        0.0000,    0,"    
21.73",        42.000,1,4,2,WassenaarRS,0,1,5.9388181142239285,3.123634914853866,-0.0076549989891572245
66,67,    P-2394,   2023/01/27 00:02:39,           1-04,2,2.903,5.107,15.61,0.209,20508.0,      -1,    1,SupremeBoil,                                T1V4-ID2,                 H2O, 1674796067.15,         0.231,         0.195,         0.447,         0.156,       153.183,        -0.001,        -0.005,         3.654,        97.125,        24.707,         1.087,        62.076,         0.871,         0.035,       -0.0000,        0.0000,    0,"    
21.77",        42.062,1,4,2,WassenaarRS,0,1,5.81182230067355,3.035288803573535,-0.029067758773622998
67,68,    P-2394,   2023/01/27 00:11:38,           1-04,3,3.025,5.309,16.513,0.225,20228.0,      -1,    1,SupremeBoil,                                T1V4-ID2,                 H2O, 1674796605.99,         0.213,         0.177,         0.487,         0.156,       158.440,         0.000,        -0.006,         3.765,        95.923,        24.421,         1.056,        61.031,         0.869,        -0.078,        0.0000,        0.0000,    0,"    
21.76",        41.062,1,4,2,WassenaarRS,0,1,6.012237568932741,3.1550468655313173,-0.014876556439426647
68,69,    P-2394,   2023/01/27 00:20:38,           1-04,4,3.032,5.329,16.577,0.221,20022.0,       0,    1,SupremeBoil,                                T1V4-ID2,                 H2O, 1674797145.33,         0.221,         0.205,         0.458,         0.148,       160.104,        -0.000,        -0.006,         3.800,        94.970,        24.210,         1.047,        60.517,         0.869,        -0.025,        0.0000,       -0.0000,    0,"    
21.76",        41.188,1,4,2,WassenaarRS,0,1,6.032080664799987,3.1619182297420094,-0.018441264199857255
69,70,    P-2394,   2023/01/27 00:29:37,           1-04,5,3.038,5.35,16.782,0.216,20688.0,       0,    1,SupremeBoil,                                T1V4-ID2,                 H2O, 1674797684.53,         0.193,         0.176,         0.434,         0.146,       156.531,        -0.001,        -0.006,         3.739,        97.846,        24.960,         1.099,        62.810,         0.870,         0.061,       -0.0000,        0.0000,    0,"    
21.71",        41.750,1,4,2,WassenaarRS,0,1,6.052915915460596,3.1678079704940316,-0.023505042868345427
70,71,    P-2394,   2023/01/27 00:38:37,           1-04,6,3.065,5.377,16.924,0.228,20631.0,       0,    1,SupremeBoil,                                T1V4-ID2,                 H2O, 1674798223.91,         0.214,         0.189,         0.439,         0.145,       162.434,        -0.001,        -0.005,         3.855,        97.660,        24.798,         1.096,        62.517,         0.871,        -0.025,       -0.0000,        0.0000,    0,"    
21.79",        41.312,1,4,2,WassenaarRS,0,1,6.079704094881379,3.194311803878131,-0.011144125669841909
71,72,    P-2394,   2023/01/27 00:47:36,           1-04,7,3.057,5.381,16.869,0.219,20498.0,       0,    1,SupremeBoil,                                T1V4-ID2,                 H2O, 1674798763.11,         0.220,         0.178,         0.437,         0.160,       158.235,        -0.000,        -0.005,         3.779,        97.077,        24.521,         1.095,        62.413,         0.870,         0.045,       -0.0000,        0.0000,    0,"    
21.73",        41.125,1,4,2,WassenaarRS,0,1,6.083672714054829,3.186458816208768,-0.021054903161359828
72,73,    P-2394,   2023/01/27 00:56:36,           1-04,8,3.05,5.36,16.908,0.223,20705.0,       0,    1,SupremeBoil,                                T1V4-ID2,                 H2O, 1674799303.38,         0.216,         0.193,         0.464,         0.147,       160.212,        -0.000,        -0.005,         3.801,        97.955,        24.997,         1.097,        62.686,         0.870,         0.034,        0.0000,        0.0000,    0,"    
21.77",        41.750,1,4,2,WassenaarRS,0,1,6.06283746339422,3.1795874519980756,-0.016969861346620707
73,74,    P-2394,   2023/01/27 01:05:36,           1-04,9,3.067,5.399,16.89,0.219,20587.0,       0,    1,SupremeBoil,                                T1V4-ID2,                 H2O, 1674799843.85,         0.215,         0.173,         0.428,         0.164,       156.708,        -0.001,        -0.006,         3.714,        97.495,        24.852,         1.081,        62.081,         0.871,        -0.055,       -0.0000,        0.0000,    0,"    
21.76",        42.188,1,4,2,WassenaarRS,0,1,6.1015315003353505,3.196275050795472,-0.02064223335731974
74,75,    P-2394,   2023/01/27 01:14:37,           1-04,10,3.13,5.435,16.98,0.263,20657.0,       0,    1,SupremeBoil,                                T1V4-ID2,                 H2O, 1674800384.59,         0.209,         0.171,         0.394,         0.155,       153.231,        -0.000,        -0.005,         3.660,        97.808,        24.879,         1.090,        62.347,         0.870,        -0.032,       -0.0000,       -0.0000,    0,"    
21.76",        41.562,1,4,2,WassenaarRS,0,1,6.1372490728963935,3.2581173286917036,0.022256934008241025
