,Line,Analysis,Time Code,Port,Inj Nr,d(17_16)Mean,d(18_16)Mean,d(D_H)Mean,E17_Mean,H2O_Mean,Ignore,Good,SampleName,Identifier 2,Gas Configuration,Timestamp Mean,d(17_16)_SD,d(18_16)_SD,d(D_H)_SD,E17_SD,H2O_SD,d(18_16)_Sl,d(D_H)_Sl,H2O_Sl,baseline_shift,slope_shift,residuals,baseline_curvature,interval,ch4_ppm,h16od_adjust,h16od_shift,n2_flag,Resistance,DAS Temp,Tray,Sample,Job,Method,Error Code,Pulse Good,d18O_amended,d17O_amended,E17O_amended
65,66,    P-2423,   2023/01/31 05:05:32,           1-04,1,2.948,5.098,15.197,0.259,21357.0,      -1,    1,SupremeBoil,                                T1V4-ID2,                 H2O, 1675159839.69,         0.213,         0.183,         0.495,         0.149,       167.023,        -0.002,        -0.008,         3.963,       100.780,        25.605,         1.162,        65.213,         0.871,         0.236,       -0.0000,       -0.0000,    0,"    
21.82",        41.000,1,4,2,WassenaarRS,0,1,5.971057403798683,3.1529048571855363,0.004601795782645635
66,67,    P-2423,   2023/01/31 05:14:32,           1-04,2,2.819,4.853,14.808,0.259,21425.0,      -1,    1,SupremeBoil,                                T1V4-ID2,                 H2O, 1675160379.64,         0.217,         0.182,         0.525,         0.159,       161.149,        -0.000,        -0.008,         3.822,       101.056,        25.886,         1.158,        64.834,         0.871,         0.158,       -0.0000,       -0.0000,    0,"    
21.75",        41.562,1,4,2,WassenaarRS,0,1,5.727184376794563,3.0258676438243217,0.005972017319686884
67,68,    P-2423,   2023/01/31 05:23:32,           1-04,3,2.959,5.136,15.746,0.25,20815.0,      -1,    1,SupremeBoil,                                T1V4-ID2,                 H2O, 1675160919.98,         0.200,         0.173,         0.539,         0.148,       156.636,        -0.001,        -0.009,         3.739,        98.324,        25.238,         1.119,        63.025,         0.871,         0.193,       -0.0000,        0.0000,    0,"    
21.65",        41.688,1,4,2,WassenaarRS,0,1,6.008882607987077,3.163737487782229,-0.004452469027857564
68,69,    P-2423,   2023/01/31 05:32:32,           1-04,4,3.029,5.247,16.151,0.261,21042.0,       0,    1,SupremeBoil,                                T1V4-ID2,                 H2O, 1675161459.72,         0.205,         0.177,         0.503,         0.141,       159.659,        -0.001,        -0.010,         3.793,        99.454,        25.297,         1.136,        63.608,         0.871,         0.117,        0.0000,        0.0000,    0,"    
21.86",        41.125,1,4,2,WassenaarRS,0,1,6.119372020221597,3.2326724097611828,0.006275917264303654
69,70,    P-2423,   2023/01/31 05:41:32,           1-04,5,3.002,5.187,16.034,0.266,20851.0,       0,    1,SupremeBoil,                                T1V4-ID2,                 H2O, 1675161999.77,         0.196,         0.188,         0.518,         0.145,       162.047,        -0.002,        -0.009,         3.871,        98.574,        25.209,         1.119,        62.810,         0.870,         0.107,       -0.0000,       -0.0000,    0,"    
21.70",        40.875,1,4,2,WassenaarRS,0,1,6.059648013608344,3.2060832255693006,0.011115468499286685
70,71,    P-2423,   2023/01/31 05:50:32,           1-04,6,3.012,5.184,15.871,0.277,20766.0,       0,    1,SupremeBoil,                                T1V4-ID2,                 H2O, 1675162539.18,         0.210,         0.208,         0.476,         0.146,       165.986,        -0.001,        -0.008,         3.922,        98.238,        24.990,         1.113,        62.902,         0.870,         0.132,        0.0000,        0.0000,    0,"    
21.74",        41.375,1,4,2,WassenaarRS,0,1,6.056661813277682,3.215931071566294,0.02249901352149708
71,72,    P-2423,   2023/01/31 05:59:31,           1-04,7,2.992,5.191,16.086,0.254,20791.0,       0,    1,SupremeBoil,                                T1V4-ID2,                 H2O, 1675163079.58,         0.212,         0.185,         0.515,         0.153,       160.037,        -0.001,        -0.008,         3.826,        98.266,        25.114,         1.118,        62.962,         0.870,         0.149,        0.0000,        0.0000,    0,"    
21.75",        41.750,1,4,2,WassenaarRS,0,1,6.063629614049228,3.196235379572307,-0.0007905720871628219
72,73,    P-2423,   2023/01/31 06:08:31,           1-04,8,2.994,5.22,16.184,0.241,20463.0,       0,    1,SupremeBoil,                                T1V4-ID2,                 H2O, 1675163618.90,         0.219,         0.186,         0.545,         0.158,       156.957,        -0.001,        -0.010,         3.722,        96.819,        24.741,         1.094,        62.136,         0.871,         0.197,        0.0000,       -0.0000,    0,"    
21.74",        41.750,1,4,2,WassenaarRS,0,1,6.092496217245634,3.198204948771706,-0.013976766918740502
73,74,    P-2423,   2023/01/31 06:17:32,           1-04,9,3.009,5.222,16.242,0.254,20539.0,       0,    1,SupremeBoil,                                T1V4-ID2,                 H2O, 1675164159.83,         0.198,         0.170,         0.512,         0.144,       161.291,        -0.001,        -0.008,         3.861,        97.158,        24.704,         1.106,        62.572,         0.870,         0.152,        0.0000,       -0.0000,    0,"    
21.84",        41.125,1,4,2,WassenaarRS,0,1,6.094487017466076,3.2129767177671957,-0.0002969750450136921
74,75,    P-2423,   2023/01/31 06:26:31,           1-04,10,3.006,5.231,16.239,0.247,20508.0,       0,    1,SupremeBoil,                                T1V4-ID2,                 H2O, 1675164698.84,         0.215,         0.201,         0.491,         0.143,       162.072,        -0.002,        -0.008,         3.852,        97.023,        24.777,         1.102,        62.170,         0.869,         0.146,       -0.0000,        0.0000,    0,"    
21.66",        40.938,1,4,2,WassenaarRS,0,1,6.103445618458064,3.210022363968098,-0.007943338544409873
120,121,    P-2425,   2023/01/31 13:22:25,           1-04,1,3.111,5.371,17.268,0.279,20964.0,      -1,    1,SupremeBoil,                                T1V4-ID2,                 H2O, 1675189652.36,         0.219,         0.182,         0.423,         0.153,       162.987,        -0.001,        -0.005,         3.869,        99.057,        25.299,         1.120,        63.436,         0.871,         0.142,       -0.0000,       -0.0000,    0,"    
21.78",        41.312,1,4,2,WassenaarRS,0,1,6.242801633888989,3.3134247469365286,0.02199432631410314
121,122,    P-2425,   2023/01/31 13:31:25,           1-04,2,2.93,5.023,15.861,0.281,21091.0,      -1,    1,SupremeBoil,                                T1V4-ID2,                 H2O, 1675190192.19,         0.211,         0.186,         0.452,         0.151,       162.088,         0.000,        -0.006,         3.848,        99.641,        25.430,         1.133,        63.532,         0.870,         0.082,        0.0000,       -0.0000,    0,"    
21.72",        41.250,1,4,2,WassenaarRS,0,1,5.896402395532116,3.1351787343909487,0.026116559208355206
122,123,    P-2425,   2023/01/31 13:40:24,           1-04,3,3.272,5.717,17.435,0.257,22126.0,      -1,    1,SupremeBoil,                                T1V4-ID2,                 H2O, 1675190731.54,         0.214,         0.197,         0.424,         0.142,       166.516,        -0.002,        -0.006,         3.930,       104.177,        26.529,         1.210,        67.220,         0.871,         0.172,        0.0000,        0.0000,    0,"    
21.74",        41.125,1,4,2,WassenaarRS,0,1,6.587210072025421,3.4719750674881213,-0.0006799867295868012
123,124,    P-2425,   2023/01/31 13:49:24,           1-04,4,3.077,5.348,16.986,0.256,20838.0,       0,    1,SupremeBoil,                                T1V4-ID2,                 H2O, 1675191272.10,         0.249,         0.205,         0.466,         0.168,       161.873,        -0.001,        -0.006,         3.818,        98.427,        25.129,         1.129,        63.430,         0.870,         0.218,        0.0000,        0.0000,    0,"    
21.60",        41.188,1,4,2,WassenaarRS,0,1,6.219907431353908,3.279942070546751,0.0006349489394206209
124,125,    P-2425,   2023/01/31 13:58:24,           1-04,5,3.084,5.348,17.006,0.263,20852.0,       0,    1,SupremeBoil,                                T1V4-ID2,                 H2O, 1675191812.22,         0.213,         0.178,         0.489,         0.154,       160.225,        -0.001,        -0.007,         3.802,        98.503,        25.144,         1.129,        63.362,         0.871,         0.245,        0.0000,        0.0000,    0,"    
21.58",        41.312,1,4,2,WassenaarRS,0,1,6.219907431353908,3.2868355627446464,0.00750588119527551
125,126,    P-2425,   2023/01/31 14:07:24,           1-04,6,3.102,5.327,16.953,0.292,20657.0,       0,    1,SupremeBoil,                                T1V4-ID2,                 H2O, 1675192352.17,         0.210,         0.179,         0.445,         0.151,       158.591,        -0.001,        -0.006,         3.769,        97.698,        24.964,         1.103,        62.365,         0.870,         0.076,        0.0000,       -0.0000,    0,"    
21.62",        41.312,1,4,2,WassenaarRS,0,1,6.199004029039269,3.3045616855392344,0.036142661546752386
126,127,    P-2425,   2023/01/31 14:16:24,           1-04,7,3.059,5.319,17.016,0.254,20781.0,       0,    1,SupremeBoil,                                T1V4-ID2,                 H2O, 1675192891.83,         0.184,         0.179,         0.480,         0.128,       155.600,        -0.000,        -0.007,         3.710,        98.172,        24.999,         1.129,        63.444,         0.871,         0.226,        0.0000,       -0.0000,    0,"    
21.78",        41.375,1,4,2,WassenaarRS,0,1,6.191040828157503,3.262215947752163,-0.001885810714402858
127,128,    P-2425,   2023/01/31 14:25:24,           1-04,8,3.097,5.341,16.999,0.28,20836.0,       0,    1,SupremeBoil,                                T1V4-ID2,                 H2O, 1675193432.19,         0.214,         0.181,         0.440,         0.162,       157.614,        -0.000,        -0.006,         3.749,        98.473,        25.237,         1.114,        62.784,         0.870,         0.116,       -0.0000,       -0.0000,    0,"    
21.71",        41.375,1,4,2,WassenaarRS,0,1,6.212939630582362,3.299637762540738,0.023922328592294928
128,129,    P-2425,   2023/01/31 14:34:25,           1-04,9,3.085,5.319,16.931,0.279,20810.0,       0,    1,SupremeBoil,                                T1V4-ID2,                 H2O, 1675193972.88,         0.213,         0.188,         0.463,         0.145,       157.440,        -0.001,        -0.007,         3.740,        98.362,        25.063,         1.126,        63.143,         0.871,         0.201,        0.0000,       -0.0000,    0,"    
21.66",        41.375,1,4,2,WassenaarRS,0,1,6.191040828157503,3.2878203473443457,0.023635007735516744
129,130,    P-2425,   2023/01/31 14:43:26,           1-04,10,3.098,5.347,17.055,0.278,20748.0,       0,    1,SupremeBoil,                                T1V4-ID2,                 H2O, 1675194513.22,         0.224,         0.191,         0.487,         0.153,       156.241,        -0.001,        -0.006,         3.726,        98.070,        24.982,         1.122,        63.097,         0.872,         0.177,       -0.0000,       -0.0000,    0,"    
21.78",        41.375,1,4,2,WassenaarRS,0,1,6.218912031243688,3.3006225471404367,0.021769926798394845
