,Line,Analysis,Time Code,Port,Inj Nr,d(17_16)Mean,d(18_16)Mean,d(D_H)Mean,E17_Mean,H2O_Mean,Ignore,Good,SampleName,Identifier 2,Gas Configuration,Timestamp Mean,d(17_16)_SD,d(18_16)_SD,d(D_H)_SD,E17_SD,H2O_SD,d(18_16)_Sl,d(D_H)_Sl,H2O_Sl,baseline_shift,slope_shift,residuals,baseline_curvature,interval,ch4_ppm,h16od_adjust,h16od_shift,n2_flag,Resistance,DAS Temp,Tray,Sample,Job,Method,Error Code,Pulse Good,d18O_amended,d17O_amended,E17O_amended
467,468,    P-2412,   2023/01/29 12:31:20,           1-19,1,-13.421,-25.471,-195.935,0.11,20553.0,      -1,    1,UGSG46.5,                               T1V22-ID2,                 H2O, 1675013788.17,         0.229,         0.179,         0.387,         0.171,       148.169,         0.001,         0.004,         3.534,        97.204,        26.246,         1.026,        59.301,         0.870,         0.095,        0.0000,       -0.0000,    0,"    
21.92",        41.500,1,19,5,WassenaarRS,0,1,-24.526286970759738,-12.988732535761224,0.037507346901302085
468,469,    P-2412,   2023/01/29 12:40:21,           1-19,2,-12.828,-24.364,-187.264,0.113,20370.0,      -1,    1,UGSG46.5,                               T1V22-ID2,                 H2O, 1675014328.85,         0.225,         0.174,         0.430,         0.166,       145.257,         0.000,         0.004,         3.466,        96.404,        25.864,         1.022,        59.176,         0.870,         0.142,        0.0000,        0.0000,    0,"    
21.95",        41.250,1,19,5,WassenaarRS,0,1,-23.42797161450764,-12.406629824769709,0.032939747391312224
469,470,    P-2412,   2023/01/29 12:49:21,           1-19,3,-13.119,-24.866,-191.039,0.09,20379.0,      -1,    1,UGSG46.5,                               T1V22-ID2,                 H2O, 1675014869.16,         0.199,         0.185,         0.402,         0.138,       150.244,         0.001,         0.005,         3.606,        96.403,        25.935,         1.028,        59.198,         0.871,         0.165,        0.0000,       -0.0000,    0,"    
21.93",        41.125,1,19,1,WassenaarRS,0,1,-23.92603332077553,-12.69228225124278,0.013011061445542538
470,471,    P-2412,   2023/01/29 12:58:21,           1-19,4,-13.43,-25.455,-194.514,0.093,19844.0,       0,    1,UGSG46.5,                               T1V22-ID2,                 H2O, 1675015408.73,         0.229,         0.177,         0.426,         0.173,       143.243,         0.001,         0.005,         3.440,        94.111,        25.293,         0.986,        57.277,         0.870,         0.093,        0.0000,        0.0000,    0,"    
21.88",        41.438,1,19,1,WassenaarRS,0,1,-24.51041249406594,-12.997567146889258,0.019964040195592503
471,472,    P-2412,   2023/01/29 13:07:20,           1-19,5,-13.483,-25.549,-194.818,0.091,19902.0,       0,    1,UGSG46.5,                               T1V22-ID2,                 H2O, 1675015946.89,         0.202,         0.171,         0.403,         0.146,       146.260,         0.001,         0.005,         3.471,        94.307,        25.352,         0.993,        57.728,         0.871,         0.197,       -0.0000,        0.0000,    0,"    
21.78",        41.812,1,19,1,WassenaarRS,0,1,-24.603675044642,-13.049593190198788,0.017733814126685843
472,473,    P-2412,   2023/01/29 13:16:19,           1-19,6,-13.449,-25.498,-194.931,0.097,19761.0,       0,    1,UGSG46.5,                               T1V22-ID2,                 H2O, 1675016486.32,         0.193,         0.178,         0.368,         0.140,       142.814,         0.001,         0.005,         3.409,        93.743,        25.257,         0.978,        56.911,         0.870,         0.066,        0.0000,       -0.0000,    0,"    
21.94",        41.625,1,19,1,WassenaarRS,0,1,-24.553075150180522,-13.016217992603995,0.024159786767516067
473,474,    P-2412,   2023/01/29 13:25:19,           1-19,7,-13.442,-25.488,-194.993,0.098,19806.0,       0,    1,UGSG46.5,                               T1V22-ID2,                 H2O, 1675017026.50,         0.213,         0.171,         0.431,         0.163,       143.319,         0.001,         0.005,         3.440,        93.961,        25.292,         0.981,        56.918,         0.871,         0.081,       -0.0000,        0.0000,    0,"    
21.89",        41.375,1,19,1,WassenaarRS,0,1,-24.5431536022469,-13.009346628393303,0.02575133466404722
474,475,    P-2412,   2023/01/29 13:34:18,           1-19,8,-13.429,-25.475,-195.005,0.105,19851.0,       0,    1,UGSG46.5,                               T1V22-ID2,                 H2O, 1675017565.94,         0.204,         0.172,         0.428,         0.152,       147.711,         0.001,         0.005,         3.523,        94.159,        25.361,         0.982,        57.078,         0.871,         0.072,        0.0000,       -0.0000,    0,"    
21.85",        41.375,1,19,1,WassenaarRS,0,1,-24.53025558993319,-12.99658552343059,0.03169910554232125
475,476,    P-2412,   2023/01/29 13:43:18,           1-19,9,-13.47,-25.512,-194.99,0.084,19773.0,       0,    1,UGSG46.5,                               T1V22-ID2,                 H2O, 1675018105.47,         0.228,         0.197,         0.442,         0.157,       141.445,         0.001,         0.007,         3.395,        93.797,        25.247,         0.981,        56.953,         0.870,         0.095,       -0.0000,        0.0000,    0,"    
21.98",        41.875,1,19,1,WassenaarRS,0,1,-24.566965317287597,-13.036832085236073,0.010792286802214335
476,477,    P-2412,   2023/01/29 13:52:18,           1-19,10,-13.409,-25.471,-195.091,0.123,19673.0,       0,    1,UGSG46.5,                               T1V22-ID2,                 H2O, 1675018645.39,         0.228,         0.197,         0.360,         0.163,       138.301,         0.001,         0.003,         3.317,        93.395,        25.203,         0.967,        56.300,         0.871,         0.057,        0.0000,       -0.0000,    0,"    
21.88",        41.750,1,19,1,WassenaarRS,0,1,-24.526286970759738,-12.976953054257182,0.04944177115953785
477,478,    P-2412,   2023/01/29 14:01:18,           1-19,11,-13.469,-25.525,-195.126,0.092,19822.0,       0,    1,UGSG46.5,                               T1V22-ID2,                 H2O, 1675019185.39,         0.201,         0.174,         0.426,         0.142,       144.724,         0.000,         0.005,         3.478,        93.998,        25.239,         0.989,        57.332,         0.870,         0.117,       -0.0000,        0.0000,    0,"    
21.87",        41.500,1,19,1,WassenaarRS,0,1,-24.579863329601302,-13.035850461777402,0.01876859114504903
478,479,    P-2412,   2023/01/29 14:10:17,           1-19,12,-13.419,-25.486,-195.069,0.121,19806.0,       0,    1,UGSG46.5,                               T1V22-ID2,                 H2O, 1675019725.30,         0.213,         0.184,         0.423,         0.148,       144.802,         0.001,         0.005,         3.459,        93.938,        25.203,         0.984,        57.362,         0.869,         0.121,       -0.0000,       -0.0000,    0,"    
21.83",        41.438,1,19,1,WassenaarRS,0,1,-24.541169292660175,-12.986769288843885,0.047551924847454075
