,Line,Analysis,Time Code,Port,Inj Nr,d(17_16)Mean,d(18_16)Mean,d(D_H)Mean,E17_Mean,H2O_Mean,Ignore,Good,SampleName,Identifier 2,Gas Configuration,Timestamp Mean,d(17_16)_SD,d(18_16)_SD,d(D_H)_SD,E17_SD,H2O_SD,d(18_16)_Sl,d(D_H)_Sl,H2O_Sl,baseline_shift,slope_shift,residuals,baseline_curvature,interval,ch4_ppm,h16od_adjust,h16od_shift,n2_flag,Resistance,DAS Temp,Tray,Sample,Job,Method,Error Code,Pulse Good,d18O_amended,d17O_amended,E17O_amended
455,456,    P-2411,   2023/01/29 10:42:29,           1-18,1,-14.169,-26.844,-203.672,0.097,20583.0,      -1,    1,USGS46.25,                               T1V21-ID2,                 H2O, 1675007256.28,         0.216,         0.195,         0.530,         0.154,       145.894,         0.002,         0.009,         3.463,        97.216,        26.274,         1.028,        59.483,         0.869,         0.185,       -0.0000,       -0.0000,    0,"    
21.87",        41.688,1,18,5,WassenaarRS,0,1,-25.888515502046218,-13.72298688293828,0.03116983815491814
456,457,    P-2411,   2023/01/29 10:51:28,           1-18,2,-13.609,-25.754,-198.462,0.074,20569.0,      -1,    1,USGS46.25,                               T1V21-ID2,                 H2O, 1675007795.27,         0.202,         0.174,         0.558,         0.146,       147.173,         0.001,         0.010,         3.512,        97.143,        26.369,         1.023,        59.155,         0.870,         0.154,       -0.0000,        0.0000,    0,"    
21.94",        41.500,1,18,5,WassenaarRS,0,1,-24.80706677728128,-13.173277746082885,0.0025172035219362954
457,458,    P-2411,   2023/01/29 11:00:26,           1-18,3,-14.351,-27.2,-208.638,0.105,19880.0,      -1,    1,USGS46.25,                               T1V21-ID2,                 H2O, 1675008333.20,         0.200,         0.181,         0.530,         0.139,       148.943,         0.002,         0.010,         3.557,        94.194,        25.406,         0.982,        57.144,         0.870,         0.131,        0.0000,        0.0000,    0,"    
21.80",        41.625,1,18,5,WassenaarRS,0,1,-26.241722608483204,-13.901642352416284,0.041496579766736374
458,459,    P-2411,   2023/01/29 11:09:26,           1-18,4,-14.414,-27.29,-209.997,0.091,19864.0,       0,    1,USGS46.25,                               T1V21-ID2,                 H2O, 1675008873.06,         0.211,         0.175,         0.508,         0.154,       143.219,         0.001,         0.009,         3.418,        94.099,        25.488,         0.975,        56.906,         0.871,         0.098,        0.0000,        0.0000,    0,"    
21.74",        42.000,1,18,5,WassenaarRS,0,1,-26.331016539885816,-13.963484630312514,0.02720048751081805
459,460,    P-2411,   2023/01/29 11:18:25,           1-18,5,-14.453,-27.333,-210.523,0.074,19777.0,       0,    1,USGS46.25,                               T1V21-ID2,                 H2O, 1675009412.67,         0.199,         0.183,         0.507,         0.141,       142.298,         0.001,         0.009,         3.416,        93.644,        25.332,         0.983,        57.332,         0.871,         0.190,        0.0000,       -0.0000,    0,"    
21.87",        41.750,1,18,5,WassenaarRS,0,1,-26.373679196000396,-14.001767945200658,0.011509838995552357
460,461,    P-2411,   2023/01/29 11:27:25,           1-18,6,-14.459,-27.36,-210.858,0.082,19741.0,       0,    1,USGS46.25,                               T1V21-ID2,                 H2O, 1675009952.55,         0.236,         0.181,         0.504,         0.176,       141.082,         0.002,         0.008,         3.388,        93.540,        25.345,         0.972,        56.628,         0.870,         0.103,        0.0000,       -0.0000,    0,"    
21.89",        41.500,1,18,5,WassenaarRS,0,1,-26.40046737542118,-14.00765768595268,0.02006393940103912
461,462,    P-2411,   2023/01/29 11:36:24,           1-18,7,-14.441,-27.344,-211.145,0.093,19783.0,       0,    1,USGS46.25,                               T1V21-ID2,                 H2O, 1675010491.59,         0.217,         0.181,         0.555,         0.161,       148.629,         0.001,         0.009,         3.545,        93.761,        25.377,         0.975,        56.720,         0.870,         0.133,        0.0000,       -0.0000,    0,"    
21.88",        41.375,1,18,5,WassenaarRS,0,1,-26.384592898727384,-13.989988463696614,0.029375086441167042
462,463,    P-2411,   2023/01/29 11:45:24,           1-18,8,-14.462,-27.369,-211.161,0.085,19878.0,       0,    1,USGS46.25,                               T1V21-ID2,                 H2O, 1675011032.16,         0.205,         0.182,         0.533,         0.153,       147.804,         0.001,         0.009,         3.534,        94.173,        25.550,         0.975,        56.709,         0.869,         0.066,       -0.0000,       -0.0000,    0,"    
21.88",        41.562,1,18,5,WassenaarRS,0,1,-26.40939676856144,-14.01060255632869,0.02191981557293765
463,464,    P-2411,   2023/01/29 11:54:23,           1-18,9,-14.495,-27.4,-211.29,0.068,19838.0,       0,    1,USGS46.25,                               T1V21-ID2,                 H2O, 1675011570.65,         0.227,         0.201,         0.505,         0.160,       144.072,         0.001,         0.008,         3.458,        93.967,        25.458,         0.978,        56.923,         0.870,         0.135,       -0.0000,        0.0000,    0,"    
21.83",        41.875,1,18,5,WassenaarRS,0,1,-26.44015356715567,-14.042996130464813,0.005745763668727477
464,465,    P-2411,   2023/01/29 12:03:23,           1-18,10,-14.456,-27.379,-211.341,0.096,19731.0,       0,    1,USGS46.25,                               T1V21-ID2,                 H2O, 1675012110.33,         0.208,         0.184,         0.488,         0.145,       143.364,         0.001,         0.008,         3.437,        93.510,        25.196,         0.985,        56.925,         0.871,         0.143,        0.0000,        0.0000,    0,"    
21.82",        41.688,1,18,5,WassenaarRS,0,1,-26.419318316495065,-14.004712815576669,0.033273935047011705
