,Line,Analysis,Time Code,Port,Inj Nr,d(17_16)Mean,d(18_16)Mean,d(D_H)Mean,E17_Mean,H2O_Mean,Ignore,Good,SampleName,Identifier 2,Gas Configuration,Timestamp Mean,d(17_16)_SD,d(18_16)_SD,d(D_H)_SD,E17_SD,H2O_SD,d(18_16)_Sl,d(D_H)_Sl,H2O_Sl,baseline_shift,slope_shift,residuals,baseline_curvature,interval,ch4_ppm,h16od_adjust,h16od_shift,n2_flag,Resistance,DAS Temp,Tray,Sample,Job,Method,Error Code,Pulse Good,d18O_amended,d17O_amended,E17O_amended
479,480,    P-2413,   2023/01/29 14:20:16,           1-20,1,-14.726,-27.848,-212.258,0.077,20609.0,      -1,    1,USGS46.75,                               T1V23-ID2,                 H2O, 1675020323.25,         0.181,         0.174,         0.444,         0.125,       145.282,         0.001,         0.006,         3.445,        97.359,        26.365,         1.030,        59.345,         0.870,         0.204,        0.0000,        0.0000,    0,"    
21.80",        41.750,1,20,2,WassenaarRS,0,1,-26.884638914581995,-14.26975114932603,0.016851645303825435
480,481,    P-2413,   2023/01/29 14:29:16,           1-20,2,-14.242,-26.978,-205.474,0.096,20666.0,      -1,    1,USGS46.75,                               T1V23-ID2,                 H2O, 1675020863.24,         0.229,         0.197,         0.537,         0.164,       159.378,         0.002,         0.009,         3.783,        97.604,        26.449,         1.032,        59.611,         0.870,         0.172,       -0.0000,       -0.0000,    0,"    
21.93",        41.562,1,20,2,WassenaarRS,0,1,-26.02146424435677,-13.794645395329582,0.030579080749012277
481,482,    P-2413,   2023/01/29 14:38:16,           1-20,3,-14.78,-27.97,-213.677,0.089,20782.0,      -1,    1,USGS46.75,                               T1V23-ID2,                 H2O, 1675021403.25,         0.196,         0.170,         0.450,         0.149,       153.439,         0.001,         0.007,         3.669,        98.124,        26.553,         1.040,        59.851,         0.870,         0.128,        0.0000,       -0.0000,    0,"    
21.86",        41.375,1,20,2,WassenaarRS,0,1,-27.005681799372198,-14.322758816094227,0.028755588910232888
482,483,    P-2413,   2023/01/29 14:47:16,           1-20,4,-14.836,-28.064,-214.748,0.082,20730.0,       0,    1,USGS46.75,                               T1V23-ID2,                 H2O, 1675021942.90,         0.206,         0.183,         0.456,         0.153,       151.099,         0.001,         0.007,         3.582,        97.915,        26.473,         1.034,        59.601,         0.871,         0.133,       -0.0000,        0.0000,    0,"    
21.83",        41.562,1,20,2,WassenaarRS,0,1,-27.09894434994826,-14.377729729779768,0.02359613703192842
483,484,    P-2413,   2023/01/29 14:56:15,           1-20,5,-14.843,-28.091,-215.04,0.09,20670.0,       0,    1,USGS46.75,                               T1V23-ID2,                 H2O, 1675022482.72,         0.215,         0.172,         0.450,         0.161,       145.560,         0.001,         0.006,         3.456,        97.664,        26.393,         1.032,        59.497,         0.869,         0.151,        0.0000,        0.0000,    0,"    
21.78",        41.875,1,20,2,WassenaarRS,0,1,-27.125732529369042,-14.38460109399046,0.031162839509908835
484,485,    P-2413,   2023/01/29 15:05:14,           1-20,6,-14.878,-28.142,-215.25,0.082,20705.0,       0,    1,USGS46.75,                               T1V23-ID2,                 H2O, 1675023022.03,         0.203,         0.195,         0.443,         0.138,       146.402,         0.001,         0.006,         3.495,        97.743,        26.469,         1.047,        59.848,         0.870,         0.235,        0.0000,        0.0000,    0,"    
21.83",        41.812,1,20,2,WassenaarRS,0,1,-27.17633242383052,-14.418957915043922,0.023766365122176225
485,486,    P-2413,   2023/01/29 15:14:15,           1-20,7,-14.874,-28.133,-215.383,0.081,20708.0,       0,    1,USGS46.75,                               T1V23-ID2,                 H2O, 1675023562.22,         0.201,         0.174,         0.410,         0.152,       151.144,         0.001,         0.006,         3.591,        97.796,        26.475,         1.033,        59.607,         0.869,         0.161,       -0.0000,        0.0000,    0,"    
21.77",        41.438,1,20,2,WassenaarRS,0,1,-27.167403030690256,-14.415031421209243,0.022903889789890997
486,487,    P-2413,   2023/01/29 15:23:14,           1-20,8,-14.945,-28.235,-215.631,0.064,20690.0,       0,    1,USGS46.75,                               T1V23-ID2,                 H2O, 1675024102.28,         0.219,         0.187,         0.474,         0.160,       151.163,         0.001,         0.008,         3.586,        97.691,        26.517,         1.034,        59.600,         0.870,         0.184,        0.0000,       -0.0000,    0,"    
21.83",        41.688,1,20,2,WassenaarRS,0,1,-27.268602819613214,-14.484726686774836,0.007115303960048891
487,488,    P-2413,   2023/01/29 15:32:14,           1-20,9,-14.856,-28.115,-215.433,0.09,20617.0,       0,    1,USGS46.75,                               T1V23-ID2,                 H2O, 1675024642.43,         0.199,         0.175,         0.436,         0.144,       146.074,         0.001,         0.006,         3.484,        97.414,        26.288,         1.038,        59.434,         0.871,         0.171,        0.0000,        0.0000,    0,"    
21.71",        41.750,1,20,2,WassenaarRS,0,1,-27.149544244409736,-14.397362198953175,0.031138701501875587
488,489,    P-2413,   2023/01/29 15:41:13,           1-20,10,-14.834,-28.091,-215.562,0.1,20656.0,       0,    1,USGS46.75,                               T1V23-ID2,                 H2O, 1675025181.23,         0.200,         0.176,         0.418,         0.146,       147.984,         0.001,         0.005,         3.536,        97.614,        26.491,         1.026,        59.173,         0.870,         0.129,       -0.0000,       -0.0000,    0,"    
21.86",        41.438,1,20,2,WassenaarRS,0,1,-27.125732529369042,-14.375766482862426,0.04012634753069122
