,Line,Analysis,Time Code,Port,Inj Nr,d(17_16)Mean,d(18_16)Mean,d(D_H)Mean,E17_Mean,H2O_Mean,Ignore,Good,SampleName,Identifier 2,Gas Configuration,Timestamp Mean,d(17_16)_SD,d(18_16)_SD,d(D_H)_SD,E17_SD,H2O_SD,d(18_16)_Sl,d(D_H)_Sl,H2O_Sl,baseline_shift,slope_shift,residuals,baseline_curvature,interval,ch4_ppm,h16od_adjust,h16od_shift,n2_flag,Resistance,DAS Temp,Tray,Sample,Job,Method,Error Code,Pulse Good,d18O_amended,d17O_amended,E17O_amended
472,473,    P-2444,   2023/02/02 18:31:15,           1-22,4,-10.913,-20.818,-151.115,0.136,19532.0,0,1,USGS47,                               T1V25-ID2,                 H2O,1675380983,0.2,0.174,0.373,0.144,138.905,0.001,0.003,3.318,92.61,24.829,0.975,56.546,0.869,0.083,0,0,0,"    
21.75",41.125,1,22,3,WassenaarRS,0,1,-19.825731852686175,-10.497194479338681,0.020467748465536673
473,474,    P-2444,   2023/02/02 18:40:14,           1-22,5,-10.857,-20.802,-151.249,0.183,19524.0,0,1,USGS47,                               T1V25-ID2,                 H2O,1675381522,0.201,0.176,0.424,0.152,143.968,0.001,0.004,3.443,92.579,24.544,0.987,57.342,0.869,0.165,0,0,0,"    
21.74",40.625,1,22,3,WassenaarRS,0,1,-19.80980545092264,-10.442046541755516,0.06762001298939424
474,475,    P-2444,   2023/02/02 18:49:14,           1-22,6,-10.869,-20.823,-151.378,0.183,19748.0,0,1,USGS47,                               T1V25-ID2,                 H2O,1675382062,0.225,0.192,0.401,0.157,143.351,0.001,0.004,3.424,93.585,25.092,0.987,56.937,0.869,0.051,0,0,0,"    
21.89",41.125,1,22,3,WassenaarRS,0,1,-19.830708853237276,-10.45386395695191,0.06693800236795688
475,476,    P-2444,   2023/02/02 18:58:14,           1-22,7,-10.836,-20.782,-151.513,0.194,19800.0,0,1,USGS47,                               T1V25-ID2,                 H2O,1675382601,0.205,0.186,0.391,0.159,135.267,0.002,0.003,3.228,93.898,25.001,0.989,57.305,0.869,0.066,0,0,0,"    
21.80",41.438,1,22,3,WassenaarRS,0,1,-19.78989744871822,-10.42136606516183,0.07779474252671648
476,477,    P-2444,   2023/02/02 19:07:12,           1-22,8,-10.909,-20.848,-151.491,0.155,19480.0,0,1,USGS47,                               T1V25-ID2,                 H2O,1675383140,0.203,0.167,0.364,0.154,140.243,0.001,0.003,3.353,92.394,24.584,0.981,56.9,0.869,0.128,0,0,0,"    
21.93",40.875,1,22,3,WassenaarRS,0,1,-19.855593855992797,-10.493255340939884,0.04053496811915913
477,478,    P-2444,   2023/02/02 19:16:12,           1-22,9,-10.931,-20.866,-151.528,0.142,19611.0,0,1,USGS47,                               T1V25-ID2,                 H2O,1675383680,0.215,0.201,0.4,0.15,144.697,0.001,0.004,3.44,92.95,24.901,0.984,56.797,0.869,0.127,0,0,0,"    
21.82",40.562,1,22,3,WassenaarRS,0,1,-19.873511057976774,-10.51492060213327,0.028291732902431477
478,479,    P-2444,   2023/02/02 19:25:12,           1-22,10,-10.921,-20.853,-151.587,0.146,20067.0,0,1,USGS47,                               T1V25-ID2,                 H2O,1675384219,0.21,0.185,0.357,0.157,140.461,0.001,0.003,3.348,94.905,25.399,1.016,58.453,0.87,0.177,0,0,0,"    
21.87",41.25,1,22,3,WassenaarRS,0,1,-19.860570856543905,-10.505072756136276,0.031273261208216496
479,480,    P-2444,   2023/02/02 19:34:11,           1-22,11,-10.881,-20.815,-151.622,0.165,19613.0,0,1,USGS47,                               T1V25-ID2,                 H2O,1675384759,0.242,0.188,0.398,0.171,139.474,0.001,0.002,3.331,93.008,24.751,0.986,57.106,0.87,0.096,0,0,0,"    
21.78",41.375,1,22,3,WassenaarRS,0,1,-19.82274565235551,-10.465681372148302,0.05070605394745975
480,481,    P-2444,   2023/02/02 19:43:10,           1-22,12,-10.913,-20.852,-151.764,0.153,19464.0,0,1,USGS47,                               T1V25-ID2,                 H2O,1675385298,0.189,0.169,0.394,0.144,143.36,0,0.004,3.427,92.36,24.619,0.978,56.593,0.869,0.1,0,0,0,"    
21.84",40.75,1,22,3,WassenaarRS,0,1,-19.859575456433685,-10.497194479338681,0.03869892619130688
481,482,    P-2444,   2023/02/02 19:52:10,           1-22,13,-10.914,-20.851,-151.702,0.151,20230.0,0,1,USGS47,                               T1V25-ID2,                 H2O,1675385838,0.195,0.187,0.38,0.144,145.444,0,0.003,3.453,95.713,25.513,1.021,58.728,0.869,0.086,0,0,0,"    
21.79",40.875,1,22,3,WassenaarRS,0,1,-19.85858005632346,-10.49817926393838,0.03716747386052788
482,483,    P-2444,   2023/02/02 20:01:10,           1-22,14,-10.951,-20.872,-151.682,0.125,20437.0,0,1,USGS47,                               T1V25-ID2,                 H2O,1675386378,0.203,0.17,0.35,0.155,138.691,0.001,0.002,3.309,96.525,25.929,1.034,59.378,0.871,0.172,0,0,0,"    
21.96",41.312,1,22,3,WassenaarRS,0,1,-19.879483458638102,-10.534616294127257,0.01160392114653952
483,484,    P-2444,   2023/02/02 20:10:09,           1-22,15,-10.897,-20.826,-151.748,0.156,19772.0,0,1,USGS47,                               T1V25-ID2,                 H2O,1675386917,0.203,0.177,0.393,0.149,142.66,0,0.004,3.413,93.691,25.031,0.989,57.431,0.869,0.082,0,0,0,"    
21.86",40.812,1,22,3,WassenaarRS,0,1,-19.83369505356794,-10.481437925743492,0.04068096178179381
484,485,    P-2444,   2023/02/02 20:19:08,           1-22,16,-10.961,-20.899,-151.74,0.13,20151.0,0,1,USGS47,                               T1V25-ID2,                 H2O,1675387456,0.213,0.205,0.432,0.142,145.224,0.001,0.003,3.469,95.294,25.521,1.022,58.575,0.869,0.161,0,0,0,"    
21.84",40.375,1,22,3,WassenaarRS,0,1,-19.906359261614067,-10.54446414012425,0.016129620300885605
485,486,    P-2444,   2023/02/02 20:28:08,           1-22,17,-10.957,-20.881,-151.773,0.125,19916.0,0,1,USGS47,                               T1V25-ID2,                 H2O,1675387996,0.215,0.184,0.371,0.162,145.68,0.001,0.003,3.487,94.229,25.312,1.005,57.818,0.868,0.144,0,0,0,"    
21.78",40.875,1,22,3,WassenaarRS,0,1,-19.88844205963009,-10.540525001725454,0.010458390415736929
486,487,    P-2444,   2023/02/02 20:37:06,           1-22,18,-10.928,-20.873,-151.859,0.149,19939.0,0,1,USGS47,                               T1V25-ID2,                 H2O,1675388534,0.214,0.192,0.361,0.151,144.877,0.001,0.003,3.459,94.357,25.283,1.003,58.066,0.87,0.236,0,0,0,"    
21.72",41.25,1,22,3,WassenaarRS,0,1,-19.880478858748322,-10.511966248334172,0.03503108643490904
487,488,    P-2444,   2023/02/02 20:46:05,           1-22,19,-10.921,-20.861,-151.797,0.15,20536.0,0,1,USGS47,                               T1V25-ID2,                 H2O,1675389072,0.216,0.179,0.349,0.162,145.719,0,0.001,3.478,97.045,25.87,1.046,59.808,0.871,0.168,0,0,0,"    
21.85",41.5,1,22,3,WassenaarRS,0,1,-19.868534057425673,-10.505072756136276,0.03556304592741988
488,489,    P-2444,   2023/02/02 20:55:04,           1-22,20,-10.928,-20.873,-151.865,0.149,19731.0,0,1,USGS47,                               T1V25-ID2,                 H2O,1675389613,0.196,0.169,0.374,0.142,142.933,0.001,0.003,3.392,93.484,24.962,0.991,57.595,0.87,0.118,0,0,0,"    
21.73",41.75,1,22,3,WassenaarRS,0,1,-19.880478858748322,-10.511966248334172,0.03503108643490904
489,490,    P-2444,   2023/02/02 21:04:04,           1-22,21,-10.947,-20.874,-151.908,0.131,20016.0,0,1,USGS47,                               T1V25-ID2,                 H2O,1675390152,0.208,0.18,0.356,0.151,140.18,0.001,0.003,3.345,94.683,25.376,1.01,58.291,0.871,0.141,0,0,0,"    
21.72",41.438,1,22,3,WassenaarRS,0,1,-19.881474258858542,-10.530677155728458,0.016657454351467038
490,491,    P-2444,   2023/02/02 21:13:04,           1-22,22,-10.921,-20.867,-151.83,0.154,19844.0,0,1,USGS47,                               T1V25-ID2,                 H2O,1675390692,0.211,0.18,0.405,0.154,142.144,0.001,0.004,3.377,94.03,24.94,1.004,57.833,0.869,0.084,0,0,0,"    
21.82",40.875,1,22,3,WassenaarRS,0,1,-19.874506458086998,-10.505072756136276,0.038780407339036316
491,492,    P-2444,   2023/02/02 21:22:04,           1-22,23,-10.912,-20.862,-151.902,0.16,19721.0,0,1,USGS47,                               T1V25-ID2,                 H2O,1675391232,0.198,0.177,0.376,0.142,144.855,0.001,0.003,3.465,93.448,24.903,0.996,57.463,0.869,0.113,0,0,0,"    
21.76",40.625,1,22,3,WassenaarRS,0,1,-19.86952945753589,-10.496209694738983,0.04505638833591519
492,493,    P-2444,   2023/02/02 21:31:03,           1-22,24,-10.884,-20.832,-151.879,0.172,19917.0,0,1,USGS47,                               T1V25-ID2,                 H2O,1675391771,0.194,0.191,0.364,0.141,145.8,0.001,0.003,3.48,94.36,25.213,0.995,57.58,0.87,0.011,0,0,0,"    
21.82",40.938,1,22,3,WassenaarRS,0,1,-19.839667454229264,-10.4686357259474,0.056835931755685465
