,Line,Analysis,Time Code,Port,Inj Nr,d(17_16)Mean,d(18_16)Mean,d(D_H)Mean,E17_Mean,H2O_Mean,Ignore,Good,SampleName,Identifier 2,Gas Configuration,Timestamp Mean,d(17_16)_SD,d(18_16)_SD,d(D_H)_SD,E17_SD,H2O_SD,d(18_16)_Sl,d(D_H)_Sl,H2O_Sl,baseline_shift,slope_shift,residuals,baseline_curvature,interval,ch4_ppm,h16od_adjust,h16od_shift,n2_flag,Resistance,DAS Temp,Tray,Sample,Job,Method,Error Code,Pulse Good,d18O_amended,d17O_amended,E17O_amended
140,141,    P-2397,   2023/01/27 11:11:29,           1-06,1,2.484,4.283,33.301,0.224,20153.0,      -1,    1,USGS50,                                T1V6-ID2,                 H2O, 1674836197.63,         0.200,         0.184,         0.379,         0.144,       146.550,         0.000,        -0.005,         3.507,        95.536,        24.449,         1.049,        60.545,         0.869,        -0.066,       -0.0000,       -0.0000,    0,"    
21.76",        41.750,1,6,2,WassenaarRS,0,1,4.994286750942992,2.623988574390659,-0.009868394858056906
141,142,    P-2397,   2023/01/27 11:20:29,           1-06,2,2.344,4.032,32.907,0.216,20002.0,      -1,    1,USGS50,                                T1V6-ID2,                 H2O, 1674836737.21,         0.227,         0.187,         0.423,         0.161,       147.745,         0.000,        -0.005,         3.545,        94.855,        24.222,         1.048,        60.321,         0.870,        -0.002,       -0.0000,       -0.0000,    0,"    
21.85",        41.500,1,6,2,WassenaarRS,0,1,4.745255897809047,2.48656129017681,-0.016094333518404724
142,143,    P-2397,   2023/01/27 11:29:29,           1-06,3,2.472,4.232,34.794,0.24,20090.0,      -1,    1,USGS50,                                T1V6-ID2,                 H2O, 1674837277.37,         0.222,         0.172,         0.433,         0.161,       148.844,         0.000,        -0.005,         3.538,        95.306,        24.197,         1.057,        60.607,         0.868,        -0.087,        0.0000,       -0.0000,    0,"    
21.72",        40.750,1,6,2,WassenaarRS,0,1,4.943686856481513,2.612209092886615,0.004967528482083594
143,144,    P-2397,   2023/01/27 11:38:30,           1-06,4,2.483,4.241,34.956,0.245,19934.0,       0,    1,USGS50,                                T1V6-ID2,                 H2O, 1674837817.63,         0.214,         0.180,         0.488,         0.149,       149.949,         0.001,        -0.007,         3.585,        94.647,        24.011,         1.044,        60.150,         0.869,        -0.085,       -0.0000,        0.0000,    0,"    
21.74",        40.438,1,6,2,WassenaarRS,0,1,4.952616249621773,2.623006950931989,0.01104569046135806
144,145,    P-2397,   2023/01/27 11:47:29,           1-06,5,2.421,4.212,35.247,0.199,19998.0,       0,    1,USGS50,                                T1V6-ID2,                 H2O, 1674838356.71,         0.202,         0.178,         0.436,         0.143,       145.366,        -0.000,        -0.005,         3.477,        94.844,        24.072,         1.055,        60.662,         0.869,        -0.044,       -0.0000,        0.0000,    0,"    
21.79",        41.188,1,6,2,WassenaarRS,0,1,4.9238437606142655,2.562146296494427,-0.034540364220843944
145,146,    P-2397,   2023/01/27 11:56:28,           1-06,6,2.469,4.254,35.318,0.225,20033.0,       0,    1,USGS50,                                T1V6-ID2,                 H2O, 1674838895.18,         0.213,         0.187,         0.413,         0.153,       145.340,         0.000,        -0.005,         3.470,        95.063,        24.084,         1.052,        60.489,         0.869,        -0.101,        0.0000,       -0.0000,    0,"    
21.77",        41.312,1,6,2,WassenaarRS,0,1,4.965514261935484,2.6092642225106037,-0.00943772410356214
146,147,    P-2397,   2023/01/27 12:05:27,           1-06,7,2.483,4.245,35.384,0.244,19953.0,       0,    1,USGS50,                                T1V6-ID2,                 H2O, 1674839435.02,         0.205,         0.170,         0.423,         0.153,       148.888,         0.000,        -0.006,         3.560,        94.711,        24.021,         1.045,        60.185,         0.868,        -0.102,        0.0000,        0.0000,    0,"    
21.78",        40.750,1,6,2,WassenaarRS,0,1,4.956584868795223,2.623006950931989,0.008960590375907795
147,148,    P-2397,   2023/01/27 12:14:28,           1-06,8,2.458,4.226,35.449,0.229,20662.0,       0,    1,USGS50,                                T1V6-ID2,                 H2O, 1674839975.45,         0.216,         0.187,         0.432,         0.160,       156.177,         0.001,        -0.005,         3.707,        97.811,        24.862,         1.094,        62.314,         0.870,        -0.034,       -0.0000,        0.0000,    0,"    
21.79",        40.750,1,6,2,WassenaarRS,0,1,4.937733927721339,2.59846636446523,-0.005611795172623779
148,149,    P-2397,   2023/01/27 12:23:27,           1-06,9,2.476,4.235,35.481,0.242,20826.0,       0,    1,USGS50,                                T1V6-ID2,                 H2O, 1674840515.24,         0.178,         0.167,         0.438,         0.137,       152.614,         0.000,        -0.005,         3.649,        98.563,        25.039,         1.097,        62.682,         0.870,        -0.104,       -0.0000,       -0.0000,    0,"    
21.83",        41.438,1,6,2,WassenaarRS,0,1,4.9466633208615995,2.6161355867212963,0.00731994481714171
149,150,    P-2397,   2023/01/27 12:32:28,           1-06,10,2.431,4.215,35.505,0.207,20209.0,       0,    1,USGS50,                                T1V6-ID2,                 H2O, 1674841055.43,         0.205,         0.180,         0.467,         0.145,       146.181,         0.001,        -0.007,         3.494,        95.731,        24.317,         1.072,        61.530,         0.870,         0.054,        0.0000,        0.0000,    0,"    
21.84",        41.812,1,6,2,WassenaarRS,0,1,4.926820224994353,2.5719625310811307,-0.026313134532001126
