,Line,Analysis,Time Code,Port,Inj Nr,d(17_16)Mean,d(18_16)Mean,d(D_H)Mean,E17_Mean,H2O_Mean,Ignore,Good,SampleName,Identifier 2,Gas Configuration,Timestamp Mean,d(17_16)_SD,d(18_16)_SD,d(D_H)_SD,E17_SD,H2O_SD,d(18_16)_Sl,d(D_H)_Sl,H2O_Sl,baseline_shift,slope_shift,residuals,baseline_curvature,interval,ch4_ppm,h16od_adjust,h16od_shift,n2_flag,Resistance,DAS Temp,Tray,Sample,Job,Method,Error Code,Pulse Good,d18O_amended,d17O_amended,E17O_amended
55,56,    P-2393,   2023/01/26 22:22:39,           1-03,1,1.811,2.964,8.502,0.246,20691.0,      -1,    1,UltraBoil,                                T1V3-ID2,                 H2O, 1674790066.93,         0.233,         0.191,         0.422,         0.167,       171.004,        -0.001,        -0.006,         4.091,        97.911,        24.967,         1.097,        62.773,         0.869,         0.052,        0.0000,       -0.0000,    0,"    
21.80",        40.562,1,3,2,WassenaarRS,0,1,3.6856345784980795,1.9633559867055146,0.01899342792971659
56,57,    P-2393,   2023/01/26 22:31:39,           1-03,2,1.796,2.952,8.663,0.237,20818.0,      -1,    1,UltraBoil,                                T1V3-ID2,                 H2O, 1674790606.74,         0.223,         0.181,         0.488,         0.161,       163.765,        -0.000,        -0.006,         3.878,        98.569,        24.953,         1.105,        63.043,         0.870,        -0.031,        0.0000,        0.0000,    0,"    
21.85",        41.312,1,3,2,WassenaarRS,0,1,3.673728720977732,1.9486316348254593,0.01056106658563949
57,58,    P-2393,   2023/01/26 22:40:38,           1-03,3,1.843,3.074,9.481,0.221,20335.0,      -1,    1,UltraBoil,                                T1V3-ID2,                 H2O, 1674791145.58,         0.213,         0.169,         0.451,         0.155,       162.173,        -0.001,        -0.006,         3.852,        96.356,        24.708,         1.059,        61.097,         0.870,        -0.022,        0.0000,        0.0000,    0,"    
21.87",        41.875,1,3,1,WassenaarRS,0,1,3.7947716057679357,1.9947679373829657,-0.007066291590870799
58,59,    P-2393,   2023/01/26 22:49:39,           1-03,4,1.847,3.106,9.619,0.208,20213.0,       0,    1,UltraBoil,                                T1V3-ID2,                 H2O, 1674791686.58,         0.229,         0.188,         0.436,         0.163,       152.933,        -0.000,        -0.006,         3.655,        95.819,        24.426,         1.067,        61.204,         0.869,         0.037,       -0.0000,        0.0000,    0,"    
21.86",        41.875,1,3,1,WassenaarRS,0,1,3.8265205591555302,1.9986944312176471,-0.019847432608722793
59,60,    P-2393,   2023/01/26 22:58:39,           1-03,5,1.874,3.114,9.651,0.23,20248.0,       0,    1,UltraBoil,                                T1V3-ID2,                 H2O, 1674792227.71,         0.194,         0.179,         0.409,         0.145,       153.804,         0.000,        -0.004,         3.675,        95.974,        24.476,         1.067,        61.296,         0.870,         0.078,       -0.0000,       -0.0000,    0,"    
21.79",        41.250,1,3,1,WassenaarRS,0,1,3.834457797502429,2.025198264601747,0.0024283135037430625
60,61,    P-2393,   2023/01/26 23:07:39,           1-03,6,1.874,3.106,9.754,0.235,20127.0,       0,    1,UltraBoil,                                T1V3-ID2,                 H2O, 1674792766.95,         0.208,         0.175,         0.500,         0.154,       160.268,        -0.000,        -0.007,         3.826,        95.461,        24.386,         1.048,        60.684,         0.870,        -0.030,        0.0000,       -0.0000,    0,"    
21.76",        41.000,1,3,1,WassenaarRS,0,1,3.8265205591555302,2.025198264601747,0.006603183556435077
61,62,    P-2393,   2023/01/26 23:16:39,           1-03,7,1.904,3.15,9.762,0.241,20223.0,       0,    1,UltraBoil,                                T1V3-ID2,                 H2O, 1674793307.25,         0.236,         0.196,         0.479,         0.163,       156.594,        -0.001,        -0.006,         3.733,        95.884,        24.440,         1.064,        61.096,         0.870,         0.016,        0.0000,        0.0000,    0,"    
21.80",        41.688,1,3,1,WassenaarRS,0,1,3.870175370063473,2.054646968361857,0.013030559741283643
62,63,    P-2393,   2023/01/26 23:25:39,           1-03,8,1.865,3.095,9.842,0.232,20169.0,       0,    1,UltraBoil,                                T1V3-ID2,                 H2O, 1674793846.99,         0.214,         0.172,         0.443,         0.155,       153.812,        -0.000,        -0.005,         3.671,        95.631,        24.417,         1.062,        60.849,         0.870,         0.008,        0.0000,       -0.0000,    0,"    
21.93",        41.438,1,3,1,WassenaarRS,0,1,3.815606856428545,2.0163636534737135,0.0035268894612427992
63,64,    P-2393,   2023/01/26 23:34:40,           1-03,9,1.898,3.136,9.885,0.243,20072.0,       0,    1,UltraBoil,                                T1V3-ID2,                 H2O, 1674794387.38,         0.213,         0.191,         0.450,         0.150,       162.072,        -0.000,        -0.006,         3.874,        95.239,        24.169,         1.056,        60.817,         0.869,        -0.009,        0.0000,        0.0000,    0,"    
21.77",        40.688,1,3,1,WassenaarRS,0,1,3.8562852029564003,2.0487572276098347,0.014458662546130707
64,65,    P-2393,   2023/01/26 23:43:41,           1-03,10,1.858,3.088,9.966,0.228,20283.0,       0,    1,UltraBoil,                                T1V3-ID2,                 H2O, 1674794928.95,         0.214,         0.207,         0.459,         0.148,       158.038,         0.000,        -0.006,         3.795,        96.101,        24.547,         1.070,        61.325,         0.870,        -0.011,       -0.0000,       -0.0000,    0,"    
21.78",        40.938,1,3,1,WassenaarRS,0,1,3.8086617728750087,2.009492289263021,0.0003224071176566312
