,Line,Analysis,Time Code,Port,Inj Nr,d(17_16)Mean,d(18_16)Mean,d(D_H)Mean,E17_Mean,H2O_Mean,Ignore,Good,SampleName,Identifier 2,Gas Configuration,Timestamp Mean,d(17_16)_SD,d(18_16)_SD,d(D_H)_SD,E17_SD,H2O_SD,d(18_16)_Sl,d(D_H)_Sl,H2O_Sl,baseline_shift,slope_shift,residuals,baseline_curvature,interval,ch4_ppm,h16od_adjust,h16od_shift,n2_flag,Resistance,DAS Temp,Tray,Sample,Job,Method,Error Code,Pulse Good,d18O_amended,d17O_amended,E17O_amended
55,56,    P-2422,   2023/01/31 03:34:36,           1-03,1,1.778,2.88,8.175,0.258,21336.0,-1,1,UltraBoil,                                T1V3-ID2,                 H2O,1675154384,0.2,0.17,0.489,0.146,168.505,-0.001,-0.007,4.001,100.687,25.701,1.159,64.829,0.871,0.165,0,0,0,"    
21.76",41.125,1,3,2,WassenaarRS,0,1,3.7632599593287264,2.00070687544582,0.015436315894525876
56,57,    P-2422,   2023/01/31 03:43:36,           1-03,2,1.677,2.665,7.59,0.27,20946.0,-1,1,UltraBoil,                                T1V3-ID2,                 H2O,1675154924,0.225,0.187,0.554,0.159,162.054,-0.001,-0.01,3.848,99.02,25.31,1.123,63.161,0.871,0.105,0,0,0,"    
21.76",41,1,3,2,WassenaarRS,0,1,3.549248935631233,1.901243630876185,0.02875292095128268
57,58,    P-2422,   2023/01/31 03:52:36,           1-03,3,1.786,2.904,8.685,0.253,20414.0,-1,1,UltraBoil,                                T1V3-ID2,                 H2O,1675155464,0.236,0.195,0.548,0.169,160.961,-0.001,-0.009,3.845,96.624,24.654,1.09,62.036,0.871,0.167,0,0,0,"    
21.73",41.438,1,3,2,WassenaarRS,0,1,3.787149561974028,2.0085851522434144,0.010732561177112743
58,59,    P-2422,   2023/01/31 04:01:36,           1-03,4,1.813,2.936,8.9,0.263,20455.0,0,1,UltraBoil,                                T1V3-ID2,                 H2O,1675156004,0.224,0.198,0.515,0.157,161.817,-0.001,-0.009,3.845,96.878,24.77,1.086,61.467,0.87,0.055,0,0,0,"    
21.67",41.688,1,3,2,WassenaarRS,0,1,3.8190023655010967,2.035174336435297,0.020513532320932004
59,60,    P-2422,   2023/01/31 04:10:36,           1-03,5,1.853,3.006,8.943,0.267,20400.0,0,1,UltraBoil,                                T1V3-ID2,                 H2O,1675156544,0.208,0.182,0.507,0.147,154.605,-0.001,-0.009,3.69,96.644,24.696,1.082,61.457,0.871,0.101,0,0,0,"    
21.73",41.688,1,3,2,WassenaarRS,0,1,3.88868037321656,2.0745657204232715,0.02317538850726164
60,61,    P-2422,   2023/01/31 04:19:36,           1-03,6,1.834,2.968,9.065,0.267,20320.0,0,1,UltraBoil,                                T1V3-ID2,                 H2O,1675157084,0.205,0.185,0.499,0.145,159.173,-0.001,-0.008,3.787,96.243,24.655,1.078,61.263,0.869,0.088,0,0,0,"    
21.71",41.188,1,3,2,WassenaarRS,0,1,3.850855169028166,2.0558548130289838,0.024397763299180752
61,62,    P-2422,   2023/01/31 04:28:35,           1-03,7,1.816,2.963,9.093,0.252,20460.0,0,1,UltraBoil,                                T1V3-ID2,                 H2O,1675157623,0.213,0.181,0.502,0.15,160.99,-0.001,-0.008,3.85,96.834,24.81,1.089,61.815,0.87,0.097,0,0,0,"    
21.74",40.938,1,3,2,WassenaarRS,0,1,3.845878168477061,2.0381286902343954,0.009325633713088255
62,63,    P-2422,   2023/01/31 04:37:34,           1-03,8,1.859,2.987,9.127,0.282,20564.0,0,1,UltraBoil,                                T1V3-ID2,                 H2O,1675158162,0.233,0.183,0.497,0.168,161.603,-0.001,-0.008,3.857,97.341,24.894,1.092,61.965,0.871,0.064,0,0,0,"    
21.66",41.438,1,3,2,WassenaarRS,0,1,3.869767771122363,2.0804744280214678,0.03901911232777122
63,64,    P-2422,   2023/01/31 04:46:33,           1-03,9,1.817,2.985,9.227,0.242,20441.0,0,1,UltraBoil,                                T1V3-ID2,                 H2O,1675158702,0.225,0.194,0.511,0.159,157.218,-0.001,-0.009,3.756,96.711,24.811,1.092,61.863,0.87,0.198,0,0,0,"    
21.80",41.75,1,3,2,WassenaarRS,0,1,3.8677769709019207,2.0391134748340947,-0.001209729390186265
64,65,    P-2422,   2023/01/31 04:55:33,           1-03,10,1.84,2.969,9.221,0.274,20337.0,0,1,UltraBoil,                                T1V3-ID2,                 H2O,1675159241,0.194,0.178,0.517,0.135,158.059,-0.001,-0.007,3.778,96.27,24.608,1.089,61.628,0.87,0.153,0,0,0,"    
21.79",41.188,1,3,2,WassenaarRS,0,1,3.8518505691383864,2.0617635206271796,0.029770776126280207
160,161,    P-2427,   2023/01/31 19:24:25,           1-03,1,0.939,1.335,4.41,0.234,21011.0,-1,1,UltraBoil,                                T1V3-ID2,                 H2O,1675211372,0.207,0.158,0.343,0.155,159.097,0,-0.003,3.772,99.215,25.348,1.133,63.714,0.872,0.11,0,0,0,"    
21.72",41,1,3,2,WassenaarRS,0,1,2.225366789037435,1.1744725962980618,9.523783545106745e-05
161,162,    P-2427,   2023/01/31 19:33:25,           1-03,2,0.806,1.044,1.707,0.254,21208.0,-1,1,UltraBoil,                                T1V3-ID2,                 H2O,1675211912,0.207,0.166,0.388,0.154,156.819,0,-0.001,3.735,100.035,25.787,1.137,64.035,0.873,0.187,0,0,0,"    
21.64",41.562,1,3,2,WassenaarRS,0,1,1.9357053569631533,1.0434962445380478,0.021887673810697228
162,163,    P-2427,   2023/01/31 19:42:24,           1-03,3,0.945,1.271,1.845,0.274,20910.0,-1,1,UltraBoil,                                T1V3-ID2,                 H2O,1675212452,0.22,0.184,0.397,0.16,153.935,-0.001,-0.003,3.648,98.794,25.251,1.121,63.333,0.871,0.133,0,0,0,"    
21.66",41.812,1,3,2,WassenaarRS,0,1,2.1616611819832974,1.180381303896258,0.03955993630202581
163,164,    P-2427,   2023/01/31 19:51:24,           1-03,4,0.852,1.22,1.652,0.208,20798.0,0,1,UltraBoil,                                T1V3-ID2,                 H2O,1675212992,0.206,0.177,0.363,0.153,152.555,0,-0.003,3.621,98.236,25.334,1.108,62.588,0.87,0.136,0,0,0,"    
21.64",41.312,1,3,2,WassenaarRS,0,1,2.1108957763620317,1.0887963361242181,-0.025174242872661567
