  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(17_16)Mean,  d(18_16)Mean,    d(D_H)Mean,      E17_Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(17_16)_SD,   d(18_16)_SD,     d(D_H)_SD,        E17_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,Resistance,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code,Pulse Good
     1,    P-2391,   2023/01/26 14:03:13,           1-01,       1,        -1.360,        -2.995,       -18.282,         0.222,         21723,      -1,    1,                                 DummyKD,                                T1V1-ID2,                 H2O, 1674760100.54,         0.246,         0.262,         1.321,         0.153,       432.125,        -0.004,        -0.030,        10.224,       102.982,        25.724,         1.137,        67.570,         0.871,         0.278,       -0.0000,       -0.0000,    0,"    
21.69",        40.750,         1,       1,       1,WassenaarRS,       0,       1
     2,    P-2391,   2023/01/26 14:14:48,           1-01,       2,        -0.637,        -1.624,        -8.021,         0.221,         21064,      -1,    1,                                 DummyKD,                                T1V1-ID2,                 H2O, 1674760795.81,         0.213,         0.202,         1.024,         0.150,       276.997,        -0.002,        -0.023,         6.622,        99.966,        25.114,         1.106,        64.907,         0.872,         0.180,       -0.0000,       -0.0000,    0,"    
21.74",        41.562,         1,       1,       1,WassenaarRS,       0,       1
     3,    P-2391,   2023/01/26 14:23:48,           1-01,       3,        -0.311,        -0.969,        -3.671,         0.201,         20033,      -1,    1,                                 DummyKD,                                T1V1-ID2,                 H2O, 1674761335.49,         0.201,         0.197,         0.976,         0.145,       250.256,        -0.002,        -0.022,         5.951,        95.292,        24.227,         1.034,        60.908,         0.871,         0.088,       -0.0000,       -0.0000,    0,"    
21.78",        41.062,         1,       1,       1,WassenaarRS,       0,       1
     4,    P-2391,   2023/01/26 14:32:47,           1-01,       4,        -0.165,        -0.740,        -1.920,         0.226,         19907,       0,    1,                                 DummyKD,                                T1V1-ID2,                 H2O, 1674761875.68,         0.200,         0.186,         0.927,         0.145,       234.585,        -0.002,        -0.020,         5.619,        94.752,        24.106,         1.027,        60.225,         0.870,         0.007,        0.0000,        0.0000,    0,"    
21.87",        40.500,         1,       1,       1,WassenaarRS,       0,       1
     5,    P-2391,   2023/01/26 14:41:47,           1-01,       5,        -0.148,        -0.661,        -1.043,         0.201,         19837,       0,    1,                                 DummyKD,                                T1V1-ID2,                 H2O, 1674762414.92,         0.214,         0.193,         0.857,         0.153,       223.915,        -0.002,        -0.018,         5.382,        94.402,        24.001,         1.025,        60.003,         0.871,        -0.003,        0.0000,        0.0000,    0,"    
21.69",        40.500,         1,       1,       1,WassenaarRS,       0,       1
     6,    P-2391,   2023/01/26 14:50:47,           1-01,       6,        -0.088,        -0.551,        -0.254,         0.203,         19818,       0,    1,                                 DummyKD,                                T1V1-ID2,                 H2O, 1674762954.50,         0.209,         0.182,         0.714,         0.152,       206.623,        -0.002,        -0.014,         4.938,        94.274,        24.093,         1.026,        59.801,         0.871,         0.042,       -0.0000,        0.0000,    0,"    
21.73",        41.438,         1,       1,       1,WassenaarRS,       0,       1
     7,    P-2391,   2023/01/26 14:59:47,           1-01,       7,        -0.045,        -0.460,         0.486,         0.198,         19696,       0,    1,                                 DummyKD,                                T1V1-ID2,                 H2O, 1674763494.52,         0.211,         0.198,         0.717,         0.152,       195.823,        -0.001,        -0.015,         4.688,        93.711,        23.923,         1.021,        59.620,         0.870,         0.061,       -0.0000,       -0.0000,    0,"    
21.75",        41.562,         1,       1,       1,WassenaarRS,       0,       1
     8,    P-2391,   2023/01/26 15:08:47,           1-01,       8,        -0.008,        -0.401,         0.925,         0.204,         19425,       0,    1,                                 DummyKD,                                T1V1-ID2,                 H2O, 1674764034.79,         0.229,         0.209,         0.717,         0.155,       192.329,        -0.001,        -0.014,         4.603,        92.531,        23.557,         1.007,        58.865,         0.869,         0.038,       -0.0000,       -0.0000,    0,"    
21.68",        41.125,         1,       1,       1,WassenaarRS,       0,       1
     9,    P-2391,   2023/01/26 15:17:47,           1-01,       9,        -0.001,        -0.387,         1.240,         0.203,         19643,       0,    1,                                 DummyKD,                                T1V1-ID2,                 H2O, 1674764574.62,         0.197,         0.178,         0.623,         0.142,       190.730,        -0.001,        -0.012,         4.585,        93.434,        23.777,         1.025,        59.818,         0.870,         0.064,       -0.0000,       -0.0000,    0,"    
21.79",        40.750,         1,       1,       1,WassenaarRS,       0,       1
    10,    P-2391,   2023/01/26 15:26:46,           1-01,      10,        -0.001,        -0.344,         1.601,         0.181,         19486,       0,    1,                                 DummyKD,                                T1V1-ID2,                 H2O, 1674765113.19,         0.223,         0.197,         0.592,         0.160,       186.604,        -0.001,        -0.011,         4.459,        92.728,        23.728,         1.010,        58.905,         0.871,         0.033,        0.0000,        0.0000,    0,"    
21.78",        41.250,         1,       1,       1,WassenaarRS,       0,       1
    11,    P-2391,   2023/01/26 15:35:46,           1-01,      11,         0.027,        -0.314,         1.720,         0.193,         19957,       0,    1,                                 DummyKD,                                T1V1-ID2,                 H2O, 1674765653.25,         0.207,         0.181,         0.669,         0.154,       188.144,        -0.001,        -0.013,         4.493,        94.852,        24.254,         1.036,        60.175,         0.872,         0.014,        0.0000,        0.0000,    0,"    
21.73",        41.562,         1,       1,       1,WassenaarRS,       0,       1
    12,    P-2391,   2023/01/26 15:44:46,           1-01,      12,         0.035,        -0.296,         1.988,         0.191,         20095,       0,    1,                                 DummyKD,                                T1V1-ID2,                 H2O, 1674766193.67,         0.202,         0.175,         0.596,         0.148,       182.317,        -0.000,        -0.011,         4.352,        95.434,        24.298,         1.058,        61.078,         0.872,         0.096,       -0.0000,       -0.0000,    0,"    
21.75",        41.875,         1,       1,       1,WassenaarRS,       0,       1
    13,    P-2391,   2023/01/26 15:53:46,           1-01,      13,         0.065,        -0.275,         2.183,         0.211,         19751,       0,    1,                                 DummyKD,                                T1V1-ID2,                 H2O, 1674766733.67,         0.213,         0.181,         0.585,         0.154,       175.944,        -0.000,        -0.011,         4.200,        93.969,        24.088,         1.021,        59.054,         0.871,        -0.023,       -0.0000,        0.0000,    0,"    
21.79",        41.812,         1,       1,       1,WassenaarRS,       0,       1
    14,    P-2391,   2023/01/26 16:02:45,           1-01,      14,         0.074,        -0.222,         2.336,         0.191,         19900,       0,    1,                                 DummyKD,                                T1V1-ID2,                 H2O, 1674767272.49,         0.214,         0.195,         0.567,         0.149,       177.844,        -0.001,        -0.011,         4.226,        94.604,        24.257,         1.028,        59.566,         0.870,        -0.038,        0.0000,        0.0000,    0,"    
21.83",        41.250,         1,       1,       1,WassenaarRS,       0,       1
    15,    P-2391,   2023/01/26 16:11:45,           1-01,      15,         0.065,        -0.254,         2.451,         0.199,         19813,       0,    1,                                 DummyKD,                                T1V1-ID2,                 H2O, 1674767813.11,         0.202,         0.187,         0.610,         0.149,       171.480,         0.000,        -0.012,         4.123,        94.172,        24.119,         1.028,        59.635,         0.869,        -0.013,        0.0000,       -0.0000,    0,"    
21.82",        40.688,         1,       1,       1,WassenaarRS,       0,       1
    16,    P-2391,   2023/01/26 16:20:45,           1-01,      16,         0.080,        -0.231,         2.604,         0.202,         19843,       0,    1,                                 DummyKD,                                T1V1-ID2,                 H2O, 1674768352.53,         0.211,         0.175,         0.523,         0.155,       177.943,        -0.000,        -0.009,         4.254,        94.240,        24.134,         1.033,        60.168,         0.870,         0.143,       -0.0000,       -0.0000,    0,"    
21.70",        41.125,         1,       1,       1,WassenaarRS,       0,       1
    17,    P-2391,   2023/01/26 16:29:45,           1-01,      17,         0.059,        -0.254,         2.581,         0.193,         19939,       0,    1,                                 DummyKD,                                T1V1-ID2,                 H2O, 1674768892.16,         0.215,         0.183,         0.552,         0.157,       177.759,        -0.001,        -0.009,         4.221,        94.670,        24.273,         1.042,        60.187,         0.871,         0.059,       -0.0000,       -0.0000,    0,"    
21.66",        41.812,         1,       1,       1,WassenaarRS,       0,       1
    18,    P-2391,   2023/01/26 16:38:45,           1-01,      18,         0.109,        -0.202,         2.777,         0.216,         19750,       0,    1,                                 DummyKD,                                T1V1-ID2,                 H2O, 1674769432.66,         0.188,         0.157,         0.516,         0.153,       170.318,        -0.000,        -0.009,         4.048,        93.904,        24.123,         1.020,        59.161,         0.870,         0.004,        0.0000,       -0.0000,    0,"    
21.72",        42.125,         1,       1,       1,WassenaarRS,       0,       1
    19,    P-2391,   2023/01/26 16:47:46,           1-01,      19,         0.096,        -0.184,         2.863,         0.193,         19712,       0,    1,                                 DummyKD,                                T1V1-ID2,                 H2O, 1674769973.13,         0.191,         0.170,         0.564,         0.143,       169.606,         0.000,        -0.010,         4.054,        93.743,        24.087,         1.016,        58.899,         0.870,        -0.057,       -0.0000,        0.0000,    0,"    
21.72",        41.500,         1,       1,       1,WassenaarRS,       0,       1
    20,    P-2391,   2023/01/26 16:56:45,           1-01,      20,         0.053,        -0.224,         2.982,         0.172,         19717,       0,    1,                                 DummyKD,                                T1V1-ID2,                 H2O, 1674770512.83,         0.225,         0.192,         0.507,         0.157,       174.778,        -0.000,        -0.009,         4.182,        93.662,        24.039,         1.027,        59.575,         0.869,         0.060,        0.0000,       -0.0000,    0,"    
21.72",        41.188,         1,       1,       1,WassenaarRS,       0,       1
    21,    P-2391,   2023/01/26 17:05:45,           1-01,      21,         0.109,        -0.192,         2.959,         0.210,         19899,       0,    1,                                 DummyKD,                                T1V1-ID2,                 H2O, 1674771052.70,         0.199,         0.156,         0.544,         0.157,       172.235,        -0.000,        -0.009,         4.116,        94.497,        24.197,         1.035,        60.029,         0.870,        -0.007,        0.0000,       -0.0000,    0,"    
21.81",        41.750,         1,       1,       1,WassenaarRS,       0,       1
    22,    P-2391,   2023/01/26 17:14:44,           1-01,      22,         0.161,        -0.107,         3.199,         0.218,         19784,       0,    1,                                 DummyKD,                                T1V1-ID2,                 H2O, 1674771591.65,         0.198,         0.173,         0.545,         0.149,       163.539,        -0.000,        -0.009,         3.902,        94.091,        23.880,         1.031,        59.799,         0.871,        -0.070,        0.0000,        0.0000,    0,"    
21.71",        42.000,         1,       1,       1,WassenaarRS,       0,       1
    23,    P-2391,   2023/01/26 17:23:44,           1-01,      23,         0.138,        -0.139,         3.056,         0.211,         19518,       0,    1,                                 DummyKD,                                T1V1-ID2,                 H2O, 1674772131.80,         0.211,         0.190,         0.483,         0.155,       163.389,        -0.001,        -0.008,         3.924,        92.951,        23.790,         1.002,        58.143,         0.870,        -0.161,       -0.0000,       -0.0000,    0,"    
21.75",        41.188,         1,       1,       1,WassenaarRS,       0,       1
    24,    P-2391,   2023/01/26 17:32:44,           1-01,      24,         0.096,        -0.188,         3.237,         0.195,         19850,       0,    1,                                 DummyKD,                                T1V1-ID2,                 H2O, 1674772672.05,         0.224,         0.174,         0.467,         0.167,       172.599,        -0.001,        -0.008,         4.151,        94.263,        24.179,         1.035,        59.772,         0.870,        -0.014,        0.0000,       -0.0000,    0,"    
21.79",        40.750,         1,       1,       1,WassenaarRS,       0,       1
    25,    P-2391,   2023/01/26 17:41:43,           1-01,      25,         0.111,        -0.160,         3.318,         0.195,         19824,       0,    1,                                 DummyKD,                                T1V1-ID2,                 H2O, 1674773211.35,         0.227,         0.201,         0.500,         0.160,       169.774,        -0.001,        -0.007,         4.053,        94.173,        24.136,         1.028,        59.678,         0.870,         0.012,        0.0000,       -0.0000,    0,"    
21.72",        41.312,         1,       1,       1,WassenaarRS,       0,       1
    26,    P-2391,   2023/01/26 17:50:43,           1-01,      26,         0.151,        -0.122,         3.358,         0.216,         19744,       0,    1,                                 DummyKD,                                T1V1-ID2,                 H2O, 1674773751.13,         0.229,         0.190,         0.506,         0.163,       162.527,         0.000,        -0.008,         3.883,        93.866,        24.057,         1.022,        59.157,         0.870,        -0.083,        0.0000,       -0.0000,    0,"    
21.73",        41.938,         1,       1,       1,WassenaarRS,       0,       1
    27,    P-2391,   2023/01/26 17:59:43,           1-01,      27,         0.108,        -0.138,         3.465,         0.180,         19772,       0,    1,                                 DummyKD,                                T1V1-ID2,                 H2O, 1674774289.99,         0.236,         0.188,         0.483,         0.170,       161.900,        -0.001,        -0.007,         3.870,        93.935,        23.981,         1.034,        59.822,         0.870,        -0.018,        0.0000,        0.0000,    0,"    
21.79",        41.688,         1,       1,       1,WassenaarRS,       0,       1
    28,    P-2391,   2023/01/26 18:08:43,           1-01,      28,         0.123,        -0.125,         3.441,         0.189,         19690,       0,    1,                                 DummyKD,                                T1V1-ID2,                 H2O, 1674774830.87,         0.207,         0.183,         0.514,         0.150,       166.677,        -0.001,        -0.008,         4.009,        93.594,        24.038,         1.017,        59.049,         0.870,        -0.020,        0.0000,        0.0000,    0,"    
21.73",        40.875,         1,       1,       1,WassenaarRS,       0,       1
    29,    P-2391,   2023/01/26 18:17:43,           1-01,      29,         0.082,        -0.157,         3.553,         0.165,         19818,       0,    1,                                 DummyKD,                                T1V1-ID2,                 H2O, 1674775370.60,         0.248,         0.215,         0.500,         0.183,       170.328,        -0.001,        -0.007,         4.045,        94.089,        24.184,         1.037,        59.735,         0.869,         0.048,        0.0000,        0.0000,    0,"    
21.71",        41.125,         1,       1,       1,WassenaarRS,       0,       1
    30,    P-2391,   2023/01/26 18:26:42,           1-01,      30,         0.144,        -0.101,         3.583,         0.198,         19828,       0,    1,                                 DummyKD,                                T1V1-ID2,                 H2O, 1674775910.14,         0.222,         0.191,         0.487,         0.163,       159.462,         0.000,        -0.006,         3.800,        94.174,        24.060,         1.040,        59.944,         0.871,         0.068,        0.0000,       -0.0000,    0,"    
21.68",        42.062,         1,       1,       1,WassenaarRS,       0,       1
    31,    P-2391,   2023/01/26 18:35:42,           1-01,      31,         0.154,        -0.101,         3.623,         0.207,         19832,       0,    1,                                 DummyKD,                                T1V1-ID2,                 H2O, 1674776450.00,         0.236,         0.196,         0.538,         0.163,       160.033,        -0.000,        -0.008,         3.821,        94.260,        24.018,         1.033,        59.775,         0.870,        -0.065,        0.0000,        0.0000,    0,"    
21.69",        42.188,         1,       1,       1,WassenaarRS,       0,       1
    32,    P-2391,   2023/01/26 18:44:42,           1-01,      32,         0.125,        -0.101,         3.750,         0.179,         19766,       0,    1,                                 DummyKD,                                T1V1-ID2,                 H2O, 1674776989.79,         0.222,         0.199,         0.461,         0.158,       161.657,        -0.001,        -0.007,         3.862,        93.876,        24.176,         1.022,        59.316,         0.870,         0.002,       -0.0000,        0.0000,    0,"    
21.80",        41.688,         1,       1,       1,WassenaarRS,       0,       1
    33,    P-2391,   2023/01/26 18:53:41,           1-01,      33,         0.117,        -0.138,         3.688,         0.189,         19754,       0,    1,                                 DummyKD,                                T1V1-ID2,                 H2O, 1674777528.54,         0.228,         0.198,         0.506,         0.162,       165.225,         0.000,        -0.006,         3.943,        93.828,        23.998,         1.032,        59.616,         0.870,        -0.015,        0.0000,       -0.0000,    0,"    
21.76",        41.562,         1,       1,       1,WassenaarRS,       0,       1
